repo_name,url,stars,description,printmaxx_use_case,reusable_patterns
affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,28700,"Complete Claude Code configuration collection - agents, skills, hooks, commands, rules, MCPs. Battle-tested configs from Anthropic hackers.",Master reference for all Claude Code configurations. Copy skills and hooks directly.,Skills structure; hooks patterns; agent configs; MCP setup patterns
hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,21800,"Curated list of awesome skills, hooks, slash-commands, agent orchestrators, applications, and plugins for Claude Code by Anthropic.",Directory of production-ready skills to copy. Find new MCPs and plugins here.,Skill categorization; plugin architecture; slash-command patterns
farion1231/cc-switch,https://github.com/farion1231/cc-switch,13700,"Cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode & Gemini CLI.",Desktop app pattern for multi-LLM support. Could build PRINTMAXX desktop version.,Multi-LLM integration; Rust desktop patterns; skill switching
OthmanAdi/planning-with-files,https://github.com/OthmanAdi/planning-with-files,11300,"Claude Code skill implementing Manus-style persistent markdown planning - the workflow pattern behind the $2B acquisition.",EXACTLY like our ralph loops! Persistent file-based planning. Copy this pattern.,Markdown planning; file-based state; agent memory patterns
iOfficeAI/AionUI,https://github.com/iOfficeAI/AionUI,10700,"Free, local, open-source Cowork for Gemini CLI, Claude Code, Codex, Opencode, Qwen Code, Goose Cli, Auggie.",Multi-tool orchestration UI. Reference for building unified interface.,Multi-CLI orchestration; local-first UI; tool switching
diet103/claude-code-infrastructure-showcase,https://github.com/diet103/claude-code-infrastructure-showcase,8600,Examples of Claude Code infrastructure with skill auto-activation hooks and agents.,Production infrastructure patterns. Auto-activation is key for overnight builds.,Auto-activation hooks; agent infrastructure; skill triggers
travisvn/awesome-claude-skills,https://github.com/travisvn/awesome-claude-skills,5900,"Curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows.",Skill library for PRINTMAXX. Find niche-specific skills here.,Skill templates; workflow patterns; resource organization
ChrisWiles/claude-code-showcase,https://github.com/ChrisWiles/claude-code-showcase,5100,"Comprehensive Claude Code project configuration with hooks, skills, agents, commands, and GitHub Actions.",GitHub Actions integration for CI/CD. Auto-deploy pattern for apps.,GitHub Actions; CI/CD patterns; hooks configuration
anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,4900,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Official plugin standards. Reference for building compliant skills.,Official patterns; plugin structure; quality standards
parcadei/Continuous-Claude-v3,https://github.com/parcadei/Continuous-Claude-v3,3400,"Context management for Claude Code. Hooks maintain state via ledgers and handoffs. MCP execution without context pollution.",EXACTLY our ralph loop pattern! Ledgers + handoffs = our system. Study closely.,Ledger patterns; handoff protocols; context management; MCP isolation
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,79700,A collection of MCP servers. The definitive list with 981 contributors.,Master MCP directory. Find servers for any integration need.,MCP server patterns; categorization; community standards
yzfly/Awesome-MCP-ZH,https://github.com/yzfly/Awesome-MCP-ZH,5900,"MCP resources in Chinese - Claude MCP, MCP Servers, MCP Clients.",Chinese market MCP resources. Useful for international expansion.,Localized MCP; Chinese market patterns
