method_id,method_name,category,sub_category,status,priority,revenue_model,automation_level,monthly_potential,notes,created_date,paper_trade_revenue_per_hour,paper_trade_scalability,paper_trade_platform_risk,paper_trade_decision,paper_trade_roi_pct,paper_trade_date,paper_trade_id
MM001,APP_FACTORY,CORE,N/A,Active,Phase1,IAP + Subs,Medium,$1k-50k,Faith fitness productivity apps,2026-01-20,,,,,,,
MM002,INFO_PRODUCTS,CORE,N/A,Planning,Phase1,One-time,Low,$500-10k,Courses templates guides,2026-01-20,,,,,,,
MM003,AFFILIATE_SITES,CORE,N/A,Planning,Phase3,Commission,High,$500-5k,SEO content sites,2026-01-20,,,,,,,
MM004,SAAS,CORE,N/A,Planning,Phase4,MRR,Low,$1k-20k,Micro-SaaS tools,2026-01-20,,,,,,,
MM005,AGENCY_SERVICES,CORE,N/A,Planning,Phase4,Project,Low,$2k-20k,UGC ads automation,2026-01-20,,,,,,,
MM006,CONTENT_FARM,CORE,N/A,Active,Phase1,Ads + Creator Fund,High,$500-10k,Multi-niche content accounts,2026-01-20,,,,,,,
MM007,COLD_OUTBOUND,CORE,N/A,Active,Phase2,Per-lead,Medium,$1k-10k,Email LinkedIn DM,2026-01-20,25.0,7,4,SCALE,150.0,2026-02-02,PAPER_TRADE_001
MM008,UGC_ARBITRAGE,CORE,N/A,Planning,Phase2,Markup,Medium,$1k-5k,Eastern EU Latam sourcing,2026-01-20,,,,,,,
MM009,AI_INFLUENCER,CORE,N/A,Active,Phase1,Sponsorships + Products,Medium,$500-20k,AI-generated personas,2026-01-20,,,,,,,
MM010,STREAMER_CLIPS,CORE,N/A,New,Phase2,Creator Fund + Sponsorship,High,$500-5k,Clip trending streamers,2026-01-22,,,,,,,
MM011,ROBLOX_GAMES,CORE,N/A,New,Phase4,Robux + Premium,Medium,$100-10k,Roblox experiences,2026-01-22,,,,,,,
CF001,RELAX_CHANNELS,CONTENT_FARM,Sub,New,Phase1,Ads + Affiliate,High,$200-2k,Sleep ambient content,2026-01-22,,,,,,,
CF002,SLEEP_TIMER_ALARM,CONTENT_FARM,Sub,New,Phase1,Ads + App Affiliate,High,$200-1k,Sleep productivity,2026-01-22,,,,,,,
CF003,NEWS_SOCIALS,CONTENT_FARM,Sub,New,Phase2,Ads + Traffic Arbitrage,High,$500-5k,Breaking news viral formats,2026-01-22,,,,,,,
CF004,MEME_CHANNELS,CONTENT_FARM,Sub,New,Phase2,Ads + Creator Fund,Medium,$200-2k,Entertainment memes,2026-01-22,,,,,,,
CF005,WOMEN_APPRECIATION,CONTENT_FARM,Sub,New,Phase2,Ads + Sell Ads,Medium,$200-3k,Lifestyle fan pages,2026-01-22,,,,,,,
CF006,CLIP_CHANNELS,CONTENT_FARM,Sub,New,Phase2,Creator Fund + Payments,High,$500-5k,Streamer clips,2026-01-22,,,,,,,
CF007,MOTIVATION_QUOTES,CONTENT_FARM,Sub,New,Phase2,Affiliate + Funnel,High,$200-2k,Self-improvement,2026-01-22,,,,,,,
CF008,FINANCE_NEWS,CONTENT_FARM,Sub,New,Phase3,Affiliate + Course,Medium,$500-5k,Money crypto news,2026-01-22,,,,,,,
CF009,TECH_EXPLAINERS,CONTENT_FARM,Sub,New,Phase3,Affiliate + SaaS,Medium,$300-3k,Tech AI content,2026-01-22,,,,,,,
CF010,SPORTS_HIGHLIGHTS,CONTENT_FARM,Sub,New,Phase3,Ads + Betting Affiliate,High,$500-5k,Sports clips,2026-01-22,,,,,,,
AI001,NICHE_EXPERTS,AI_INFLUENCER,Sub,New,Phase1,Sponsorships + Courses,Medium,$500-10k,Thought leader personas,2026-01-22,,,,,,,
AI002,FINDOM,AI_INFLUENCER,Sub,New,Phase4,Tributes + Custom,Medium,$500-20k,Financial domination,2026-01-22,,,,,,,
AI003,ONLYFANS_FANSLY,AI_INFLUENCER,Sub,New,Phase4,Subs + PPV,Medium,$1k-50k,Adult content,2026-01-22,,,,,,,
AI004,ASMR,AI_INFLUENCER,Sub,New,Phase3,Ads + Patreon,High,$500-5k,Relaxation sensory,2026-01-22,,,,,,,
AI005,FITNESS_COACHES,AI_INFLUENCER,Sub,New,Phase3,Programs + Affiliate,Medium,$500-10k,Health fitness,2026-01-22,,,,,,,
AI006,LIFESTYLE_CURATORS,AI_INFLUENCER,Sub,New,Phase3,Sponsorships + Affiliate,Medium,$300-5k,Aesthetic travel,2026-01-22,,,,,,,
AI007,GAMING_PERSONAS,AI_INFLUENCER,Sub,New,Phase3,Sponsorships + Merch,Medium,$300-5k,Gaming esports,2026-01-22,,,,,,,
AI008,RELATIONSHIP_ADVICE,AI_INFLUENCER,Sub,New,Phase3,Courses + Coaching,Medium,$500-10k,Dating self-help,2026-01-22,,,,,,,
MM012,ALGO_TRADING,CORE,N/A,Planning,Phase3,Signals + Courses,Medium,$1k-50k,Automated trading strategies + education,2026-01-24,,,,,,,
MM013,PAID_ADS,CORE,N/A,Planning,Phase2,Traffic Arbitrage,Medium,$500-20k,Facebook TikTok Google ads,2026-01-24,,,,,,,
MM014,YOUTUBE_LONGFORM,CORE,N/A,Planning,Phase3,Ads + Sponsorships,Low,$1k-20k,Long-form YouTube content,2026-01-24,,,,,,,
MM015,NEWSLETTER,CORE,N/A,Planning,Phase2,Subs + Sponsors + Affiliate,Medium,$500-68k,Substack Beehiiv ConvertKit Ghost - $20-200 CPM sponsors 5-10% paid conversion $5-50/mo - Faith Fitness AI niches - NEWSLETTER_DEEP_DIVE.md,2026-01-25,,,,,,,
MM016,TIKTOK_SHOP,CORE,N/A,Planning,Phase2,Product Sales,High,$500-20k,TikTok Shop affiliate and products,2026-01-24,,,,,,,
SWARM001,SWARM_PROMOTION,STRATEGY,N/A,New,Phase2,Coordinated Traffic,High,$500-10k,Multi-account coordinated virality,2026-01-24,,,,,,,
CF011,CRYPTO_NEWS,CONTENT_FARM,Sub,New,Phase2,Affiliate + Signals,High,$500-10k,Crypto trading content,2026-01-24,,,,,,,
CF012,STOCK_RESEARCH,CONTENT_FARM,Sub,New,Phase3,Affiliate + Course,Medium,$500-5k,Stock analysis content,2026-01-24,,,,,,,
CF013,YOUTUBE_SHORTS,CONTENT_FARM,Sub,New,Phase1,Ads + Creator Fund,High,$200-5k,YouTube Shorts automation,2026-01-24,,,,,,,
MM017,MICRO_INFLUENCER_NETWORK,CORE,N/A,New,Phase1,Performance + Retainer,Medium,$2k-20k,500 clipper model - $1/1k views network,2026-01-24,,,,,,,
MM018,PAYWALL_OPTIMIZATION_SERVICE,CORE,N/A,New,Phase2,Retainer + Revenue Share,Low,$3k-15k,A/B testing service for apps - 2.9x conversion proven,2026-01-24,,,,,,,
MM019,PORTFOLIO_APP_BUILDER,CORE,N/A,Active,Phase1,IAP + Subs Multi-App,Medium,$5k-50k,30-app portfolio strategy - 2-3 apps/month,2026-01-24,,,,,,,
MM020,X_LAUNCH_VIRAL,CORE,N/A,New,Phase1,Product MRR,Low,$3k-30k,Comment-driven X launches - $10k MRR no ads proven,2026-01-24,,,,,,,
MM021,PERSONAL_BRAND_SEO,CORE,N/A,Active,Phase1,Consulting + Courses + Sponsorships,Low,$2k-20k,Build-in-public journey - Google Jan 2026 favors authentic,2026-01-24,,,,,,,
MM022,ECOM_DROPSHIP,Temu/AliExpress to Etsy/eBay/Amazon arbitrage,Product markup 2-5x,$100-500,ACTIVE,dropship_ops,,,,,,,,,,,
MM023,ECOM_ARB,Trending product arbitrage - find demand then source,30-50% margins,$50-200,ACTIVE,ecom_arb_ops,,,,,,,,,,,
MM024,PRINT_ON_DEMAND,Printful/Printify custom merch,20-40% margins,$0-100,ACTIVE,pod_ops,,,,,,,,,,,
MM025,DIGITAL_PRODUCTS,Notion templates Gumroad Lemon Squeezy,$5-97 products,$0-50,ACTIVE,digital_products_ops,,,,,,,,,,,
MM026,AMAZON_KDP,Low content books journals planners,Royalties,$0-100,ACTIVE,kdp_ops,,,,,,,,,,,
MM027,AI_WRAPPER,Quick wrappers around OpenAI/Claude APIs,SaaS $10-50/mo,$50-200,ACTIVE,ai_wrapper_ops,,,,,,,,,,,
MM028,MICRO_SAAS,Single-feature SaaS tools,MRR,$100-500,ACTIVE,micro_saas_ops,,,,,,,,,,,
MM029,LOCAL_LEAD_GEN,GMB optimization rank and rent,Per lead $20-100,$100-300,ACTIVE,local_lead_ops,,,,,,,,,,,
MM030,COURSE_CREATOR,Skool/Teachable/Kajabi courses,$47-997,$50-200,ACTIVE,course_ops,,,,,,,,,,,
MM031,COMMUNITY_PAID,Discord/Skool paid communities,$9-97/mo,$0-100,ACTIVE,community_ops,,,,,,,,,,,
MM032,NEWSLETTER_PREMIUM,Substack/Ghost/Beehiiv paid,Subscriptions,$0-50,ACTIVE,newsletter_ops,,,,,,,,,,,
MM033,WHITE_LABEL,Resell software/services as own,Markup 2-3x,$100-500,ACTIVE,whitelabel_ops,,,,,,,,,,,
MM034,MEMECOIN_TRADING,Early memecoin identification and trading,10-100x potential,$100-1000,HIGH_RISK,memecoin_ops,,,,,,,,,,,
MM035,YOUTUBE_AUTOMATION,Full channel management cash cow,Ad revenue,$200-500,ACTIVE,yt_automation_ops,,,,,,,,,,,
MM036,ETSY_DIGITAL,Etsy digital downloads SVGs templates,Per sale,$0-50,ACTIVE,etsy_digital_ops,,,,,,,,,,,
MM037,TIKTOK_CREATIVITY,TikTok creativity program (1M+ views),RPM $0.50-1,$0,ACTIVE,tiktok_creativity_ops,,,,,,,,,,,
MM038,PINTEREST_AFFILIATE,Pinterest to affiliate offers,Commissions,$0-50,ACTIVE,pinterest_ops,,,,,,,,,,,
MM039,FACELESS_YOUTUBE,AI narration + stock footage channels,Ad revenue,$100-300,ACTIVE,faceless_yt_ops,,,,,,,,,,,
MM040,TWITTER_MONETIZATION,Twitter/X subscriptions + tips,Direct monetization,$0,ACTIVE,twitter_monetization_ops,,,,,,,,,,,
MM041,DIRECTORY_LISTING_SITES,CORE,N/A,New,Phase2,Featured Listings + Subs,High,$5k-50k,Niche directories with premium placements - $100-500/mo small to $5k-50k/mo established,2026-01-24,,,,,,,
MM042,WAITLIST_PRESALE_SERVICE,CORE,N/A,New,Phase1,Presale + Conversion,Medium,$3k-30k,25-85% conversion vs 2-4% traditional - £144k in 2 weeks proven (Jammy Digital),2026-01-24,,,,,,,
MM043,INFLUENCER_REVENUE_SHARE,CORE,N/A,New,Phase2,Hybrid Base + Performance,Medium,$2k-20k,Equity + revenue share partnerships emerging 2026 - align interests long-term,2026-01-24,,,,,,,
MM044,RAPID_BUILD_MONETIZATION,CORE,N/A,New,Phase1,Featured + Sponsorships,High,$6k-60k,48-hour builds to $6k MRR - OpenAlternative $57k revenue 516% growth proof,2026-01-24,,,,,,,
MM045,DOMAIN_FLIPPING,CORE,N/A,New,Phase2,Asset Sales 200-10000%,Medium,$500-20k,Buy domains cheap sell high - expired catching hand reg aftermarket arb,2026-01-25,,,,,,,
MM046,NOTION_TEMPLATES,CORE,N/A,New,Phase1,Digital Product Sales,High,$500-10k,Notion templates on Gumroad - zero marginal cost scalable cross-sells with apps,2026-01-25,,,,,,,
MM050,MCP_SERVER_PRODUCTS,CORE,N/A,New,Phase1,Per-install + Usage + Subs,High,$500-10k,Build MCP servers for Apify/MCPize/LobeHub - 36K+ devs 130K signups/mo - 70% rev share - first-mover window,2026-01-28,,,,,,,
MM051,AI_AUTOMATION_AGENCY,CORE,N/A,New,Phase2,Project + Retainer,Medium,$3k-100k,AI workflows for SMBs via n8n/Make - $2.5K-15K projects + $2K-8K/mo retainers - hyper-niche wins,2026-01-28,,,,,,,
MM052,BLUESKY_AT_PROTOCOL_APPS,CORE,N/A,New,Phase3,SaaS + Patreon,Medium,$200-5k,Bluesky utility apps/feeds/bots - 28M MAU pre-monetization - grants $500-2K + $5K AWS,2026-01-28,,,,,,,
MM053,SPORTS_BETTING_AFFILIATE,CORE,N/A,New,Phase2,Rev Share 25-40% Lifetime,High,$500-50k,$583B wagered since 2018 - lifetime rev share 25-40% - 38 states legal - niche sites rank fast,2026-01-28,,,,,,,
MM055,WHOP_DIGITAL_STOREFRONT,CORE,N/A,New,Phase1,Product Sales + Subs + 30% Affiliate,High,$2k-50k,Whop $60M+/mo GMV - 1300+ creators $2K+/mo - built-in affiliate 30% recurring,2026-01-28,,,,,,,
MM056,AI_WORKFLOW_MARKETPLACE,CORE,N/A,New,Phase1,Digital Product $500-2K + SaaS,High,$2.5k-20k,Sell n8n/Make/Zapier templates - 10-100x more valuable than prompts - productize agency work,2026-01-28,,,,,,,
MM057,AI_TUTORING_PLATFORM,CORE,N/A,New,Phase3,Session Fees + Subs + Commission,High,$1k-20k,AI-enhanced tutoring - e-learning $375B - niche SAT/coding/language - marketplace 10-30% cut,2026-01-28,,,,,,,
MM058,CURATED_DATA_PRODUCTS,CORE,N/A,New,Phase2,Subs $50-500/mo + One-time,High,$1k-20k,Niche datasets lead lists intel - 83% say data improves products - ralph loops maintain freshness,2026-01-28,,,,,,,
MM059,TELEGRAM_CHANNEL_BUSINESS,CORE,N/A,New,Phase1,Ad Rev Share 50% + Stars 100% + Paid Subs,High,$100-100k,1B users - 50% ad rev share - Stars tips 100% - paid subs 10% conversion $10-50/mo,2026-01-28,,,,,,,
MM060,AI_COMPLIANCE_AUDIT,CORE,N/A,New,Phase2,Project $5K-15K + Annual Retainer,Medium,$5k-30k,State AI regulation compliance - CO/VA/MD Jan 2026 deadlines - $20K/violation - panic demand,2026-01-28,,,,,,,
MM061,PODCAST_LEAD_ENGINE,CORE,N/A,New,Phase2,Sponsorships + Backend Offers,Medium,$500-20k,Podcast as lead gen for courses/coaching - $4B ad revenue - B2B/finance/health 3-5x CPMs,2026-01-28,,,,,,,
MM062,FRACTIONAL_EXEC_SERVICE,CORE,N/A,New,Phase4,Monthly Retainer $5K-18K,Low,$5k-50k,Fractional CMO/CTO/CFO - 29% higher revenue growth - layer passive income on frameworks,2026-01-28,,,,,,,
MM063,LEAD_LIST_CURATION,CORE,N/A,New,Phase2,Per-list + Subscription,High,$2k-20k,Curated niche-specific verified leads - hyper-niche premium - ralph loops maintain freshness,2026-01-28,,,,,,,
MM064,DEPIN_NODE_OPERATOR,CORE,N/A,New,Phase3,Token Rewards,High,$50-5k,DePIN nodes - Grass 8.5M users $33M ARR - Aethir $166M ARR - $19.2B market cap - passive,2026-01-28,,,,,,,
MM065,LONGEVITY_CONTENT_AFFILIATE,CORE,N/A,New,Phase2,Affiliate 10-50% + Sponsored,High,$500-20k,Longevity biohacking affiliate - Timeline $281 AOV 10% - $4.5T wellness market - endgame vertical,2026-01-28,,,,,,,
MM066,CUSTOM_GPT_BUSINESS,CORE,N/A,New,Phase1,GPT Store Rev Share + Direct Sales,High,$500-15k,Custom GPTs - build then sell direct - niche GPTs premium - 25 convos/week minimum for rev share,2026-01-28,,,,,,,
MM067,AI_MUSIC_PRODUCTION,CORE,N/A,New,Phase2,Streaming + Sync + Sample Packs,High,$200-5k,AI music Suno/Udio - Jan 2026 monetization legal paid subs - royalty-free packs for creators,2026-01-28,,,,,,,
MM068,SUBSCRIPTION_BOX_CURATION,CORE,N/A,New,Phase3,Monthly Subs $25-75/box,Medium,$1k-20k,Niche sub boxes - $37B market 435% decade growth - pre-launch waitlist zero inventory risk,2026-01-28,,,,,,,
MM069,AI_GENERATED_MERCH,CORE,N/A,New,Phase1,Per-sale 20-40% + Licensing,High,$500-10k,AI POD designs at scale 100+/day - trend-riding speed advantage - niche community identity,2026-01-28,,,,,,,
