date,phrase,source,design_concept,urgency,legal_check,status,notes
2026-02-05,type shit,Twitter/TikTok,Bold text minimalist black tee,HIGH,SAFE - generic slang,PENDING,Gen Z viral phrase
2026-02-05,delulu is the solulu,TikTok,Cursive script aesthetic,HIGH,SAFE - internet slang,PENDING,Self-help ironic humor
2026-02-05,very demure very mindful,TikTok @jaborneyhoff,Elegant script pastel colors,MEDIUM,SAFE - viral trend,PENDING,Workplace humor trend
2026-02-05,brat summer,Charli XCX album,Lime green bold text,MEDIUM,CAUTION - check trademark,PENDING,Album-inspired trend
2026-02-05,not like us,Kendrick Drake beef,Text on black tee,LOW,CAUTION - song lyrics,RESEARCH,Music reference
2026-02-05,hawk tuah,Viral interview,Simple text humor,EXPIRED,SAFE - phrase only,ARCHIVED,Trend window closed
2026-02-05,ohio,Gen Z meme,Surreal humor design,MEDIUM,SAFE - generic,PENDING,Ongoing meme
2026-02-05,its giving,Twitter/TikTok,Bold modern font,MEDIUM,SAFE - slang,PENDING,Evergreen phrase
2026-02-05,slay,Gen Z vocabulary,Glitter/sparkle design,LOW,SAFE - common word,PENDING,Saturated market
2026-02-05,no cap,Gen Z slang,Streetwear aesthetic,LOW,SAFE - slang,PENDING,Saturated market
