rank,alpha_id,title,category,confidence_score,expected_revenue_conservative,expected_revenue_realistic,expected_revenue_optimistic,time_to_implement,dependencies,risk_score_1_10,platform_risk,legal_risk,saturation_risk,half_life_months,sources_count,earnings_verified,engagement_authenticity,deploy_tier,implementation_notes
1,ALPHA514,Web-to-App Funnels (82% top apps use web billing),APP_FACTORY,95,$500/mo,$2000/mo,$10000/mo,2-4 weeks,"Stripe account, web dev, RevenueCat Web",2,LOW,LOW,LOW,18,5,TRUE_INDUSTRY_DATA,N/A,IMMEDIATE,"65-120% revenue increase. RevenueCat + FunnelFox + Paddle all offer solutions. Legal protection from Epic v Apple."
2,ALPHA560,Whop Migration (5.7% vs Gumroad 13-14%),MONETIZATION,90,$70/10K_saved,$700/10K_saved,$800/10K_saved,1-2 days,Whop account,3,MEDIUM,LOW,LOW,24,4,TRUE_PLATFORM_DATA,N/A,IMMEDIATE,"Pure margin improvement. $730+ saved per $10K revenue. 143K products on platform validates."
3,ALPHA465,Hard Paywall Implementation (8x revenue),APP_FACTORY,90,$500/mo,$3000/mo,$15000/mo,Already shipped,RevenueCat,2,LOW,LOW,LOW,24,4,TRUE_BENCHMARK_DATA,N/A,IMMEDIATE,"RevenueCat + Superwall + Apphud all confirm. Already shipped for biomaxx."
4,ALPHA045,App Portfolio Strategy (30 apps = $22K/mo),APP_FACTORY,92,$2000/mo,$10000/mo,$50000/mo,Ongoing,"Apple + Google dev accounts",4,MEDIUM,LOW,MEDIUM,36,4,TRUE,AUTHENTIC,IMMEDIATE,"Max Artemov $22K/mo + Connor Burd $185K/mo + Marc Lou $124K/mo all verified."
5,ALPHA032,Animated Paywall (2.9x conversion),APP_FACTORY,88,$200/mo,$1000/mo,$5000/mo,1-2 days,None,1,LOW,LOW,LOW,24,2,TRUE_BENCHMARK_DATA,N/A,IMMEDIATE,"RevenueCat research-backed. Simple implementation."
6,ALPHA561,TikTok Shop Affiliate (small creator 4.3x advantage),ECOM_ARB,80,$200/mo,$2000/mo,$10000/mo,1 week,TikTok account 1K+ followers,5,HIGH,LOW,MEDIUM,12,3,MEDIUM,N/A,THIS_WEEK,"Platform risk is primary concern. 18% engagement for micro-influencers confirmed."
7,ALPHA517,Cross-Post FB Reels (2-10x revenue),CONTENT_FARM,85,$10/mo,$200/mo,$2000/mo,Same day,Facebook CMP eligibility,2,LOW,LOW,LOW,18,5,PARTIALLY_VERIFIED,N/A,THIS_WEEK,"$4.40/1K DEBUNKED to $0.02-$0.60/1K average. Still worth cross-posting at zero cost."
8,ALPHA508,Cold Email Infrastructure (30.5% improvement),OUTBOUND,88,$0/mo,$1000/mo,$5000/mo,4-6 weeks warmup,"Separate domains, warmup tool",3,LOW,LOW,LOW,24,3,TRUE_BENCHMARK_DATA,N/A,THIS_WEEK,"SPF/DKIM/DMARC = 30.5% lift confirmed. Domain warmup 5-10 emails/day ramp."
9,ALPHA524_isenberg,AI Recombination (3-4 APIs = vertical SaaS),TOOL_ALPHA,82,$0/mo,$3000/mo,$15000/mo,1-3 months,"Claude API + ElevenLabs + domain logic",4,LOW,LOW,MEDIUM,12,3,TRUE_PATTERN,AUTHENTIC,THIS_WEEK,"Isenberg confirmed + Danny Postma model + multiple solo founders. 1-month builds."
10,ALPHA042,Push Notification (3x retention),APP_FACTORY,90,$100/mo,$500/mo,$2000/mo,1-2 days,Push service,1,LOW,LOW,LOW,36,2,TRUE_BENCHMARK_DATA,N/A,THIS_WEEK,"Single push in 90 days = 3x retention. But 78% say irrelevant pushes = dealbreaker."
11,ALPHA529_levelsio,Levelsio Portfolio Model ($3.6M/yr),APP_FACTORY,95,$500/mo,$5000/mo,$30000/mo,Ongoing,"Full dev stack, time",5,LOW,LOW,MEDIUM,36,5,VERIFIED,AUTHENTIC,THIS_MONTH,"PhotoAI $138K/mo + fly.pieter.com $87K MRR in 17 days. 70+ projects 5% succeed."
12,ALPHA038,Gamification/Streaks (55% 7-day retention),APP_FACTORY,85,$200/mo,$1000/mo,$5000/mo,1-2 weeks/app,Design work,2,LOW,LOW,LOW,36,2,TRUE_DUOLINGO_DATA,N/A,THIS_MONTH,"Duolingo benchmark. Points + streaks + progress bars + celebrations."
13,ALPHA034,Annual Plan Default (2.6x retention),APP_FACTORY,88,$100/mo,$500/mo,$3000/mo,30 minutes,RevenueCat,1,LOW,LOW,LOW,36,2,TRUE_BENCHMARK_DATA,N/A,THIS_MONTH,"44.1% annual vs 17.0% monthly retention. RevenueCat configuration change."
14,ALPHA035,Personalized Paywall (+17% conversion),APP_FACTORY,80,$50/mo,$200/mo,$1000/mo,Hours,"Name capture in onboarding",1,LOW,LOW,LOW,36,2,TRUE_BENCHMARK_DATA,N/A,THIS_MONTH,"Nami ML data. Simple name insertion on paywall screen."
15,ALPHA530_531,Distribution-First Build Strategy,APP_FACTORY,90,$0_savings,$5000_savings,$20000_savings,Methodology shift,None,2,LOW,LOW,LOW,36,3,TRUE_PATTERN,N/A,THIS_MONTH,"8 apps in 2025 = $1464 total. Marketing not code is bottleneck. Validate before building."
