repo_url,repo_name,category,stars,license,last_updated,language,security_status,usefulness_score,integration_potential,description,printmaxx_use_case
https://github.com/gitroomhq/postiz-app,postiz-app,CONTENT_AUTOMATION,20000,Apache-2.0,2026-01,TypeScript/Node.js,CLEAN,95,HIGH,"Self-hosted social media scheduler with AI content generation. Buffer/Hypefury alternative. Supports X/Bluesky/Mastodon/Discord. API-driven for n8n/Zapier integration. 3M+ downloads.",Replace Buffer free tier. Self-host for unlimited scheduling across all niche accounts. API integrates with n8n workflows already specced.
https://github.com/knadh/listmonk,listmonk,NEWSLETTER,17000,AGPL-3.0,2025-07,Go,CLEAN,92,HIGH,"High-performance self-hosted newsletter manager. Single binary. PostgreSQL backend. Multi-SMTP queues. Built-in analytics. Transactional email API. Drag-and-drop editor.",Replace Beehiiv free tier when hitting 2500 sub limit. Zero cost to run. Handles millions of subscribers. Go binary = minimal resources.
https://github.com/umami-software/umami,umami,ANALYTICS,22000,MIT,2026-01,TypeScript/Node.js,CLEAN,90,HIGH,"Privacy-focused web analytics. Google Analytics alternative. Sub-2KB tracking script. No cookies. GDPR compliant. Real-time dashboard.",Track all PRINTMAXX properties (landing pages + apps + content sites) without GA. MIT license = fully commercial. Self-host for zero cost.
https://github.com/plausible/analytics,plausible-analytics,ANALYTICS,21000,AGPL-3.0,2026-01,Elixir,CLEAN,85,MEDIUM,"Lightweight privacy-friendly analytics. <1KB script. EU-hosted cloud option. 16K+ paying subscribers. No cookies.",Alternative to Umami if prefer Elixir stack. AGPL means can't embed in proprietary products but fine for self-hosted tracking.
https://github.com/twentyhq/twenty,twenty-crm,CRM,24000,AGPL-3.0,2026-01,TypeScript,CLEAN,88,HIGH,"Modern open-source Salesforce alternative. Y Combinator backed. Notion-like UX. GraphQL/REST APIs. Kanban/table views.",Track all cold outbound leads + high-ticket prospects. Replace spreadsheet CRM. API integrates with n8n cold email workflows.
https://github.com/n8n-io/n8n,n8n,AUTOMATION,90000,Sustainable Use License,2026-01,TypeScript,CLEAN,97,HIGHEST,"Workflow automation with 400+ integrations. Native AI capabilities. Visual builder + custom code. Self-host or cloud.",ALREADY SPECCED in AUTOMATIONS/N8N_SETUP_AND_WORKFLOWS.md. Central automation hub. Saves $51/mo vs Zapier/Make. 6 workflows ready.
https://github.com/dubinc/dub,dub,MARKETING,19000,AGPL-3.0,2026-01,TypeScript,CLEAN,82,MEDIUM,"Link attribution platform. Short links + conversion tracking + affiliate programs. QR codes. A/B testing. Geo-targeting.",Track all CTA links across content farm. Measure which posts drive clicks. Affiliate link management across 11 revenue lanes.
https://github.com/mautic/mautic,mautic,MARKETING_AUTOMATION,7500,GPL-3.0,2026-01,PHP,CLEAN,80,MEDIUM,"Full marketing automation platform. Email campaigns + lead scoring + forms + landing pages. Contact segmentation.",Full-stack marketing automation if n8n + listmonk combo isn't enough. PHP = heavier stack but more features.
https://github.com/mezod/awesome-indie,awesome-indie,REFERENCE,10500,Other,2024-03,Markdown,CLEAN,75,LOW,"Curated resources for indie developers making money. Communities + tools + case studies + inspiration.",Reference for discovering new money methods and tools. Check quarterly for new entries. Cross-reference with ALPHA_STAGING.
https://github.com/inovector/mixpost,mixpost,CONTENT_AUTOMATION,1800,MIT,2025-12,PHP/Laravel,CLEAN,78,MEDIUM,"Self-hosted Buffer alternative. Queue management + content calendar + team collaboration. No subscription limits.",Alternative to Postiz if prefer PHP/Laravel stack. MIT license = more permissive than Postiz Apache-2.0.
https://github.com/towfiqi/serpbear,serpbear,SEO_TOOLS,1634,MIT,2025-07,TypeScript/Next.js,CLEAN,88,HIGH,"Self-hosted SERP tracking. Unlimited keywords. Google Search Console integration. Email notifications. Built-in API. SQLite. Zero cost.",Track keyword rankings for all PRINTMAXX content (truth pages + longtail + apps). MIT license. Next.js stack matches ours.
