date,time,platform,niche,post_id,title,status
2026-05-06,09:00,twitter,ai,post_014,Landing Page Arbitrage,READY
2026-05-06,14:00,instagram,faith,post_004,Daily Ayah Coaching,READY
2026-05-07,09:00,twitter,faith,post_011,Quranic Word Search App,READY
2026-05-07,14:00,tiktok,fitness,post_006,Macro Optimization,READY
2026-05-08,09:00,twitter,fitness,post_010,Gym Membership Audit,READY
2026-05-08,14:00,instagram,ai,post_005,No-Code SaaS Flip,READY
2026-05-09,09:00,twitter,ai,post_015,Email Warmup Service,READY
2026-05-09,14:00,tiktok,faith,post_006,Hajj Planning App,READY
2026-05-10,09:00,twitter,faith,post_012,Prayer Community Marketplace,READY
2026-05-10,14:00,instagram,fitness,post_005,Transformation Accountability,READY
2026-05-11,09:00,twitter,fitness,post_011,Form Check Service,READY
2026-05-11,14:00,tiktok,ai,post_006,Micro Automation,READY
2026-05-12,09:00,twitter,ai,post_016,Competitor Snapshot Service,READY
