ContentID,Type,Niche,Platform,Title,Status,ScheduledDate,PublishedDate,Engagement,Notes,source_file,content_section,date,platform,account,niche,content_type,content_path,caption,hashtags,status,posted_url,notes,structure_id,structure_name,format_type,engagement_rate,conversion_rate,template,example,when_to_use,niche_fit,priority,hook_formula,body_structure,cta_type,cta_example,performance_tier,source,hashtag,avg_posts,competition_level,recommended
A001,Post,AI,X,ChatGPT prompts for email productivity,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-21,X,@daily_anchor_faith,faith,devotional,CONTENT/social/faith/devotional_01.md,Started my day at 5:47am with 10 minutes of silence. No phone. No coffee yet. Just stillness. Changed how I react to my inbox all day.,#faith #morningroutine #quiettime #dailydevotion,pending,,Day 1 rotation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,WINNING_CONTENT_STRUCTURES.csv,content_structure,,Twitter/X,,,,,,,,,,CS001,Reply Bait Thread,Thread,8-12%,2-4%,Hook -> 3-5 insights -> Reply bait CTA,I built X. Here's what I found: [insights]. Reply METHOD for full breakdown.,"High-value alpha, lead gen",ALL,HIGH,,,,,,,,,,
,,,,,,,,,,NEW_CONTENT_STRUCTURES_2026-01-24.csv,content_structure,,All Platforms,,,Short Video,,,,,,Universal 2026 pattern. First 3s = everything. Zero intro fluff.,CS026,3-Second Hook Format,,,,,,,ALL,,Bold text statement OR Shocking stat OR Direct question OR Controversy,Hook (0-3s) → Value/Story (3-55s) → CTA (55-60s),Bio/Comment,Link in bio OR Comment keyword,HIGHEST,Algorithm research Jan 2026,,,,
,,,,,,,,,,NEW_CONTENT_STRUCTURES_2026-01-24.csv,content_structure,,Instagram,,,Short Video,,,,,,IG algo Jan 2026 prioritizes original audio > trending sounds.,CS027,Original Audio Reels,,,,,,,ALL,,[Custom voiceover or music],Hook → Value → CTA with ORIGINAL audio (not trending),Bio/Comment,Link in bio,HIGHEST,Instagram algorithm update 2026,,,,
,,,,,,,,,,NEW_CONTENT_STRUCTURES_2026-01-24.csv,content_structure,,All,,,Multi-Platform,,,,,,Template-based repurposing. Maximum distribution efficiency.,CS028,1-to-30 Multiplication,,,,,,,ALL,,[Same master content],1 video → 10 platform variants + 10 text posts + 10 images,Multiple,Platform-specific CTAs,HIGHEST,Content multiplication research,,,,
,,,,,,,,,,NEW_CONTENT_STRUCTURES_2026-01-24.csv,content_structure,,TikTok/Reels,,,Short Video,,,,,,Music industry tactic. Boosts algorithm + playlist placement.,CS029,Pre-Save Challenge,,,,,,,ALL,,Drop [X] after [Y] pre-saves/saves,Hook → Challenge → Pre-save CTA → Algorithmic boost,Comment/Bio,Comment GUIDE OR Save this post,HIGH,@Majacktan_Son observation,,,,
,,,,,,,,,,NEW_CONTENT_STRUCTURES_2026-01-24.csv,content_structure,,YouTube,,,Long-Form,,,,,,8-10min for mid-roll ads. $5-12 CPM. Evergreen compound views.,CS030,Meditation/Sleep Evergreen,,,,,,,ALL,,[Calming intro with nature sounds],Nature b-roll (0-10min) + Calm music + AI guided meditation voiceover,Description,Affiliate links + digital product,HIGHEST,Niche research Jan 2026,,,,
,,,,,,,,,,NEW_CONTENT_STRUCTURES_2026-01-24.csv,content_structure,,All,,,Multi-Platform,,,,,,Ads + Affiliates + Digital Product. Never rely on ads alone.,CS031,Triple Monetization,,,,,,,ALL,,[Any proven format],Video content + Description affiliates + Pinned comment digital product,Multiple,Multiple revenue streams per viewer,HIGHEST,Monetization best practices 2026,,,,
,,,,,,,,,,HASHTAG_LIBRARY.csv,hashtag_library,,X,,faith,,,,,,,,,,,,,,,,,,,,,,,,#faith,high,high,true
