platform,service_product,category,status,date_created,first_revenue,monthly_revenue,notes
Gumroad,Local Biz Client Machine ($97),DIGITAL_PRODUCT,NOT_STARTED,,,,"10 products specced in PRODUCTS/GUMROAD_READY_LISTINGS.md"
Gumroad,AI Automation Toolkit ($47),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,Vibe Coding Playbook ($47),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,AI Content Farm Blueprint ($47),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,Cold Email Playbook ($27),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,Twitter/X Growth Playbook ($27),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,Solopreneur Tech Stack Guide ($17),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,Sleep YouTube Starter Kit ($17),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,Funnel Teardown Guide ($7),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,Free AI Prompts (lead magnet $0),LEAD_MAGNET,NOT_STARTED,,,,
Gumroad,Starter Bundle ($47),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,Growth Bundle ($97),DIGITAL_PRODUCT,NOT_STARTED,,,,
Gumroad,Ultimate Bundle ($197),DIGITAL_PRODUCT,NOT_STARTED,,,,
Whop,Local Biz Client Machine ($97),DIGITAL_PRODUCT,NOT_STARTED,,,,"Mirror of Gumroad products. 3% fee vs 10%."
Whop,AI Automation Toolkit ($47),DIGITAL_PRODUCT,NOT_STARTED,,,,
Whop,Vibe Coding Playbook ($47),DIGITAL_PRODUCT,NOT_STARTED,,,,
Whop,AI Content Farm Blueprint ($47),DIGITAL_PRODUCT,NOT_STARTED,,,,
Whop,Cold Email Playbook ($27),DIGITAL_PRODUCT,NOT_STARTED,,,,
Whop,Twitter/X Growth Playbook ($27),DIGITAL_PRODUCT,NOT_STARTED,,,,
Whop,Solopreneur Tech Stack Guide ($17),DIGITAL_PRODUCT,NOT_STARTED,,,,
Whop,AI Automation Community ($29/mo),SUBSCRIPTION,NOT_STARTED,,,,
