meta_id,meta_name,category,velocity_score,coin_potential,product_potential,content_potential,time_window,pattern_match,evidence_summary
META024,75 Medium Challenge,fitness,8,2,8,10,weeks,"ROUTINE","Softer 75 Hard variant exploding Jan 2026. 75 Hard has 611K TikTok posts + 943K IG posts. 75 Medium trending as accessible alt - featured in Healthline + The Tab + WFMD. Brands already integrating (UGC campaigns). Product angle: tracker app or Notion template. Content angle: daily vlogs + challenge content."
META025,Japanese Interval Walking,fitness,9,1,7,10,months,"ROUTINE","Eugene Teo video hit 10M TikTok views + 17M YouTube views. Named #1 fitness trend 2026 by PureGym report. 30-min format alternating 3min fast/3min slow. Free + accessible = mass adoption. Product: walking app with interval timer. Content: transformation stories + science breakdowns."
META026,Sleepmaxxing Movement,wellness,9,3,10,10,months,"ROUTINE","125M+ TikTok posts. Magnetic nose strips surged 3000% in 12 months. Smart ring searches up 529%. Products: mouth tape + blue light glasses + nose strips + cooling mattress pads + magnesium stacks. Orthosomnia backlash starting = controversy content angle. Wikipedia page created = mainstream."
META027,GLP-1 Supplement Gold Rush,wellness,10,4,10,9,months,"TOOL_ARB","GLP-1 patches exploding on TikTok Shop. Berberine dubbed 'nature's Ozempic'. Berberine market projected $2.1B by 2033. TikTok-driven sales surged 165% YoY. FDA warnings create controversy content. Brands flooding market with GLP-1 branded pills/powders/patches. Huge affiliate + white-label opportunity."
META028,Rucking Fitness Boom,fitness,8,2,9,9,months,"ROUTINE","Walking with weighted packs. GORUCK Rucker has 4000+ Amazon reviews. Burns 3x calories vs regular walking. Zone 2 training alignment. Google search spikes Aug/Sep. Product: weighted vests + ruck plates + ruck packs. Content: military fitness angle + longevity. GORUCK released budget Basic Rucker = mass market signal."
META029,Seed Oil Free Movement,wellness,8,3,9,9,months,"CONTROVERSY","Seed oil free product sales up 216% Q1 2026 (SPINS data). Steak N Shake + Popeyes + BWW ditching seed oils. RFK Kennedy backing. Beef tallow replacing canola in restaurants. Product: tallow-based cooking products + seed-oil-free snacks. Content: controversy between trad health vs mainstream nutrition = engagement farming gold."
META030,Scotty K Fitness Doxxing Drama,fitness,7,0,2,9,days,"CONTROVERSY","4.4M TikTok followers + 2M IG. Doxxed commenters including disabled man. RYSE Supplements dropped partnership Jan 29 2026. One video: 610K likes + 16.2K comments. Content: commentary + reaction + accountability content. Time-sensitive engagement farming window. Pattern: brand collapse = cautionary tale content."
META031,Reformer Pilates Explosion,fitness,8,1,9,9,months,"ROUTINE","Studio Pilates International hit $888K avg unit volume in US. Global pilates/yoga market $244.5B in 2026 growing to $583.6B by 2035 (CAGR 11.5%). 125+ studios open worldwide. Going from niche to necessity. Product: at-home reformer accessories + online classes. Content: transformation content + studio reviews."
META032,Creatine for Women,wellness,8,2,9,10,months,"ROUTINE","Global creatine market $1.11B in 2024 growing to $4.21B by 2030. CNN Jan 2026: 'Why I joined the cult of creatine.' Mel Robbins podcast episode went viral on TikTok. Women discovering benefits for bone density + hormones + menopause. Product: women-specific creatine brand (pink tax works here). Content: myth-busting + science explainers."
META033,Peptide Underground,wellness,9,5,8,10,months,"NOVEL","'Chinese peptides' = latest biohacking trend (NYT Jan 2026). BPC-157 Google searches at all-time high. 50M+ tagged TikTok video views. Joe Rogan + Jennifer Aniston endorsements. Gray market from China = $200/mo vs $1000/mo prescription. Contamination scandals = controversy content. Product: education/guide products. Content: biohacking + health controversy."
META034,Shy Girl Workouts,fitness,7,1,7,9,months,"ROUTINE","315M+ TikTok views on #shygirlworkout. Addresses gym anxiety (1 in 4 women avoid gym from fear of judgment). Women's Health still covering Jan 2026. Product: at-home workout equipment bundles + app with corner-of-gym routines. Content: empowerment + beginner fitness + gym anxiety."
META035,Monk Mode / Dopamine Detox,lifestyle,7,2,8,9,months,"ROUTINE","#monkmode 73M+ TikTok views + 1.5M posts under 'Rules for Monk Mode'. Dopamine menus = curated low-stimulus pleasure lists. WEF coverage = mainstream signal. 30/60/90 day challenges = engagement loops. Product: dopamine detox journal + monk mode planner. Content: daily vlog challenge + productivity."
META036,Pickleball/Padel Racquet Sports,fitness,8,2,9,8,months,"ROUTINE","36.5M Americans play pickleball. Market valued $2.2B in 2024 growing to $9.1B by 2034 (CAGR 15.3%). 20K+ US courts expected by 2026. Padel at 35M global players with 38% YoY registration growth. Product: paddles + court booking app + training content. Content: sport comparisons + beginner guides."
META037,Fitness-to-Politics Pipeline,lifestyle,7,3,7,10,weeks,"CONTROVERSY","Men's Health Feb 2026: 'Fitness Influencers Have Gone Political.' Bronze Age Pervert + Carnivore Aurelius + Sol Brah = manosphere-fitness overlap. Right-wing masculinity content driving engagement. Political content boosts views ~50%. Content: commentary on fitness politicization + counter-content. Time-sensitive with political cycle."
META038,Hybrid Training Programs,fitness,7,1,8,8,months,"ROUTINE","Combining strength + cardio + mobility in single sessions. Powerlifting + cycling or HIIT + yoga blends. Hyrox (META010) feeds into this. Product: hybrid training app + periodization templates. Content: program design + exercise science explainers. Less viral than single-format trends but higher retention."
