alpha_id,source,source_url,category,tactic,tools_mentioned,revenue_proof,status,roi_potential,reviewer_notes
YTALPHA001,@fishniw,https://x.com/fishniw/status/2016234025896079631,FUNNEL_BREAKDOWN,"Clavicular $49 looksmaxxing community funnel breakdown - clipping army distribution model","","$49 community",PENDING_REVIEW,HIGH,"Funnel teardown - ascension mechanism naming"
YTALPHA002,@theartofyoutube,https://x.com/theartofyoutube/status/2016227904003207570,NICHE_LEAK,"Storytelling animation channel - minimalist stick-figure style for relatable experiences and tier lists","","",PENDING_REVIEW,MEDIUM,"New niche - study format"
YTALPHA003,@wanneracademy,https://x.com/wanneracademy/status/2015545232885207159,TOOL_STACK,"Claude + ElevenLabs + Nano Banana Pro + CapCut = $10K/month from YouTube","Claude|ElevenLabs|Nano Banana Pro|CapCut","$10K/month",PENDING_REVIEW,HIGHEST,"Specific tool stack with revenue claim"
YTALPHA004,@starter_story,https://x.com/starter_story/status/2014427939312697675,CASE_STUDY,"@vascoabm built $79K MRR app from YouTube LONG FORM videos only - not AI slop SEO or short form","","$79K MRR",PENDING_REVIEW,HIGHEST,"Long form YouTube > short form for SaaS"
YTALPHA005,@wannercashcow,https://x.com/wannercashcow/status/2013952260099936292,STRATEGY,"Audience adaptation formula: white→black | male→female | US→Canada versions","","",PENDING_REVIEW,HIGH,"Simple niche multiplication strategy"
YTALPHA006,@ZenithhTweet,https://x.com/ZenithhTweet/status/2013723476591292424,COMPLIANCE,"YouTube support team explanation on inauthentic content - AI content rules clarification","","",PENDING_REVIEW,HIGH,"Compliance intel - what YT considers inauthentic"
YTALPHA007,@DanielTChirwa,https://x.com/DanielTChirwa/status/2011539278443266342,TOOL_ALPHA,"Tool showing which YouTube channels being terminated daily - see what YT considers AI slop","algrow.online","",PENDING_REVIEW,HIGH,"Arbitrage opportunity identifier"
YTALPHA008,@eptwts,https://x.com/eptwts/status/2011104521112732041,PASSIVE_INCOME,"Videos uploaded 3 months ago still making money - whop affiliate experiment abandoned but still netting revenue","Whop","",PENDING_REVIEW,MEDIUM,"Evergreen YouTube revenue proof"
YTALPHA009,@Element_221,https://x.com/Element_221/status/2010789166053998917,INFRASTRUCTURE,"Fresh Gmail accounts for YouTube channels without QR code from PC/Desktop","","",PENDING_REVIEW,MEDIUM,"Account creation hack"
YTALPHA010,@youtubepriest01,https://x.com/youtubepriest01/status/2010779747853435047,COMPLIANCE,"Disclaimer format to avoid inauthentic content ban","","",PENDING_REVIEW,HIGH,"Compliance - disclaimer template"
YTALPHA011,@ope_dave,https://x.com/ope_dave/status/2010768804121317739,VIRAL_FORMAT,"AI instagram page 2.3M followers in 1.5 months - content works on YouTube Shorts but may get banned","","2.3M followers",PENDING_REVIEW,MEDIUM,"High risk but high reward format"
