keyword_id,method_id,keyword,search_volume,competition,content_type,priority,target_url,status
KW001,MM001,prayer app that blocks phone,low,very_low,landing_page,HIGHEST,/apps/prayerlock,PENDING
KW002,MM001,best prayer app 2026,medium,medium,landing_page,HIGH,/apps/prayerlock,PENDING
KW003,MM001,christian morning routine app,low,low,landing_page,HIGH,/apps/prayerlock,PENDING
KW004,MM001,app that blocks phone until you pray,low,very_low,landing_page,HIGHEST,/apps/prayerlock,PENDING
KW005,MM001,study app that blocks distractions,medium,medium,landing_page,HIGH,/apps/studylock,PENDING
KW006,MM001,pomodoro app blocker,medium,low,landing_page,HIGH,/apps/studylock,PENDING
KW007,MM001,best focus app for students 2026,medium,medium,landing_page,HIGH,/apps/studylock,PENDING
KW008,MM001,forest app alternative,medium,low,blog,HIGH,/truth/study-focus-apps-compared,PENDING
KW009,MM001,walk to unlock phone app,low,very_low,landing_page,HIGHEST,/apps/walktounlock,PENDING
KW010,MM001,step counter that locks apps,low,very_low,landing_page,HIGHEST,/apps/walktounlock,PENDING
KW011,MM001,fitness app motivation lock,low,very_low,landing_page,HIGH,/apps/walktounlock,PENDING
KW012,MM001,biohacking tracker app,low,low,landing_page,HIGH,/apps/biomaxx,PENDING
KW013,MM001,supplement tracker app 2026,medium,low,landing_page,HIGH,/apps/biomaxx,PENDING
KW014,MM001,cold plunge tracker,low,very_low,landing_page,HIGH,/apps/biomaxx,PENDING
KW015,MM001,health protocol tracker,low,low,landing_page,HIGH,/apps/biomaxx,PENDING
KW016,MM001,app store optimization 2026,medium,high,blog,MEDIUM,/truth/aso-guide,PENDING
KW017,MM001,how to launch an app as solopreneur,low,low,blog,MEDIUM,/truth/app-launch-guide,PENDING
KW018,MM001,react native app ideas 2026,medium,medium,blog,MEDIUM,/truth/app-ideas,PENDING
KW019,MM001,expo app tutorial,medium,medium,blog,LOW,/truth/expo-guide,PENDING
KW020,MM001,revenucat integration guide,low,low,blog,LOW,/truth/revenucat-setup,PENDING
KW021,MM006,faceless youtube channel 2026,medium,medium,blog,HIGH,/truth/faceless-youtube-guide,PENDING
KW022,MM006,content farm strategy,low,low,blog,HIGH,/truth/content-farm-playbook,PENDING
KW023,MM006,ai content generation at scale,medium,medium,blog,HIGH,/truth/ai-content-scale,PENDING
KW024,MM006,tiktok content strategy solopreneur,medium,medium,blog,HIGH,/truth/tiktok-strategy,PENDING
KW025,MM006,youtube shorts automation,medium,medium,blog,MEDIUM,/truth/youtube-shorts-auto,PENDING
KW026,MM006,content repurposing one idea multiple formats,low,low,blog,HIGH,/truth/ai-content-repurposing-pipeline-1-idea-10-formats-daily,PENDING
KW027,MM006,niche social media accounts strategy,low,low,blog,MEDIUM,/truth/niche-accounts,PENDING
KW028,MM006,how to grow faceless instagram,medium,medium,blog,MEDIUM,/truth/faceless-instagram,PENDING
KW029,MM006,automated content posting schedule,low,low,blog,MEDIUM,/truth/auto-posting,PENDING
KW030,MM006,content farm legal compliance,low,very_low,blog,HIGH,/truth/compliance-for-affiliate-ai-influencer-content-ftc-safe,PENDING
KW031,MM006,ai generated video content,medium,high,blog,MEDIUM,/truth/ai-video-content,PENDING
KW032,MM006,social media scheduling tools 2026,high,high,comparison,LOW,/truth/social-tools-compared,PENDING
KW033,MM006,how to run 3 niche accounts,low,very_low,blog,HIGH,/truth/multi-niche-strategy,PENDING
KW034,MM006,faith content ideas tiktok,low,very_low,blog,MEDIUM,/truth/faith-content-ideas,PENDING
KW035,MM006,fitness motivation content strategy,medium,medium,blog,MEDIUM,/truth/fitness-content,PENDING
KW036,MM006,pinterest content strategy 2026,medium,medium,blog,LOW,/truth/pinterest-strategy,PENDING
KW037,MM006,medium partner program strategy,low,low,blog,MEDIUM,/truth/medium-strategy,PENDING
KW038,MM006,substack growth strategy 2026,medium,medium,blog,MEDIUM,/truth/substack-growth,PENDING
KW039,MM006,ai ugc content creation,low,low,blog,HIGH,/truth/ai-ugc,PENDING
KW040,MM006,batch content creation workflow,low,low,blog,HIGH,/truth/batch-content,PENDING
KW041,MM007,cold email deliverability 2026,medium,medium,blog,HIGHEST,/truth/cold-email-deliverability-setup-for-solopreneurs-2026,PENDING
KW042,MM007,spf dkim dmarc setup guide,medium,medium,blog,HIGH,/truth/email-auth-setup,PENDING
KW043,MM007,email warmup schedule,medium,low,blog,HIGH,/truth/email-warmup,PENDING
KW044,MM007,instantly vs smartlead comparison,medium,low,comparison,HIGH,/truth/email-tool-comparison,PENDING
KW045,MM007,cold email template b2b 2026,medium,medium,blog,HIGH,/truth/cold-email-templates,PENDING
KW046,MM007,linkedin outreach automation,medium,medium,blog,MEDIUM,/truth/linkedin-outreach,PENDING
KW047,MM007,cold email infrastructure setup,low,low,blog,HIGHEST,/truth/cold-email-infra,PENDING
KW048,MM007,how many cold emails per day,medium,low,blog,HIGH,/truth/cold-email-volume,PENDING
KW049,MM007,cold email bounce rate fix,low,low,blog,MEDIUM,/truth/bounce-rate-fix,PENDING
KW050,MM007,b2b lead generation solopreneur,medium,medium,blog,HIGH,/truth/b2b-leads-solo,PENDING
