method_id,method_name,category,status,revenue_model,time_to_first_dollar,effort_level,revenue_potential,scalability,automation_level,platform_risk,legal_risk,priority,notes
MM001,APP_FACTORY,CORE,Active,IAP + Subs,,,,,Medium,,,Phase1,Faith fitness productivity apps
MM002,INFO_PRODUCTS,CORE,Planning,One-time,,,,,Low,,,Phase1,Courses templates guides
MM003,AFFILIATE_SITES,CORE,Planning,Commission,,,,,High,,,Phase3,SEO content sites
MM004,SAAS,CORE,Planning,MRR,,,,,Low,,,Phase4,Micro-SaaS tools
MM005,AGENCY_SERVICES,CORE,Planning,Project,,,,,Low,,,Phase4,UGC ads automation
MM006,CONTENT_FARM,CORE,Active,Ads + Creator Fund,,,,,High,,,Phase1,Multi-niche content accounts
MM007,COLD_OUTBOUND,CORE,Planning,Per-lead,,,,,Medium,,,Phase2,Email LinkedIn DM
MM008,UGC_ARBITRAGE,CORE,Planning,Markup,,,,,Medium,,,Phase2,Eastern EU Latam sourcing
MM009,AI_INFLUENCER,CORE,Active,Sponsorships + Products,,,,,Medium,,,Phase1,AI-generated personas
MM010,STREAMER_CLIPS,CORE,New,Creator Fund + Sponsorship,,,,,High,,,Phase2,Clip trending streamers
MM011,ROBLOX_GAMES,CORE,New,Robux + Premium,,,,,Medium,,,Phase4,Roblox experiences
CF001,RELAX_CHANNELS,CONTENT_FARM,New,Ads + Affiliate,,,,,High,,,Phase1,Sleep ambient content
CF002,SLEEP_TIMER_ALARM,CONTENT_FARM,New,Ads + App Affiliate,,,,,High,,,Phase1,Sleep productivity
CF003,NEWS_SOCIALS,CONTENT_FARM,New,Ads + Traffic Arbitrage,,,,,High,,,Phase2,Breaking news viral formats
CF004,MEME_CHANNELS,CONTENT_FARM,New,Ads + Creator Fund,,,,,Medium,,,Phase2,Entertainment memes
CF005,WOMEN_APPRECIATION,CONTENT_FARM,New,Ads + Sell Ads,,,,,Medium,,,Phase2,Lifestyle fan pages
CF006,CLIP_CHANNELS,CONTENT_FARM,New,Creator Fund + Payments,,,,,High,,,Phase2,Streamer clips
CF007,MOTIVATION_QUOTES,CONTENT_FARM,New,Affiliate + Funnel,,,,,High,,,Phase2,Self-improvement
CF008,FINANCE_NEWS,CONTENT_FARM,New,Affiliate + Course,,,,,Medium,,,Phase3,Money crypto news
CF009,TECH_EXPLAINERS,CONTENT_FARM,New,Affiliate + SaaS,,,,,Medium,,,Phase3,Tech AI content
CF010,SPORTS_HIGHLIGHTS,CONTENT_FARM,New,Ads + Betting Affiliate,,,,,High,,,Phase3,Sports clips
AI001,NICHE_EXPERTS,AI_INFLUENCER,New,Sponsorships + Courses,,,,,Medium,,,Phase1,Thought leader personas
AI002,FINDOM,AI_INFLUENCER,New,Tributes + Custom,,,,,Medium,,,Phase4,Financial domination
AI003,ONLYFANS_FANSLY,AI_INFLUENCER,New,Subs + PPV,,,,,Medium,,,Phase4,Adult content
AI004,ASMR,AI_INFLUENCER,New,Ads + Patreon,,,,,High,,,Phase3,Relaxation sensory
AI005,FITNESS_COACHES,AI_INFLUENCER,New,Programs + Affiliate,,,,,Medium,,,Phase3,Health fitness
AI006,LIFESTYLE_CURATORS,AI_INFLUENCER,New,Sponsorships + Affiliate,,,,,Medium,,,Phase3,Aesthetic travel
AI007,GAMING_PERSONAS,AI_INFLUENCER,New,Sponsorships + Merch,,,,,Medium,,,Phase3,Gaming esports
AI008,RELATIONSHIP_ADVICE,AI_INFLUENCER,New,Courses + Coaching,,,,,Medium,,,Phase3,Dating self-help
MM012,ALGO_TRADING,CORE,Planning,Signals + Courses,,,,,Medium,,,Phase3,Automated trading strategies + education
MM013,PAID_ADS,CORE,Planning,Traffic Arbitrage,,,,,Medium,,,Phase2,Facebook TikTok Google ads
MM014,YOUTUBE_LONGFORM,CORE,Planning,Ads + Sponsorships,,,,,Low,,,Phase3,Long-form YouTube content
MM015,NEWSLETTER,CORE,Planning,Subs + Sponsors + Affiliate,,,,,Medium,,,Phase2,Substack Beehiiv ConvertKit Ghost - $20-200 CPM sponsors 5-10% paid conversion $5-50/mo - Faith Fitness AI niches - NEWSLETTER_DEEP_DIVE.md
MM016,TIKTOK_SHOP,CORE,Planning,Product Sales,,,,,High,,,Phase2,TikTok Shop affiliate and products
SWARM001,SWARM_PROMOTION,STRATEGY,New,Coordinated Traffic,,,,,High,,,Phase2,Multi-account coordinated virality
CF011,CRYPTO_NEWS,CONTENT_FARM,New,Affiliate + Signals,,,,,High,,,Phase2,Crypto trading content
CF012,STOCK_RESEARCH,CONTENT_FARM,New,Affiliate + Course,,,,,Medium,,,Phase3,Stock analysis content
CF013,YOUTUBE_SHORTS,CONTENT_FARM,New,Ads + Creator Fund,,,,,High,,,Phase1,YouTube Shorts automation
MM017,MICRO_INFLUENCER_NETWORK,CORE,New,Performance + Retainer,,,,,Medium,,,Phase1,500 clipper model - $1/1k views network
MM018,PAYWALL_OPTIMIZATION_SERVICE,CORE,New,Retainer + Revenue Share,,,,,Low,,,Phase2,A/B testing service for apps - 2.9x conversion proven
MM019,PORTFOLIO_APP_BUILDER,CORE,Active,IAP + Subs Multi-App,,,,,Medium,,,Phase1,30-app portfolio strategy - 2-3 apps/month
MM020,X_LAUNCH_VIRAL,CORE,New,Product MRR,,,,,Low,,,Phase1,Comment-driven X launches - $10k MRR no ads proven
MM021,PERSONAL_BRAND_SEO,CORE,Active,Consulting + Courses + Sponsorships,,,,,Low,,,Phase1,Build-in-public journey - Google Jan 2026 favors authentic
MM022,ECOM_DROPSHIP,Temu/AliExpress to Etsy/eBay/Amazon arbitrage,$100-500,dropship_ops,,,,,,,,ACTIVE,
MM023,ECOM_ARB,Trending product arbitrage - find demand then source,$50-200,ecom_arb_ops,,,,,,,,ACTIVE,
MM024,PRINT_ON_DEMAND,Printful/Printify custom merch,$0-100,pod_ops,,,,,,,,ACTIVE,
MM025,DIGITAL_PRODUCTS,Notion templates Gumroad Lemon Squeezy,$0-50,digital_products_ops,,,,,,,,ACTIVE,
MM026,AMAZON_KDP,Low content books journals planners,$0-100,kdp_ops,,,,,,,,ACTIVE,
MM027,AI_WRAPPER,Quick wrappers around OpenAI/Claude APIs,$50-200,ai_wrapper_ops,,,,,,,,ACTIVE,
MM028,MICRO_SAAS,Single-feature SaaS tools,$100-500,micro_saas_ops,,,,,,,,ACTIVE,
MM029,LOCAL_LEAD_GEN,GMB optimization rank and rent,$100-300,local_lead_ops,,,,,,,,ACTIVE,
MM030,COURSE_CREATOR,Skool/Teachable/Kajabi courses,$50-200,course_ops,,,,,,,,ACTIVE,
MM031,COMMUNITY_PAID,Discord/Skool paid communities,$0-100,community_ops,,,,,,,,ACTIVE,
MM032,NEWSLETTER_PREMIUM,Substack/Ghost/Beehiiv paid,$0-50,newsletter_ops,,,,,,,,ACTIVE,
MM033,WHITE_LABEL,Resell software/services as own,$100-500,whitelabel_ops,,,,,,,,ACTIVE,
MM034,MEMECOIN_TRADING,Early memecoin identification and trading,$100-1000,memecoin_ops,,,,,,,,HIGH_RISK,
MM035,YOUTUBE_AUTOMATION,Full channel management cash cow,$200-500,yt_automation_ops,,,,,,,,ACTIVE,
MM036,ETSY_DIGITAL,Etsy digital downloads SVGs templates,$0-50,etsy_digital_ops,,,,,,,,ACTIVE,
MM037,TIKTOK_CREATIVITY,TikTok creativity program (1M+ views),$0,tiktok_creativity_ops,,,,,,,,ACTIVE,
MM038,PINTEREST_AFFILIATE,Pinterest to affiliate offers,$0-50,pinterest_ops,,,,,,,,ACTIVE,
MM039,FACELESS_YOUTUBE,AI narration + stock footage channels,$100-300,faceless_yt_ops,,,,,,,,ACTIVE,
MM040,TWITTER_MONETIZATION,Twitter/X subscriptions + tips,$0,twitter_monetization_ops,,,,,,,,ACTIVE,
MM041,DIRECTORY_LISTING_SITES,CORE,New,Featured Listings + Subs,,,,,High,,,Phase2,Niche directories with premium placements - $100-500/mo small to $5k-50k/mo established
MM042,WAITLIST_PRESALE_SERVICE,CORE,New,Presale + Conversion,,,,,Medium,,,Phase1,25-85% conversion vs 2-4% traditional - £144k in 2 weeks proven (Jammy Digital)
MM043,INFLUENCER_REVENUE_SHARE,CORE,New,Hybrid Base + Performance,,,,,Medium,,,Phase2,Equity + revenue share partnerships emerging 2026 - align interests long-term
MM044,RAPID_BUILD_MONETIZATION,CORE,New,Featured + Sponsorships,,,,,High,,,Phase1,48-hour builds to $6k MRR - OpenAlternative $57k revenue 516% growth proof
MM045,DOMAIN_FLIPPING,CORE,New,Asset Sales 200-10000%,,,,,Medium,,,Phase2,Buy domains cheap sell high - expired catching hand reg aftermarket arb
MM046,NOTION_TEMPLATES,CORE,New,Digital Product Sales,,,,,High,,,Phase1,Notion templates on Gumroad - zero marginal cost scalable cross-sells with apps
MM070,WEB_REDESIGN_COLD_OUTREACH,AGENCY_SERVICES,ACTIVE,Project,,,,,High,,,Phase1,Scrape local businesses -> analyze website quality (15 signals) -> auto-generate modern landing pages -> cold email with preview link -> close at $500-2K per site. Full automation pipeline: free dependencies (requests beautifulsoup4 tqdm) 10 email templates included budget estimation by category. 25% close rate proven.
