tool_name,category,capability_unlocked,cost,roi_score,commercial_license,source_url,notes,created_at
n8n,Workflow Automation,AI-native workflow automation with 160K GitHub stars. 3-10x cheaper than Zapier for complex workflows. Self-hosting = full data control.,"Free (self-host), $20/mo (cloud)",95,Yes (Apache-2.0),https://n8n.io/,Execution-based pricing not task-based. Developer-focused flexibility.,2026-02-02
MCP Servers,AI Tool Integration,Model Context Protocol enables plug-and-play AI tool integration. 17387+ servers. Model-agnostic (Claude/OpenAI/Google).,"Free (most servers), varies by server",90,Varies by server,https://mcp.so/,Build MCP servers for niche use cases = early mover advantage. Pre-built for Google Drive/Slack/GitHub/Postgres/Puppeteer.,2026-02-02
Sora 2,AI Video Generation,Commercial-use AI video generation (users own content). Up to 60 seconds. Best overall quality.,$200/mo (Plus tier),85,Yes (user owns content),https://openai.com/sora/,US/Canada only currently. iOS only. 30 daily generations free tier.,2026-02-02
Runway Gen-4,AI Video Generation,AI video with granular control. Strong for filmmakers needing artistic expression.,Starting $12/mo,80,Yes (commercial licenses),https://runwayml.com/,Lionsgate partnership proves commercial viability. Gen-4.5 latest version.,2026-02-02
Pika Pro,AI Video Generation,Best value AI video generation. $35/mo for commercial + no watermark. Versatile creative effects.,$ 35/mo (Pro plan),85,Yes (Pro plan),https://pika.art/,Basic plan free (80 monthly credits). Standard $10/mo (700 credits).,2026-02-02
Veo 3.1,AI Video Generation,Best prompt accuracy in benchmarks. Native audio integration. Consistently outperforms competitors.,Free (Google AI Studio),90,Yes (Google terms),https://deepmind.google/technologies/veo/,Accessible via Google AI Studio. Set new standard for complex multi-element prompts.,2026-02-02
Kling AI 2.0,AI Video Generation,High-definition (1080p) videos up to 2 minutes. Expressive detail and longer-form content.,$8/mo (Pro),80,Yes (paid plans),https://klingai.com/,Free tier: 5-sec clips. Pro tier unlocks 10s clips higher quality.,2026-02-02
Fish Audio,Voice Cloning,ElevenLabs alternative with full commercial rights. $15/mo vs ElevenLabs $22/mo. Safer ToS (no perpetual license grab).,$ 15/mo,85,Yes (paid plans),https://fish.audio/,ElevenLabs changed ToS Feb 2025 to claim perpetual rights over voice data. Fish Audio doesn't.,2026-02-02
Chatterbox,Voice Cloning,Open-source voice cloning with MIT license. Free commercial use. Wins blind tests vs ElevenLabs. 17 languages from 5 seconds audio.,Free (MIT),90,Yes (MIT license),https://github.com/chatterbox/,Best free solution for commercial voice cloning. 5-second audio input.,2026-02-02
Resemble AI,Voice Cloning,3x cheaper than ElevenLabs. Enterprise-level capabilities. Voice cloning from just 10 seconds audio.,Pricing varies,75,Yes (commercial plans),https://www.resemble.ai/,Real-time speech-to-speech. On-premise deployment option.,2026-02-02
Cursor,AI Code Editor,VS Code fork with GPT-4/Claude integration. $100M ARR in 12 months = fastest-growing SaaS ever. Now $500M+ ARR with zero marketing.,$20/mo,95,Yes,https://cursor.sh/,Deep wrapper example. Proprietary features OpenAI can't replicate.,2026-02-02
agent-browser,Browser Automation,Browser automation with AI using your logged-in Chrome profile. Solves #1 pain point: authenticated scraping.,Free (open source),90,Yes (likely MIT/Apache),https://github.com/vercel-labs/agent-browser,Vercel Labs project. Profile sync = game-changer for X/LinkedIn/authenticated scraping.,2026-02-02
Nano Banana,AI UGC Generation,$500+ UGC → $0.10/video via n8n workflow. 38% conversion boost proven. Service opportunity selling to e-comm brands.,Low (API costs only),95,Yes,https://n8n.io/workflows/8644-create-high-quality-ugc-images-with-nano-banana-cheaper-and-faster/,Maverickecom popularized. Combine with Kling for video. Sell as service to brands.,2026-02-02
