city,state,state_abbr,population,metro_population,region
New York,New York,NY,8336817,20140470,Northeast
Los Angeles,California,CA,3979576,13200998,West
Chicago,Illinois,IL,2693976,9618502,Midwest
Houston,Texas,TX,2320268,7122240,South
Phoenix,Arizona,AZ,1608139,4945674,West
Philadelphia,Pennsylvania,PA,1603797,6245051,Northeast
San Antonio,Texas,TX,1547253,2558143,South
San Diego,California,CA,1423851,3338330,West
Dallas,Texas,TX,1343573,7637387,South
San Jose,California,CA,1013240,1990660,West
Austin,Texas,TX,978908,2283371,South
Jacksonville,Florida,FL,949611,1605848,South
Fort Worth,Texas,TX,918915,7637387,South
Columbus,Ohio,OH,905748,2138926,Midwest
Charlotte,North Carolina,NC,874579,2660329,South
Indianapolis,Indiana,IN,887642,2111040,Midwest
San Francisco,California,CA,873965,4749008,West
Seattle,Washington,WA,737015,4018762,West
Denver,Colorado,CO,715522,2963821,West
Washington,District of Columbia,DC,689545,6385162,Northeast
Nashville,Tennessee,TN,689447,1989519,South
Oklahoma City,Oklahoma,OK,681054,1425695,South
El Paso,Texas,TX,678815,868859,South
Boston,Massachusetts,MA,675647,4919179,Northeast
Portland,Oregon,OR,652503,2512859,West
Las Vegas,Nevada,NV,641903,2265461,West
Memphis,Tennessee,TN,633104,1348260,South
Louisville,Kentucky,KY,633045,1285439,South
Baltimore,Maryland,MD,585708,2844510,Northeast
Milwaukee,Wisconsin,WI,577222,1574731,Midwest
Albuquerque,New Mexico,NM,564559,916528,West
Tucson,Arizona,AZ,542629,1043433,West
Fresno,California,CA,542107,1008654,West
Sacramento,California,CA,524943,2397382,West
Mesa,Arizona,AZ,504258,4945674,West
Kansas City,Missouri,MO,508090,2192035,Midwest
Atlanta,Georgia,GA,498715,6144050,South
Omaha,Nebraska,NE,486051,967604,Midwest
Colorado Springs,Colorado,CO,478961,755105,West
Raleigh,North Carolina,NC,467665,1413982,South
Long Beach,California,CA,466742,13200998,West
Virginia Beach,Virginia,VA,459470,1799674,South
Miami,Florida,FL,442241,6138333,South
Oakland,California,CA,433031,4749008,West
Minneapolis,Minnesota,MN,429954,3690261,Midwest
Tampa,Florida,FL,404636,3175275,South
Tulsa,Oklahoma,OK,413066,1015331,South
Arlington,Texas,TX,394266,7637387,South
New Orleans,Louisiana,LA,383997,1271845,South
Wichita,Kansas,KS,397532,647610,Midwest
Bakersfield,California,CA,403455,909235,West
Cleveland,Ohio,OH,372624,2088251,Midwest
Aurora,Colorado,CO,386261,2963821,West
Anaheim,California,CA,350536,13200998,West
Honolulu,Hawaii,HI,350964,989614,West
Santa Ana,California,CA,309441,13200998,West
Riverside,California,CA,314998,4599839,West
Corpus Christi,Texas,TX,317863,494615,South
Lexington,Kentucky,KY,322570,516697,South
Henderson,Nevada,NV,320189,2265461,West
Stockton,California,CA,320804,779233,West
Pittsburgh,Pennsylvania,PA,302971,2370930,Northeast
Saint Paul,Minnesota,MN,311527,3690261,Midwest
Cincinnati,Ohio,OH,309317,2256884,Midwest
Anchorage,Alaska,AK,291247,398328,West
Greensboro,North Carolina,NC,299035,771851,South
Plano,Texas,TX,285494,7637387,South
Lincoln,Nebraska,NE,291082,340217,Midwest
Orlando,Florida,FL,307573,2673376,South
Irvine,California,CA,307670,13200998,West
Newark,New Jersey,NJ,311549,20140470,Northeast
Durham,North Carolina,NC,283506,1413982,South
Chula Vista,California,CA,275487,3338330,West
Toledo,Ohio,OH,270871,643724,Midwest
Fort Wayne,Indiana,IN,268378,419453,Midwest
St. Louis,Missouri,MO,301578,2820253,Midwest
Jersey City,New Jersey,NJ,292449,20140470,Northeast
Chandler,Arizona,AZ,275987,4945674,West
Madison,Wisconsin,WI,269840,660212,Midwest
Lubbock,Texas,TX,264532,322257,South
Scottsdale,Arizona,AZ,241361,4945674,West
Reno,Nevada,NV,264165,490486,West
Buffalo,New York,NY,278349,1166902,Northeast
Gilbert,Arizona,AZ,267918,4945674,West
Glendale,Arizona,AZ,252381,4945674,West
North Las Vegas,Nevada,NV,262527,2265461,West
Winston-Salem,North Carolina,NC,249545,676008,South
Norfolk,Virginia,VA,238005,1799674,South
Chesapeake,Virginia,VA,249422,1799674,South
Fremont,California,CA,230504,4749008,West
Irving,Texas,TX,256684,7637387,South
Richmond,Virginia,VA,226610,1314434,South
Boise,Idaho,ID,235684,764718,West
Spokane,Washington,WA,228989,573493,West
Baton Rouge,Louisiana,LA,227470,870569,South
Tacoma,Washington,WA,219346,4018762,West
San Bernardino,California,CA,222101,4599839,West
Modesto,California,CA,218464,552878,West
Fontana,California,CA,214547,4599839,West
Des Moines,Iowa,IA,214133,699292,Midwest
Moreno Valley,California,CA,212477,4599839,West
Santa Clarita,California,CA,228673,13200998,West
Fayetteville,North Carolina,NC,211657,526719,South
Birmingham,Alabama,AL,200733,1115289,South
Oxnard,California,CA,202063,843843,West
Rochester,New York,NY,211328,1090135,Northeast
Port St. Lucie,Florida,FL,217480,498766,South
Grand Rapids,Michigan,MI,198917,1077370,Midwest
Huntsville,Alabama,AL,215006,502728,South
Salt Lake City,Utah,UT,200133,1257936,West
Frisco,Texas,TX,200509,7637387,South
Yonkers,New York,NY,211569,20140470,Northeast
Glendale,California,CA,196543,13200998,West
Huntington Beach,California,CA,198711,13200998,West
McKinney,Texas,TX,195308,7637387,South
Amarillo,Texas,TX,200393,269253,South
Little Rock,Arkansas,AR,202591,742384,South
Akron,Ohio,OH,190469,703505,Midwest
Augusta,Georgia,GA,202081,611000,South
Grand Prairie,Texas,TX,196100,7637387,South
Mobile,Alabama,AL,187041,430573,South
Knoxville,Tennessee,TN,190740,877719,South
Overland Park,Kansas,KS,197238,2192035,Midwest
Brownsville,Texas,TX,186738,423163,South
Tempe,Arizona,AZ,180587,4945674,West
Tallahassee,Florida,FL,196169,387227,South
Cape Coral,Florida,FL,204510,770577,South
Newport News,Virginia,VA,186247,1799674,South
Montgomery,Alabama,AL,200603,385040,South
Shreveport,Louisiana,LA,187593,397590,South
Ontario,California,CA,175265,4599839,West
Chattanooga,Tennessee,TN,182799,559081,South
Providence,Rhode Island,RI,190934,1624578,Northeast
Fort Lauderdale,Florida,FL,182760,6138333,South
Eugene,Oregon,OR,176654,382067,West
Peoria,Arizona,AZ,190985,4945674,West
Salem,Oregon,OR,175535,436958,West
Elk Grove,California,CA,176124,2397382,West
