trade_id,timestamp,revenue,hours,revenue_per_hour,leads,conversion_rate,notes
PAPER_TRADE_001,2026-02-04T20:56:25.476711,35.0,1.5,23.333333333333332,5,0,
PAPER_TRADE_001,2026-02-04T20:56:29.676925,45.0,2.0,22.5,8,0,
PAPER_TRADE_001,2026-02-04T20:56:29.744207,25.0,1.0,25.0,3,0,
PAPER_TRADE_001,2026-02-04T20:56:29.814946,50.0,2.5,20.0,7,0,
PAPER_TRADE_001,2026-02-04T20:56:34.805718,30.0,1.5,20.0,4,0,
PAPER_TRADE_001,2026-02-04T20:56:34.871659,55.0,2.0,27.5,9,0,
PAPER_TRADE_001,2026-02-04T20:56:34.934621,40.0,1.5,26.666666666666668,6,0,
PAPER_TRADE_001,2026-02-04T20:56:34.996821,28.0,1.2,23.333333333333336,4,0,
PAPER_TRADE_001,2026-02-04T20:56:35.063970,48.0,2.0,24.0,7,0,
PAPER_TRADE_001,2026-02-04T20:56:35.200747,42.0,1.8,23.333333333333332,6,0,
PAPER_TRADE_002,2026-02-04T20:59:07.183824,8.0,1.0,8.0,1,0,
PAPER_TRADE_002,2026-02-04T20:59:07.612613,8.0,1.0,8.0,1,0,
PAPER_TRADE_002,2026-02-04T20:59:07.807974,8.0,1.0,8.0,1,0,
PAPER_TRADE_002,2026-02-04T20:59:07.982147,8.0,1.0,8.0,1,0,
PAPER_TRADE_002,2026-02-04T20:59:08.226541,8.0,1.0,8.0,1,0,
PAPER_TRADE_002,2026-02-04T20:59:08.296547,8.0,1.0,8.0,1,0,
PAPER_TRADE_002,2026-02-04T20:59:08.449313,8.0,1.0,8.0,1,0,
PAPER_TRADE_002,2026-02-04T20:59:09.043398,8.0,1.0,8.0,1,0,
PAPER_TRADE_002,2026-02-04T20:59:09.295030,8.0,1.0,8.0,1,0,
PAPER_TRADE_002,2026-02-04T20:59:09.441174,8.0,1.0,8.0,1,0,
