date,platform,content,hashtags,media_type
2026-02-11,twitter,"built a viral product scanner today. it scrapes FB Ad Library for products with 100+ concurrent ads, cross-references IG reels and TikTok virality, then scores them 0-100. if someone's running 100 ads on a product for 30+ days they're printing. i just need to find what they're printing on.","#ecom #dropshipping #buildinpublic",text
2026-02-12,twitter,"the tweet claiming '$2K to $642K in 60 days' from viral product arb is engagement bait. i ran the actual numbers. base case: -$500 month 1 (testing), $3-5K/mo profit month 2. still good. just not '$642K in 60 days' good. the method is real. the numbers are inflated.","#ecom #dropshipping #realtalk",text
2026-02-13,twitter,"day 1 of viral product arb. scanned 15 product keywords through my scanner. 3 scored above 70/100. posture corrector: 127 active ads in FB library. ice roller: 89 ads. led face mask: 203 ads. ordering samples of all 3 from AliExpress. $11.40 total.","#ecom #buildinpublic",text
2026-02-14,twitter,"most people pick a product, build a store, then pray. the correct order: validate FIRST (FB Ad Library), THEN build store. if nobody's running ads on it profitably, your $80/day test budget is just a donation to Meta.","#dropshipping #ecom",text
2026-02-14,linkedin,"I built an automated scanner that checks Facebook's Ad Library for products with high advertising density. The thesis: if 100+ advertisers are concurrently running ads on the same product for 30+ days, the unit economics work. My scanner cross-references Instagram Reels viral signals and AliExpress sourcing costs to generate a 0-100 virality confidence score. Testing it on 15 products this week. Will share the results.","#ecommerce #automation #python",text
2026-02-15,twitter,"the $200 test rule. spend exactly $200 on a product's ads. if ROAS is below 1.5x after $200, kill it. move to next product. don't 'give it more time.' the data doesn't lie. it took me reading 30 case studies to realize most winners show signal in the first $100-150.","#ecom #paidads",text
2026-02-16,twitter,"day 3 of the viral product arb. $80 in ads. $0 in sales. the product had 200 active ads on FB library but the winning creative was filmed in a way i can't replicate for $0. lesson: don't just count ads, analyze the creative complexity. if the winner requires a $500 production, your iPhone demo won't compete.","#ecom #buildinpublic #dropshipping",text
2026-02-17,twitter,"everyone teaches 'find a winning product.' nobody teaches 'know when to kill a product.' here's my kill criteria after testing 3 products this week:\n\nCTR <1% after 1K impressions = dead creative\nCPM >$35 = wrong audience\nadd to cart <5% = bad product page\nROAS <1.5x after $200 = move on","#dropshipping #ecom",text
2026-02-18,twitter,"product 2 is showing signal. $27 spent, $68 in sales. 2.5x ROAS on a posture corrector. the ad that's working is a simple iPhone video, 15 seconds, showing the before/after posture difference. $0 production cost. the hook: 'i wore this for 2 weeks and my back pain is gone.' testing 4 more creatives tomorrow.","#ecom #buildinpublic",text
2026-02-19,twitter,"the real moat in viral product arb isn't finding products. the FB Ad Library is public. everyone can see the same data. the moat is creative production speed. the person testing 50 ads/week beats the person testing 5. it's a volume game with a skill ceiling on the creative.","#ecom #dropshipping",text
