tweet_id,target_app,content,cta_url,post_type,status
APT001,TaskSmash,"built a free task breaker for people with ADHD. you paste in a task. it breaks it into 5-10 tiny steps. no login. no ads. no bs. just smaller tasks you can actually start.",tasksmash.surge.sh,build_in_public,PENDING_REVIEW
APT002,TaskSmash,"goblin tools has a waitlist now. built a free alternative that does the same thing. breaks tasks into steps. works instantly. tasksmash.surge.sh",tasksmash.surge.sh,free_tool,PENDING_REVIEW
APT003,TaskSmash,"what task is sitting on your list that you keep skipping? (reply with it and i'll show you how to break it down. also built a free tool that does this automatically)",tasksmash.surge.sh,reply_bait,PENDING_REVIEW
APT004,CoreDay,"tracked my output for 60 days. the days i hit 3 tasks beat the days i had 15 on the list. every time. built a tool around this. coreday.surge.sh",coreday.surge.sh,build_in_public,PENDING_REVIEW
APT005,CoreDay,"most productivity apps make you track habits. this one doesn't. pick 3 non-negotiables for today. hit them. done. nothing else to fill out. coreday.surge.sh",coreday.surge.sh,free_tool,PENDING_REVIEW
APT006,CoreDay,"how many tasks do you actually complete on a heavy list day vs a 3-task day? i bet the number isn't what you think. (built a free tool for the 3-task approach)",coreday.surge.sh,reply_bait,PENDING_REVIEW
APT007,FocusLock,"built a pomodoro timer that actually keeps score. 25 min sessions tracked over time. you can see exactly how many deep work hours you've logged this week. focuslock-web.surge.sh",focuslock-web.surge.sh,build_in_public,PENDING_REVIEW
APT008,FocusLock,"free pomodoro timer with a stats dashboard. 25 min on. 5 min off. tracks your sessions so you can see your actual output, not just time spent online. focuslock-web.surge.sh",focuslock-web.surge.sh,free_tool,PENDING_REVIEW
APT009,FocusLock,"what kills your focus more. too many tasks open at once or notifications? curious what the split is. (also here's a free timer i built that tracks your sessions)",focuslock-web.surge.sh,reply_bait,PENDING_REVIEW
APT010,ProductivityStackQuiz,"took a quiz that told me i was using the wrong productivity system for how my brain works. built a version of that quiz. 5 questions. recommends a specific free tool at the end. productivity-stack-quiz.surge.sh",productivity-stack-quiz.surge.sh,build_in_public,PENDING_REVIEW
APT011,ProductivityStackQuiz,"free quiz that tells you which productivity tool actually fits how you work. not generic advice. specific recommendation based on your answers. takes 2 minutes. productivity-stack-quiz.surge.sh",productivity-stack-quiz.surge.sh,free_tool,PENDING_REVIEW
APT012,ProductivityStackQuiz,"are you bad at productivity or just using the wrong system? (legit question. 5-question quiz figures it out and points you to a free tool that matches your brain)",productivity-stack-quiz.surge.sh,reply_bait,PENDING_REVIEW
