date,platform,account,niche,content_type,content_path,caption,hashtags,status,posted_url,notes
2026-01-21,X,@daily_anchor_faith,faith,devotional,CONTENT/social/faith/devotional_01.md,"Started my day at 5:47am with 10 minutes of silence. No phone. No coffee yet. Just stillness. Changed how I react to my inbox all day.","#faith #morningroutine #quiettime #dailydevotion",pending,,Day 1 rotation
2026-01-21,X,@three_hour_physique,fitness,motivation,CONTENT/social/fitness/motivation_01.md,"Motivation is a lie. I've gone to the gym 312 days in the last year. Felt motivated for maybe 40 of them. The other 272 days? I just went. Didn't feel like it. Went anyway. Systems beat feelings every time.","#fitness #gym #discipline #consistency",pending,,Day 1 rotation
2026-01-21,X,@ai_workflows_daily,ai,ai_tool_tip,CONTENT/social/ai/ai_tool_tip_001.md,"ChatGPT's Continue where you left off feature breaks after 20 messages. Fix: Use Claude for long coding sessions. I've had single threads go 150+ messages without context loss. Costs $20/month but saves 2 hours per week of reexplaining context.","#AI #ChatGPT #Claude #productivity",pending,,Day 1 rotation
2026-01-22,X,@daily_anchor_faith,faith,encouragement,CONTENT/social/faith/encouragement_01.md,"","#faith #encouragement #dailyword #blessed",pending,,Day 2 rotation
2026-01-22,X,@three_hour_physique,fitness,workout_tip,CONTENT/social/fitness/workout_tip_01.md,"","#fitness #workout #gym #training",pending,,Day 2 rotation
2026-01-22,X,@ai_workflows_daily,ai,automation_win,CONTENT/social/ai/automation_win_001.md,"","#automation #AI #productivity #workflow",pending,,Day 2 rotation
2026-01-22,Instagram,@dailyanchorfaith,faith,devotional,CONTENT/social/faith/devotional_01.md,"Started my day at 5:47am with 10 minutes of silence. No phone. No coffee yet. Just stillness. Changed how I react to my inbox all day.","#faith #morningroutine #quiettime #dailydevotion #bibleverse #christian",pending,,IG repurpose
2026-01-22,Instagram,@threehourphysique,fitness,motivation,CONTENT/social/fitness/motivation_01.md,"Motivation is a lie. I've gone to the gym 312 days in the last year. Felt motivated for maybe 40 of them. The other 272 days? I just went. Didn't feel like it. Went anyway. Systems beat feelings every time.","#fitness #gym #discipline #consistency #fitfam #workout",pending,,IG repurpose
2026-01-22,Instagram,@aiworkflowsdaily,ai,ai_tool_tip,CONTENT/social/ai/ai_tool_tip_001.md,"ChatGPT's Continue where you left off feature breaks after 20 messages. Fix: Use Claude for long coding sessions. I've had single threads go 150+ messages without context loss. Costs $20/month but saves 2 hours per week of reexplaining context.","#AI #ChatGPT #Claude #productivity #tech #aitools",pending,,IG repurpose
2026-01-23,X,@daily_anchor_faith,faith,practical,CONTENT/social/faith/practical_01.md,"","#faith #practical #christianliving #dailylife",pending,,Day 3 rotation
2026-01-23,X,@three_hour_physique,fitness,nutrition_habit,CONTENT/social/fitness/nutrition_habit_01.md,"","#nutrition #fitness #healthyeating #mealprep",pending,,Day 3 rotation
2026-01-23,X,@ai_workflows_daily,ai,productivity_hack,CONTENT/social/ai/productivity_hack_001.md,"","#productivity #AI #hack #efficiency",pending,,Day 3 rotation
2026-01-24,X,@daily_anchor_faith,faith,devotional,CONTENT/social/faith/devotional_02.md,"","#faith #morningroutine #quiettime #dailydevotion",pending,,Day 4 rotation
2026-01-24,X,@three_hour_physique,fitness,motivation,CONTENT/social/fitness/motivation_02.md,"","#fitness #gym #discipline #consistency",pending,,Day 4 rotation
