keyword,search_volume,difficulty,current_rank,target_rank,priority
women fitness app,18000,72,0,20,high
workout for women,25000,75,0,25,medium
female fitness,12000,58,0,12,high
women workout app,15000,65,0,15,high
fitness app women,11000,55,0,10,high
home workout women,14000,62,0,14,medium
women exercise app,8500,48,0,8,high
female workout,9200,52,0,10,medium
ladies fitness,6800,45,0,8,medium
women gym app,5500,42,0,6,high
fitness for her,3200,28,0,4,high
female exercise app,4800,38,0,6,high
women strength training,7200,48,0,9,medium
women weight loss app,12000,60,0,15,medium
toning workout women,5100,40,0,6,medium
women fitness tracker,6200,45,0,8,medium
female body workout,4500,38,0,6,medium
workout plan women,8800,52,0,11,medium
women health fitness,5800,42,0,7,medium
fitness goals women,3800,32,0,5,medium
women fitness routine,4200,35,0,5,medium
female fitness plan,3500,30,0,4,high
women at home workout,9500,55,0,12,low
workout app female,6800,48,0,9,medium
women body fitness,4100,35,0,5,medium
fitness women free,7500,50,0,10,low
female gym workout,5200,42,0,7,medium
women cardio app,3800,32,0,5,medium
women strength app,2800,25,0,4,high
pilates for women,8200,52,0,11,low
yoga women app,9800,55,0,12,low
women fitness beginner,4500,38,0,6,medium
female fitness beginner,3200,28,0,4,high
women workout plan free,6800,48,0,9,low
fitness for busy women,2400,22,0,3,high
mom fitness app,4200,35,0,5,medium
postpartum fitness,5500,42,0,7,low
women fitness motivation,3800,32,0,5,low
female weight training,4800,40,0,6,medium
women exercise routine,5200,42,0,7,medium
fitness app for ladies,3500,30,0,4,high
workout tracker women,2900,25,0,4,medium
female fitness free,5800,45,0,8,low
women bodyweight workout,4100,35,0,5,medium
quick workout women,3200,28,0,4,medium
10 min workout women,4500,38,0,6,medium
women fitness goals,2800,25,0,4,medium
female gym tracker,2100,18,0,3,high
women workout tracker,3500,30,0,5,medium
fitness program women,4800,40,0,6,medium
