method_id,aso_priority,seo_priority,geo_priority,checklist_section,keywords,target_audience,notes
MM001,MEDIUM,MEDIUM,MEDIUM,,,,
MM002,MEDIUM,MEDIUM,MEDIUM,,,,
MM003,MEDIUM,MEDIUM,MEDIUM,,,,
MM004,MEDIUM,MEDIUM,MEDIUM,,,,
MM005,MEDIUM,MEDIUM,MEDIUM,,,,
MM006,MEDIUM,MEDIUM,MEDIUM,,,,
MM007,MEDIUM,MEDIUM,MEDIUM,,,,
MM008,MEDIUM,MEDIUM,MEDIUM,,,,
MM009,MEDIUM,MEDIUM,MEDIUM,,,,
MM010,MEDIUM,MEDIUM,MEDIUM,,,,
MM011,MEDIUM,MEDIUM,MEDIUM,,,,
CF001,MEDIUM,MEDIUM,MEDIUM,,,,
CF002,MEDIUM,MEDIUM,MEDIUM,,,,
CF003,MEDIUM,MEDIUM,MEDIUM,,,,
CF004,MEDIUM,MEDIUM,MEDIUM,,,,
CF005,MEDIUM,MEDIUM,MEDIUM,,,,
CF006,MEDIUM,MEDIUM,MEDIUM,,,,
CF007,MEDIUM,MEDIUM,MEDIUM,,,,
CF008,MEDIUM,MEDIUM,MEDIUM,,,,
CF009,MEDIUM,MEDIUM,MEDIUM,,,,
CF010,MEDIUM,MEDIUM,MEDIUM,,,,
AI001,MEDIUM,MEDIUM,MEDIUM,,,,
AI002,MEDIUM,MEDIUM,MEDIUM,,,,
AI003,MEDIUM,MEDIUM,MEDIUM,,,,
AI004,MEDIUM,MEDIUM,MEDIUM,,,,
AI005,MEDIUM,MEDIUM,MEDIUM,,,,
AI006,MEDIUM,MEDIUM,MEDIUM,,,,
AI007,MEDIUM,MEDIUM,MEDIUM,,,,
AI008,MEDIUM,MEDIUM,MEDIUM,,,,
MM012,MEDIUM,MEDIUM,MEDIUM,,,,
MM013,MEDIUM,MEDIUM,MEDIUM,,,,
MM014,MEDIUM,MEDIUM,MEDIUM,,,,
MM015,MEDIUM,MEDIUM,MEDIUM,,,,
MM016,MEDIUM,MEDIUM,MEDIUM,,,,
SWARM001,MEDIUM,MEDIUM,MEDIUM,,,,
CF011,MEDIUM,MEDIUM,MEDIUM,,,,
CF012,MEDIUM,MEDIUM,MEDIUM,,,,
CF013,MEDIUM,MEDIUM,MEDIUM,,,,
MM017,MEDIUM,MEDIUM,MEDIUM,,,,
MM018,MEDIUM,MEDIUM,MEDIUM,,,,
MM019,MEDIUM,MEDIUM,MEDIUM,,,,
MM020,MEDIUM,MEDIUM,MEDIUM,,,,
MM021,MEDIUM,MEDIUM,MEDIUM,,,,
MM022,MEDIUM,MEDIUM,MEDIUM,,,,
MM023,MEDIUM,MEDIUM,MEDIUM,,,,
MM024,MEDIUM,MEDIUM,MEDIUM,,,,
MM025,MEDIUM,MEDIUM,MEDIUM,,,,
MM026,MEDIUM,MEDIUM,MEDIUM,,,,
MM027,MEDIUM,MEDIUM,MEDIUM,,,,
MM028,MEDIUM,MEDIUM,MEDIUM,,,,
MM029,MEDIUM,MEDIUM,MEDIUM,,,,
MM030,MEDIUM,MEDIUM,MEDIUM,,,,
MM031,MEDIUM,MEDIUM,MEDIUM,,,,
MM032,MEDIUM,MEDIUM,MEDIUM,,,,
MM033,MEDIUM,MEDIUM,MEDIUM,,,,
MM034,MEDIUM,MEDIUM,MEDIUM,,,,
MM035,MEDIUM,MEDIUM,MEDIUM,,,,
MM036,MEDIUM,MEDIUM,MEDIUM,,,,
MM037,MEDIUM,MEDIUM,MEDIUM,,,,
MM038,MEDIUM,MEDIUM,MEDIUM,,,,
MM039,MEDIUM,MEDIUM,MEDIUM,,,,
MM040,MEDIUM,MEDIUM,MEDIUM,,,,
MM041,MEDIUM,MEDIUM,MEDIUM,,,,
MM042,MEDIUM,MEDIUM,MEDIUM,,,,
MM043,MEDIUM,MEDIUM,MEDIUM,,,,
MM044,MEDIUM,MEDIUM,MEDIUM,,,,
MM045,MEDIUM,MEDIUM,MEDIUM,,,,
MM046,MEDIUM,MEDIUM,MEDIUM,,,,
MM070,MEDIUM,MEDIUM,MEDIUM,,,,
