type,market_id,question,predicted,actual,confidence_pct,close_date,content,generated_at
resolved_note,220680,Will the Canadiens or Lightning win the Stanley Cup Finals?,,resolved,,2011-07-05T20:21:00Z,Market settled: 'Will the Canadiens or Lightning win the Stanley Cup Finals?' resolved as resolved. Closed 2011-07-05T20:21:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,212366,Will any NBA Conference Semifinal Series go to a Game 7?,,resolved,,2018-06-13T20:21:00Z,Market settled: 'Will any NBA Conference Semifinal Series go to a Game 7?' resolved as resolved. Closed 2018-06-13T20:21:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,97,Will any art piece on Superrare sell for more than $100k before 2021?,,resolved,,2020-01-01T00:00:00Z,Market settled: 'Will any art piece on Superrare sell for more than $100k before 2021?' resolved as resolved. Closed 2020-01-01T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,212357,Will the Jazz or the Clippers win their NBA Conference Semifinals Series?,,resolved,,2020-06-14T20:21:00Z,Market settled: 'Will the Jazz or the Clippers win their NBA Conference Semifinals Series?' resolved as resolved. Closed 2020-06-14T20:21:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,224116,(NBA) Bucks in six?,,resolved,,2020-07-14T20:21:00Z,Market settled: '(NBA) Bucks in six?' resolved as resolved. Closed 2020-07-14T20:21:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,64,Will Khabib win his UFC 254 Fight?,,resolved,,2020-10-25T00:00:00Z,Market settled: 'Will Khabib win his UFC 254 Fight?' resolved as resolved. Closed 2020-10-25T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,56,Who will win the 2020 MLB World Series?,,resolved,,2020-10-29T00:00:00Z,Market settled: 'Who will win the 2020 MLB World Series?' resolved as resolved. Closed 2020-10-29T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,57,Will Dharma’s Phase 1 Retroactive UNI Distribution proposal pass?,,resolved,,2020-10-31T00:00:00Z,Market settled: 'Will Dharma’s Phase 1 Retroactive UNI Distribution proposal pass?' resolved as resolved. Closed 2020-10-31T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,42,Will there be an Emergency Use Authorization (EUA) granted for a COVID-19 vaccine prior to Nov 3 2020?,,resolved,,2020-11-04T00:00:00Z,Market settled: 'Will there be an Emergency Use Authorization (EUA) granted for a COVID-19 vaccine prior to Nov 3 2020?' resolved as resolved. Closed 2020-11-04T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,12,Will Joe Biden get Coronavirus before the election?,,resolved,,2020-11-04T00:00:00Z,Market settled: 'Will Joe Biden get Coronavirus before the election?' resolved as resolved. Closed 2020-11-04T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,18,"Will a new Supreme Court Justice be confirmed before Nov 3rd, 2020?",,resolved,,2020-11-04T00:00:00Z,"Market settled: 'Will a new Supreme Court Justice be confirmed before Nov 3rd, 2020?' resolved as resolved. Closed 2020-11-04T00:00:00Z. #Polymarket #PredictionMarkets",2026-03-25T14:08:20.461082+00:00
resolved_note,36,"What will the price of Bitcoin be on November 4th, 2020?",,resolved,,2020-11-04T00:00:00Z,"Market settled: 'What will the price of Bitcoin be on November 4th, 2020?' resolved as resolved. Closed 2020-11-04T00:00:00Z. #Polymarket #PredictionMarkets",2026-03-25T14:08:20.461082+00:00
resolved_note,73,Will Donald Trump tweet announcing that he won the election before November 5th 2020?,,resolved,,2020-11-05T00:00:00Z,Market settled: 'Will Donald Trump tweet announcing that he won the election before November 5th 2020?' resolved as resolved. Closed 2020-11-05T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,74,Will the Associated Press publish a tweet calling the 2020 US presidential election before November 6?,,resolved,,2020-11-06T00:00:00Z,Market settled: 'Will the Associated Press publish a tweet calling the 2020 US presidential election before November 6?' resolved as resolved. Closed 2020-11-06T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,99,Will the Seahawks or the Rams win their week 10 NFL matchup?,,resolved,,2020-11-16T00:00:00Z,Market settled: 'Will the Seahawks or the Rams win their week 10 NFL matchup?' resolved as resolved. Closed 2020-11-16T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,44,"What will the USD price of Filecoin ($FIL) be on November 17th, 2020?",,resolved,,2020-11-17T00:00:00Z,"Market settled: 'What will the USD price of Filecoin ($FIL) be on November 17th, 2020?' resolved as resolved. Closed 2020-11-17T00:00:00Z. #Polymarket #PredictionMarkets",2026-03-25T14:08:20.461082+00:00
resolved_note,78,Will LaMelo Ball be the first pick in the 2020 NBA draft?,,resolved,,2020-11-19T00:00:00Z,Market settled: 'Will LaMelo Ball be the first pick in the 2020 NBA draft?' resolved as resolved. Closed 2020-11-19T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,69,Which party will win Texas in the 2020 presidential election?,,resolved,,2020-11-20T00:00:00Z,Market settled: 'Which party will win Texas in the 2020 presidential election?' resolved as resolved. Closed 2020-11-20T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
resolved_note,40,Will Trump win the 2020 U.S. presidential election?,,resolved,,2020-11-20T00:00:00Z,Market settled: 'Will Trump win the 2020 U.S. presidential election?' resolved as resolved. Closed 2020-11-20T00:00:00Z. #Polymarket #PredictionMarkets,2026-03-25T14:08:20.461082+00:00
