meta_id,meta_name,category,detected_date,velocity_score,coin_potential,product_potential,content_potential,time_window,applicable_niches,historical_pattern_match,status,evidence_summary
META001,Cozy AI Companions,tech,2026-02-06,6,9,6,10,months,"N003,N033",GHIBLI,ACTIVE,"AI companion apps with cozy aesthetic branding going viral on TikTok"
META002,Morning Mobility Stack,fitness,2026-02-06,5,3,10,9,months,"N002,N033",ROUTINE,ACTIVE,"Morning mobility routine trend on fitness TikTok"
META003,Prayer Streak Apps,faith,2026-02-06,4,5,7,8,months,"N001,N003,N004",NOVEL,ACTIVE,"Christian prayer tracking apps gaining traction - gamification of devotional practice"
META004,AI Study Agents,tech,2026-02-06,5,8,7,8,months,"N003,N010",GHIBLI,ACTIVE,"AI agents that manage study schedules and generate practice tests"
META005,Sleep Soundscape Coins,sleep,2026-02-06,6,9,6,10,months,"N011,N033",GHIBLI,ACTIVE,"Meme coin around sleep/relaxation aesthetic - cozy vibes"
META006,Micro-Fasting Timers,wellness,2026-02-06,5,3,10,9,months,"N002,N033",ROUTINE,ACTIVE,"Intermittent fasting timer apps with social features trending"
META007,Couple's Finance Dashboard,finance,2026-02-06,4,5,7,8,months,N008,NOVEL,ACTIVE,"Apps for couples to manage shared finances"
META008,GenZ Stock Memes,finance,2026-02-06,6,5,7,8,months,"N007,N014,N023,N033",NOVEL,ACTIVE,"GenZ creating meme accounts around stock market moves"
META009,OpenClaw/Moltbot AI Agents,tech,2026-02-06,10,6,9,10,weeks,"N003,N033",GHIBLI,ACTIVE,"160K+ GitHub stars. MOLT $42M mcap surged 7000% now correcting. MCP Linux Foundation. 1.5M AI agents. ClawCon meetup. Adopted by OpenAI Google AWS Microsoft. UPDATED SCORE: 185"
META010,Hyrox Fitness Racing,fitness,2026-02-06,8,2,9,10,months,N002,ROUTINE,ACTIVE,"Hybrid fitness racing. 550K athletes growing to 1.5M. $140M revenue. No dominant training app."
META011,Great Lock-In Challenge,lifestyle,2026-02-06,7,1,9,10,weeks,"N002,N009",ROUTINE,ACTIVE,"Gymshark Lock-In viral challenge. Habit tracker product angle."
META012,Run Club Social Movement,fitness,2026-02-06,8,1,8,10,months,N002,ROUTINE,ACTIVE,"Social running clubs exploding. Community app + matchmaking angle."
META013,AI Companion Relationships,tech,2026-02-06,9,3,8,10,months,"N003,N009",GHIBLI,ACTIVE,"$36.8-49.5B market 2026. 337 apps 220M downloads. FTC investigating 7 companies. Character.AI settling wrongful death suits. 12+ state bills. UPDATED SCORE: 170"
META014,Faceless AI Content Channels,tech,2026-02-06,8,1,8,9,months,N003,TOOL_ARB,ACTIVE,"$117M/yr industry. YouTube raised quality bar. High-RPM: finance $9-21 English learning $11.88 sleep $10.92. Teaching meta > doing. UPDATED SCORE: 168"
META015,Maxi Doge Fitness Memecoin,crypto,2026-02-06,7,8,3,7,weeks,N033,GHIBLI,MONITORING,"$4.55M presale. Doge fitness meme crossover."
META016,Citizenship By Investment TikTok,finance,2026-02-06,7,2,10,9,months,N007,TOOL_ARB,ACTIVE,"CBI content viral on TikTok. $5-20K consulting per client."
META017,Longevity Optimization TikTok,wellness,2026-02-06,8,2,9,9,months,"N002,N009",ROUTINE,ACTIVE,"$5.28B supplements market. Bryan Johnson 12yr bio reversal. NMN 15-30% affiliate. Fiber maxxing + microplastic defense new angles. UPDATED SCORE: 165"
META018,Roblox Brainrot Collecting,gaming,2026-02-06,8,4,6,7,months,"N016,N033",GHIBLI,PEAKED,"56B visits. Peak 25.8M CCU Oct 2025. Movie deal = late cycle. No coin materialized. Roblox stock -50% 6mo. UPDATED SCORE: 145"
META019,CATX Mystery Pump,crypto,2026-02-06,6,8,2,4,days,N033,NOVEL,SPECULATIVE,"3600% pump. No clear fundamentals. Extreme risk."
META020,AI Findom Virtual Creators,adult,2026-02-06,7,2,10,8,months,N026,NOVEL,ACTIVE,"AI findom on Fanvue. $10K+/mo top performers."
META021,Pump.fun Solana Token Factory,crypto,2026-02-06,9,9,5,8,weeks,N033,TOOL_ARB,ACTIVE,"$2B ATH daily volume. 37K+ tokens/day. PUMP ICO $1.3B. 98% tokens fail in 24hrs."
META022,Christian Social Apps,faith,2026-02-06,5,1,8,7,months,N001,NOVEL,ACTIVE,"Faith-based social app gap. Hallow proving category at $380M valuation."
