platform,metric,value_2026,comparison,arbitrage_multiplier,requirements,status,source_url,notes,created_at
TikTok Creator Rewards,RPM (Revenue Per Mille),$0.40-$1.00+ per 1K views,"Old Creator Fund: $0.02-$0.04 per 1K",10-25x increase,10K followers + 100K monthly views + 60+ second videos,Active,https://affinco.com/tiktok-creator-rewards-program/,$600+ per million views. Doubled creators making $50K+/month. 250% increase over old fund.,2026-02-02
Facebook Reels,RPM (Revenue Per Mille),$0.02-$0.60 per 1K views (most 4-8 cents),"YouTube Shorts: $0.01-$0.07/1K, TikTok old: $0.02-$0.04/1K",Up to 8x YouTube Shorts,Varies by region,Active,https://medium.com/@AdamiExperience/facebook-reels-vs-youtube-shorts-vs-tiktok-which-pays-better-my-tested-results-8c9f3c71f607,Revenue keeps rolling after engagement picks up. Cross-post all short-form content.,2026-02-02
X/Twitter Creator Revenue,Creator Payouts,2-3x previous cycles (2026 vs 2025),"2025 baseline, 2026 doubled pool",2-3x same content,Premium subscription + engagement,Active,https://www.outfy.com/blog/how-to-make-money-on-x/,Revenue sharing pool doubled. Many creators report first time it feels like real income. X Money wallet launching 2026.,2026-02-02
YouTube Shorts,RPM (Revenue Per Mille),$0.01-$0.07 per 1K views,TikTok new rewards: $0.40-$1.00+/1K,1/6th to 1/14th of TikTok,YouTube Partner Program eligibility,Active,https://www.lovart.ai/blog/video-generators-review,Lowest payout but easiest to qualify. SEO now matters for Shorts (Jan 2026 update).,2026-02-02
Instagram Reels,Algorithm Priority,Intent-based distribution + topic clustering,Pre-2026: Generic distribution,Niche focus advantage,Account consistency in niche,Active,https://www.engadget.com/social-media/instagram-wants-you-to-personalize-your-reels-algorithm-for-2026-215252736.html,'Your Algorithm' feature lets users choose 3 interests. Retention + rewatch > likes. DM shares = new priority metric.,2026-02-02
Bluesky,User Growth,40.2M users (2025) → 75-100M projected (2026 end),Tripled in 2025,Zero monetization competition,Early adoption,Growth phase,https://getbluepilot.com/blog/is-bluesky-dying-growth-data-and-2026-platform-outlook,Creator subscriptions rolling out 2026. AT Protocol dev opportunities. Build presence before monetization launches.,2026-02-02
Threads,User Base,400M MAU (no direct monetization yet),Analysts project $11.3B revenue by 2026,Reach funnel to Instagram,Instagram account,Active (ads only),https://blog.passes.com/how-to-monetize-threads/,Bonus program ended mid-2025. Use for reach then funnel to Instagram monetization. Ads launched Jan 2025.,2026-02-02
Whop vs Gumroad,Platform Fees,Whop: 5.7% total | Gumroad: 10% + $0.50,Saves $1080+ per $10K revenue,43% cheaper,Product listings,Active,https://whop.com/blog/what-is-gumroad/,Whop = 3% commission + 2.7% payment processing. No monthly fees either platform.,2026-02-02
Cold Email Deliverability,Inbox Placement,Gmail: 87.2% | Yahoo: 86% | Outlook: 75.6%,Global average: 83.1%,Gmail 5% better than average,SPF/DKIM/DMARC + DMARC p=reject,Active,https://www.mailforge.ai/blog/domain-deliverability-benchmarks,Above 90% = good above 95% = excellent. Healthy campaigns land 90-95%. Authentication > copy quality.,2026-02-02
MCP Marketplace,Server Count,17387+ servers (late 2024 launch → early 2026),Zero competition late 2024,First-mover window shrinking,Development skills,Active,https://mcp.so/,Model-agnostic (Claude/OpenAI/Google). Pre-built for major tools. Build niche MCP servers = early advantage.,2026-02-02
