tactic_id,source_creator,tactic_name,description,category,difficulty,time_to_revenue,cost_to_implement,roi_potential,applicable_methods,applicable_niches,replicable,priority,notes
RT001,@levelsio,Build-in-Public Transparency,Share revenue numbers and product metrics publicly on Twitter to build trust and organic following,GROWTH,MEDIUM,3-6 months,$0,HIGH,"MM001,MM002,MM004","N001_faith,N002_fitness,N003_tech",YES,HIGH,Requires consistent posting for months. Compounding effect.
RT002,@levelsio,Multiple Products Same Audience,Build 3-5 products targeting the same audience to maximize LTV per follower,PRODUCT,MEDIUM,6-12 months,"$0-500/mo",HIGHEST,"MM001,MM002,MM025",ALL,YES,HIGH,Cross-sell existing audience. Digital nomads buy NomadList + RemoteOK + PhotoAI.
RT003,@levelsio,Twitter-as-Free-Marketing,Use Twitter/X as primary marketing channel with zero ad spend. Controversial takes + memes drive engagement,MARKETING,MEDIUM,6-12 months,$0,HIGH,"MM006,CF001-CF013","N001_faith,N002_fitness,N003_tech",YES,MEDIUM,Requires 2+ years of consistent content before meaningful following.
RT004,@tdinh_me,API Wrapper Speed Play,"When new AI API launches build better UI in 24-48 hours. TypingMind built in 1 day = $500K year 1",PRODUCT,HIGH,1-7 days,"$0-100",HIGHEST,"MM001,MM027,MM031",N003_tech,YES,HIGHEST,"Time-sensitive arbitrage. Must monitor API launches daily. Biggest single tactic."
RT005,@tdinh_me,One-Time Pricing Model,"$39-129 one-time purchases instead of subscriptions. Lower friction = higher volume. 20K+ customers",PRICING,LOW,Immediate,$0,HIGH,"MM001,MM025","N001_faith,N002_fitness,N003_tech",YES,HIGH,Works best for tools with low marginal cost. No recurring revenue downside.
RT006,@tdinh_me,Product Portfolio Strategy,"Build multiple small products ($5-10K/mo each) instead of one big SaaS. Diversification + multiple shots on goal",PRODUCT,MEDIUM,3-6 months,"$0-200/mo",HIGH,"MM001,MM004,MM027",ALL,YES,HIGH,Marc Lou and Tony both prove this. 30 apps > 1 app approach.
RT007,@marc_louvion,Product Hunt Mastery,"Launch on Product Hunt with viral video. 13 of 21 launches hit #1 Product of Day. $6K in first 48 hours",LAUNCH,MEDIUM,1-2 days,$0,HIGH,"MM001,MM004,MM027",N003_tech,YES,HIGH,Repeatable launch channel. Requires Product Hunt community engagement.
RT008,@marc_louvion,Engineering-as-Marketing,"Build free micro-tools that drive traffic to paid products. LogoFast = 50K logos = $5K ShipFast referrals",MARKETING,HIGH,1-4 weeks,"$0-100",HIGH,"MM001,MM004",N003_tech,YES,MEDIUM,Requires building useful free tools. High effort but compounds.
RT009,@marc_louvion,Info Product Pivot,"Transition from SaaS to info products (courses). CodeFast launched Nov 2024 = $92K in 48 hours. 10x easier to sell than SaaS",PRODUCT,LOW,1-4 weeks,$0,HIGHEST,MM002,ALL,YES,HIGHEST,"Biggest ROI tactic. Build products THEN sell the how-to-build course. Marc proved this."
RT010,@dannypostmaa,Programmatic SEO (pSEO),"Generate 200+ location-based pages to rank for long-tail keywords. Ranked top 10 for professional headshots",SEO,HIGH,2-6 months,"$0-50/mo",HIGHEST,"MM001,MM003,MM029",ALL,YES,HIGH,One-time effort creates hundreds of ranking pages. HeadshotPro blueprint.
RT011,@dannypostmaa,Affiliate Channel at Scale,"Build affiliate program generating $50K+/mo. 15%+ of total revenue from affiliates promoting your product",MARKETING,MEDIUM,3-6 months,"$50-200/mo (Rewardful)",HIGH,"MM001,MM003,MM025",ALL,YES,HIGH,Passive revenue channel. Partners do the marketing. Backlinks boost SEO.
RT012,@dannypostmaa,Acquisition Funnel,"Acquire smaller competing products (Dreamchanted Hesti AI) to funnel their traffic to main product",GROWTH,HIGH,Varies,"$1K-50K per acquisition",MEDIUM,"MM001,MM004",N003_tech,PARTIAL,LOW,Requires capital and deal flow. Not Day 1 tactic.
RT013,@maverickecom,AI UGC Factory ($300/mo stack),"Kling + Nano Banana + Fastmoss + Captions app = 300+ TikTok videos/day. Replaces $50K+/mo creative budget",CONTENT,HIGH,1-2 weeks,"$300/mo",HIGHEST,"AI001-AI008,CF001-CF013,MM016",ALL,YES,HIGHEST,Production-ready tactic. $300/mo for content that would cost $50K+ manually.
RT014,@maverickecom,Vetted Creator Network,"Build database of 14K-27K TikTok Shop creators who sell profitably. Average $36K/mo GMV per creator",DISTRIBUTION,HIGH,1-3 months,"$500-2K (initial outreach)",HIGH,"MM016,AI001-AI008",ALL,PARTIAL,MEDIUM,Network takes time to build. Start with 50-100 creators then scale.
RT015,@gregisenberg,Content-to-Community Pipeline,"Free podcast -> newsletter (100K+ subs) -> SaaS product -> high-ticket workshop ($5375). Full ascension model",FUNNEL,HIGH,6-12 months,"$0-500/mo",HIGHEST,"MM002,MM015,MM062",ALL,YES,HIGH,Proven pipeline. Takes 6+ months to build audience but then prints money.
RT016,@gregisenberg,IdeaBrowser Engineering-as-Marketing,"Build tool that generates startup ideas (your audience's core need). Tool IS the marketing for your studio",PRODUCT,HIGH,2-4 months,"$500-2K",HIGH,"MM001,MM027",N003_tech,YES,MEDIUM,Tool must solve actual problem for target audience. Not just a demo.
RT017,@dickiebush,Ascension Price Ladder,"$0 (free course) -> $350 (Ship 30) -> $6800 (PGA). Each tier filters for more serious buyers. PGA = $6.8M from 1000 students",PRICING,MEDIUM,2-3 months,$0,HIGHEST,"MM002,MM062",ALL,YES,HIGHEST,"Most profitable model. 1000 students x $6800 = $6.8M. Apply to any expertise."
RT018,@dickiebush,Cohort Course Model,"30-day writing challenge creates community + accountability + results. 10000+ graduates = testimonial engine",PRODUCT,MEDIUM,1-2 months,"$0-200/mo (community platform)",HIGH,MM002,ALL,YES,HIGH,Works for any skill. 30-day challenge + community + weekly calls.
RT019,@codyschneiderxx,Podcast-as-Sales-Tool,"B2B podcast = demand gen + content engine + relationship builder. Every episode = multiple content pieces",MARKETING,MEDIUM,2-3 months,"$0-100/mo (hosting)",HIGH,"MM007,MM061,MM015",ALL,YES,HIGH,"Best B2B demand gen channel according to Cody. Warms leads before cold email."
RT020,@codyschneiderxx,Programmatic Niche Sites,"Use Drafthorse AI to write 100 articles in 2 minutes. Low-competition long-tail keywords rank immediately",SEO,HIGH,1-4 weeks,"$50-200/mo (AI writing tool)",HIGH,"MM003,MM029",ALL,YES,HIGH,Flips niche site economics. Content so cheap you can go after ALL long tail.
