ALPHA1419,WebSearch Platform Research,https://www.post-bridge.com/blog/how-much-does-facebook-reels-pay-per-1000-views,PLATFORM_ARBITRAGE,"Facebook Reels RPM $0.02-$0.60/1K views. US audience CPM $20.48. Most creators see $0.04-$0.08. 1M views = $40-$600. Unified Content Monetization replaced old fragmented programs Aug 2025. Invite-only bonus up to $35K/mo.",HIGHEST,IMMEDIATE,PENDING_REVIEW,MM006,ALL,94,Verified across multiple sources. US geo = premium RPM.,,AUTHENTIC,TRUE,Cross-post to FB Reels for higher RPM than YouTube Shorts.,,2026-02-04
ALPHA1420,Meta Engineering Blog,https://engineering.fb.com/2026/01/14/ml-applications/adapting-the-facebook-reels-recsys-ai-model-based-on-user-feedback/,PLATFORM_ARBITRAGE,"FB Reels algorithm prioritizes same-day content with 50% more distribution. Rewatches and completions count more than total views. 15-30s optimal length (45% higher completion). Hook required in first 3 seconds. Original content rewarded watermarked suppressed.",HIGH,IMMEDIATE,PENDING_REVIEW,MM006,ALL,92,Meta official engineering blog. Algorithm details confirmed.,,AUTHENTIC,N/A,Post same-day. 15-30s videos. Hook in 3s. No watermarks.,,2026-02-04
ALPHA1421,ContentStudio/DemandSage,https://contentstudio.io/blog/tiktok-creativity-program,PLATFORM_ARBITRAGE,"TikTok Creator Rewards $0.40-$6.00 RPM. 10-25x old Creator Fund rates. Finance/Tech/Business = $1.00+ RPM. Standard = $0.40-$1.00. 1M views = $400-$6000. Requires 10K followers 100K monthly views 1min+ videos.",HIGHEST,IMMEDIATE,PENDING_REVIEW,MM006,ALL,95,Major upgrade from old fund. Niche matters significantly.,,AUTHENTIC,TRUE,Create 1min+ finance/tech content for max RPM.,,2026-02-04
ALPHA1422,Opus.pro/Socialync,https://www.opus.pro/blog/tiktoks-new-algorithm-2026,PLATFORM_ARBITRAGE,"TikTok 70% completion rate now needed to go viral (up from 50% in 2024). Saves and shares weighted above likes. Comment quality > quantity. First 60 mins critical for algorithm push. 60-180s videos outperforming 15s clips.",HIGH,IMMEDIATE,PENDING_REVIEW,MM006,ALL,90,Algorithm change documented. Higher bar for viral.,,AUTHENTIC,N/A,Focus retention. Longer videos. Early engagement critical.,,2026-02-04
ALPHA1423,Traackr/Micky Weis,https://www.traackr.com/influencer-marketing-blog/tiktok-algorithm-evolution-influencer-marketing-strategy,PLATFORM_ARBITRAGE,"TikTok follower-first distribution new in 2026. Videos shown to followers first before wider push. Oracle deal causing algorithm retraining Q1 2026. Original content heavily favored reposted content suppressed. TikTok SEO: keywords in captions text and audio scanned.",HIGH,IMMEDIATE,PENDING_REVIEW,MM006,ALL,88,Structural change from Oracle deal. Monitor for fluctuations.,,AUTHENTIC,N/A,Build follower base first. Use TikTok SEO keywords. Original only.,,2026-02-04
ALPHA1424,Influencer Marketing Hub/Mediacube,https://influencermarketinghub.com/youtube-shorts-rpm/,PLATFORM_ARBITRAGE,"YouTube Shorts RPM $0.01-$0.50. Most creators $0.03-$0.07. Finance niche 10x comedy/lifestyle ($0.05-$0.30 vs $0.01-$0.03). 1M views = $10-$500. 45% creator share (YouTube keeps 55%). Shorts = 22% of YouTube ad revenue but lowest creator payout. Best for growth not revenue.",MEDIUM,SOON,PENDING_REVIEW,MM006,ALL,75,Lowest paying platform. Use for audience growth only.,,AUTHENTIC,N/A,Use Shorts for growth. Drive traffic to long-form or other platforms.,,2026-02-04
ALPHA1425,PPC.land/The Street,https://ppc.land/x-doubles-creator-revenue-pool-and-offers-1m-for-top-article-but-why/,PLATFORM_ARBITRAGE,"X/Twitter doubled creator revenue pool January 2026. 25% of Premium sub revenue to creator pool. Musk directive: pay more than YouTube for right creators. Timeline impressions now weighted. 2026 declared year of the creator.",HIGHEST,IMMEDIATE,PENDING_REVIEW,MM006,ALL,93,Major policy shift. Doubled pool confirmed. Watch sustainability.,,AUTHENTIC,TRUE,Prioritize X content. Timeline impressions matter most.,,2026-02-04
ALPHA1426,X/Wion News,https://www.wionews.com/world/elon-musk-x-1-million-payout-long-form-articles-creators-1768637587409,PLATFORM_ARBITRAGE,"X $1M prize for top Article during next payout period. US users only. Articles must be 1000+ words. Articles heavily weighted in new algorithm. X Money wallet (Visa-backed) coming 2026 for payouts.",HIGH,IMMEDIATE,PENDING_REVIEW,MM006,N003_tech,91,$1M single prize. US only. Long-form content play.,,AUTHENTIC,TRUE,Write 1000+ word Articles on X for prize eligibility.,,2026-02-04
ALPHA1427,Social Media Today/Creator Testimonials,https://www.socialmediatoday.com/news/x-formerly-twitter-updates-creator-revenue-share-program/734944/,PLATFORM_ARBITRAGE,"X creators reporting 2-3x previous payouts with flat impressions. First time X feels like real income stream per testimonials. Engagement-based model shifted from ad revenue late 2024. X Premium growth = creator earnings growth.",HIGH,IMMEDIATE,PENDING_REVIEW,MM006,ALL,89,Creator testimonials positive. Verify with personal testing.,,AUTHENTIC,FALSE,Test X monetization personally. 2-3x claims unverified but widespread.,,2026-02-04
ALPHA1428,Blacktwist/Social Media Today,https://blacktwist.app/blog/threads-monetization-requirements,PLATFORM_ARBITRAGE,"Threads creator bonus program KILLED April 2025. Meta gave no public explanation. Previous bonuses $500-$5K for view/post goals. No direct creator monetization currently active. Ads launched globally May 2025 but creators don't earn. Use Threads for brand building only.",LOW,BACKLOG,PENDING_REVIEW,MM006,ALL,60,No direct monetization. Deprioritize for revenue.,,AUTHENTIC,N/A,Threads = brand building only. Zero direct revenue potential.,,2026-02-04
ALPHA1429,Gumlet/Influencer Marketing Hub,https://www.gumlet.com/learn/kick-vs-twitch/,PLATFORM_ARBITRAGE,"Kick 95/5 split vs Twitch 50/50 default. $5 sub = $4.75 Kick vs $2.50 Twitch. 1.9x more per subscriber. Twitch Partner Plus 70/30 requires 350 recurring subs for 3 months. 100% donations kept on both platforms.",HIGHEST,IMMEDIATE,PENDING_REVIEW,MM009,ALL,95,Clear arbitrage. Kick nearly 2x per sub. Major streamers switched.,,AUTHENTIC,TRUE,Stream on Kick or dual-stream. 95/5 split transformational.,,2026-02-04
ALPHA1430,OneStream,https://onestream.live/blog/kick-vs-twitch/,PLATFORM_ARBITRAGE,"Kick $16/hour incentive for eligible streamers. Creator Incentive Program offers guaranteed wages. Entry requires channel verification 1500+ subs and activity benchmarks. xQc $100M contract. Adin Ross migrated. Kick backed by Stake gambling.",HIGH,IMMEDIATE,PENDING_REVIEW,MM009,ALL,88,Hourly incentive real but selective. xQc deal verified.,,AUTHENTIC,TRUE,Apply for Kick incentive program if streaming. Hourly wage bonus.,,2026-02-04
