method_id,method_name,category,sub_category,status,priority,revenue_model,automation_level,monthly_potential,notes,created_date,source_file,monthly_potential_low,monthly_potential_high,stacks_with,synergy_score,synergy_type,cross_sell_products,shared_audience,automation_combo,revenue_multiplier,synergy_notes
MM001,APP_FACTORY,CORE,N/A,Active,Phase1,IAP + Subs,Medium,$1k-50k,Faith fitness productivity apps,2026-01-20,MONEY_METHODS_TRACKER.csv,$1k,50k,"AI005,CF007,MM002,MM009,MM017,MM019",95,Build app + influencer promo + info product + clipper network,"Fitness app -> fitness influencer promo, Course upsell, Network launch",Health-conscious 25-45,TRUE,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization"
MM002,INFO_PRODUCTS,CORE,N/A,Planning,Phase1,One-time,Low,$500-10k,Courses templates guides,2026-01-20,MONEY_METHODS_TRACKER.csv,$500,10k,"AI001,MM006,MM007,MM015,MM030",90,Expert persona + content + outbound + newsletter,"Course -> coaching upsell, template bundle, newsletter premium",Self-improvers 20-40,TRUE,2.2,"Stack: Niche expert account builds authority, sells courses"
MM003,AFFILIATE_SITES,CORE,N/A,Planning,Phase3,Commission,High,$500-5k,SEO content sites,2026-01-20,MONEY_METHODS_TRACKER.csv,$500,5k,"CF008,CF009,MM002,MM015,MM038",85,Finance/tech content + SEO + products + newsletter + Pinterest,"Affiliate reviews -> course on same topic, newsletter monetization",Research buyers 25-55,TRUE,2.0,"Stack: SEO content drives affiliate, course converts warmest leads"
MM004,SAAS,CORE,N/A,Planning,Phase4,MRR,Low,$1k-20k,Micro-SaaS tools,2026-01-20,MONEY_METHODS_TRACKER.csv,$1k,20k,"MM007,AI001,CF009,MM027,MM028",80,Cold outbound + expert positioning + tech content + AI wrappers,"SaaS -> consulting upsell, training, micro-SaaS bundle",B2B founders 25-50,FALSE,1.8,"Stack: Expert content builds trust, outbound closes deals"
MM005,AGENCY_SERVICES,CORE,N/A,Planning,Phase4,Project,Low,$2k-20k,UGC ads automation,2026-01-20,MONEY_METHODS_TRACKER.csv,$2k,20k,"AI001,MM008,MM007,MM029,MM033",85,Expert account + UGC sourcing + outbound + local lead gen + white label,"Agency -> retainer, white-label services, local business clients",Brands SMBs 30-50,FALSE,2.0,"Stack: Niche expert shows portfolio, outbound generates leads"
MM006,CONTENT_FARM,CORE,N/A,Active,Phase1,Ads + Creator Fund,High,$500-10k,Multi-niche content accounts,2026-01-20,MONEY_METHODS_TRACKER.csv,$500,10k,"CF001-CF013,MM009,MM014,MM035,MM039",95,All content sub-methods + AI personas + YouTube,"Content -> affiliate, funnel to products, YouTube ad revenue",Mass audience 18-35,TRUE,2.3,Stack: Content accounts drive traffic to monetization methods
MM007,COLD_OUTBOUND,CORE,N/A,Planning,Phase2,Per-lead,Medium,$1k-10k,Email LinkedIn DM,2026-01-20,MONEY_METHODS_TRACKER.csv,$1k,10k,"MM004,MM005,AI001,MM015,MM029",90,SaaS/agency sales + expert positioning + newsletter + local lead gen,"Outbound -> SaaS demo, agency call, newsletter signup",B2B decision-makers 30-55,TRUE,2.1,"Stack: Expert account warms leads, outbound converts"
MM008,UGC_ARBITRAGE,CORE,N/A,Planning,Phase2,Markup,Medium,$1k-5k,Eastern EU Latam sourcing,2026-01-20,MONEY_METHODS_TRACKER.csv,$1k,5k,"MM005,AI006,CF005,MM016,MM024",80,Agency fulfillment + lifestyle content + TikTok Shop + POD,"UGC -> agency upsell, brand partnerships, TikTok content",Brand marketers 25-45,FALSE,1.7,Stack: Cheap UGC sourcing supplies agency work
MM009,AI_INFLUENCER,CORE,N/A,Active,Phase1,Sponsorships + Products,Medium,$500-20k,AI-generated personas,2026-01-20,MONEY_METHODS_TRACKER.csv,$500,20k,"AI001-AI008,MM006,MM002,MM016,MM040",95,All AI personas + content + info products + TikTok Shop + X monetization,"Influencer -> course, coaching, affiliate, TikTok Shop sales",Niche followers 18-45,TRUE,2.5,"Stack: AI persona builds audience, monetizes via products"
MM010,STREAMER_CLIPS,CORE,N/A,New,Phase2,Creator Fund + Sponsorship,High,$500-5k,Clip trending streamers,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,5k,"CF006,CF004,MM006,MM037,CF013",90,Clip channels + meme accounts + content + TikTok creativity + Shorts,"Clips -> creator fund, streamer partnerships, cross-platform views",Gamers 16-30,TRUE,2.2,"Stack: Clips drive views, memes expand reach"
