trend_id,date_identified,influencer_name,handle,niche,platform,followers,monetization_model,est_mrr,unique_mechanism,distribution_strategy,tech_stack,replication_score,printmaxx_methods,funnel_type,analysis_doc,status,notes
TREND001,2026-01-28,Clavvicular (Flatline),@clavvicular,Looksmaxxing / Male Aesthetics,TikTok (700K) | Instagram (237K) | Twitch,937000,Skool Community ($49/mo) + Female Edition ($25/mo free trial rebill) + High-Ticket Coaching ($3-5K) + Affiliates + Transformation Challenge,70000,Ascension (not looksmaxxing),Clipping Army (750 clippers on separate platform) + organic TikTok/IG,Skool + Framer + Wistia + TypeForm,8,AI001|AI005|CF001-CF013|MM046,Content → Clipping Army → VSSL → Community ($49) → High-Ticket Application ($3-5K),OPS/TREND_INTEL/analyses/CLAVVICULAR_FUNNEL_BREAKDOWN.md,ANALYZED,Q4 2025 blowup. Tate blueprint for looksmaxxing. Key weakness: no onboarding flow AI images over real no compliance. 43K visits/mo to VSSL page.
TREND002,2026-02-01,Nick Saraev,@nicksaraev,AI Automation,YouTube (220K) | Instagram (400K) | Skool,620000,"Skool Community ($184/mo, 2.8K members) + Course Content + Coaching","$300K-335K","Make.com for money - AI client in 90 days","YouTube SEO (Make.com keyword optimization) + Instagram + Twitter intro posts",Skool + Gumroad + YouTube,7,MM031|MM051|AI001|CF009,"YouTube Free Content → Intro Posts (Twitter) → Skool Community ($184) → Coaching Upsells",OPS/TREND_INTEL/analyses/TREND002_nicksaraev.md,PENDING_REVIEW,"Top Skool earner. YouTube strategy: titled videos with Make.com keyword drove scale. Teaches AI automation agency model. 220K YT + 400K IG distribution. Price point aggressive at $184/mo. Estimated 2.8K paying members."
TREND003,2026-02-01,AI Automation Society,@ai-automation-society,AI Automation,Skool,152128,"Freemium Skool Community (152K free) + Paid Tier ($94/mo, ~550 members)","$51K",No-code AI automations education,Organic Skool discovery + free tier pipeline,Skool,6,MM031|MM051|CF009,"Free Skool Community (152K) → Upsell to Plus Tier ($94/mo) → Premium Coaching",,PENDING_REVIEW,"Largest AI community on Skool. Freemium model: massive free base then upsell to $94/mo tier. $51K MRR from paid tier only. Replication requires building free audience first (high effort). Price increases as membership grows."
TREND004,2026-02-01,Ryan Duncan,@noob,Skool Meta Business,Skool | YouTube,Unknown,"Skool Community ($69/mo, 100 members, pricing increases to $79 at 190)","$6.9K","Ghost Operators - Creator Growth Partner System (YouTube → Skool → Retargeting)","Skool Games wins (7x) + organic Skool network + YouTube",Skool,8,MM031|MM062,"Teach Operators → Partner with YouTube Creators → Build/Scale Creator's Skool → Rev Share/Retainer",OPS/TREND_INTEL/analyses/TREND004_noob.md,PENDING_REVIEW,"7x Skool Games winner. Meta business model: teaches people to partner with YouTube creators to build/scale their Skool communities. 90-day guarantee to first paying creator partner. Replication score 8 - meta model sells picks/shovels during gold rush. Very accessible entry."
TREND005,2026-02-01,Makenzie and Malia,@makenzieandmalia,Fashion / College Style,TikTok,Unknown (micro-influencer),"Amazon Influencer Program affiliate commissions + TikTok Shop","$3K-5K",Affordable college fashion niche targeting,"TikTok organic (styling tips, hauls, reviews) + link in bio + TikTok Shopping",Amazon Influencer Program + TikTok + link-in-bio tools,7,CF001-CF013|MM003|AI002,"TikTok Content (fashion hauls/styling) → Link in Bio → Amazon Affiliate → Commissions",,PENDING_REVIEW,"Sisters from college dorm. Fashion finds niche. Within first year: $3-5K/mo in Amazon affiliate commissions (Insider coverage). Micro-influencer proof: don't need millions of followers. Niche focus + value-driven content. Replication: content farm fashion accounts + Amazon affiliate links."
TREND006,2026-02-01,Aatiqah J,@aatiqahj,Christian Faith / Spirituality,TikTok,1100000,"TikTok Creator Rewards Program + Brand partnerships + potential course/community","$5K-20K",Faith-based encouragement and biblical content,Organic TikTok virality + consistent posting,TikTok + likely email list,6,CF001-CF013|AI001|MM002|MM006,"TikTok Viral Content → Followers → Creator Rewards + Brand Deals → Potential info product funnel",,PENDING_REVIEW,"1.1M TikTok followers in Christian niche. Top Christian TikTok influencer. At 1.1M followers with faith niche: estimated $5-20K/mo from Creator Rewards + brand partnerships. Could easily add course/community for 10x+ revenue. Replication: AI faith persona + Bible content + link to Skool community."
TREND007,2026-02-01,Study/Productivity Timer Niche,General TikTok trend (not single creator),Productivity / StudyTok,TikTok (multiple creators),Viral hashtag (#pomodorotechnique 13M+ views),"Creator Rewards + affiliate sales of timer products + app promotion","Varies per creator",Pomodoro technique + study timer content,"TikTok organic viral loops (study-with-me format, timer overlays)",Timer apps (Focus Friend by Hank Green) + physical Pomodoro timers,8,MM001|CF002|CF007|AI001,"TikTok Study Timer Content → App download OR product affiliate → Creator Rewards + affiliate commission",OPS/TREND_INTEL/analyses/TREND007_studytok_productivity_timers.md,PENDING_REVIEW,"#pomodorotechnique = 13M+ views. Focus Friend app went viral via Hank Green TikTok → #1 app above ChatGPT. TickTime Pomodoro Timer = TikTok-driven sales. Replication score 8: build PrayerLock/StudyLock apps + TikTok study timer content farm + affiliate timer products. Perfect for MM001 (app) + CF (content) stack."
TREND008,2026-02-01,Senada Greca,@senada.greca,Fitness / Strength Training,TikTok (2.6M) | Instagram,2600000,"WeRise App subscriptions (sale price locked in for life - pricing undisclosed) + TikTok Creator Rewards + Brand partnerships","$100K+",WeRise - Strength training app with exclusive workouts,"TikTok organic (workout demos) + Instagram + app funnel via bio link","WeRise app + TikTok + likely Stripe",7,MM001|AI005|CF001-CF013|MM002,"TikTok Workout Content → Link in Bio → WeRise App Subscription → Retention via exclusive programs",OPS/TREND_INTEL/analyses/TREND008_senada_greca.md,PENDING_REVIEW,"2.6M TikTok followers. Created branded fitness app WeRise.xyz. Videos consistently promote app. Funnel: workout teasers on TikTok → link in bio → app subscription. Subscription model = recurring revenue. Replication: fitness AI persona + app (PrayerLock/WalkToUnlock model) + TikTok content farm. High-ticket model variation: online coaching upsells."
TREND009,2026-02-01,Courtney Lynea,@courtneylynea,Fitness / Weight Loss,TikTok (239.1K) | YouTube,239000,"EHP Labs affiliate (code: LYNEA) + TikTok Creator Rewards + potential online coaching","$5K-20K",Weight loss journey + gym workouts + meal tips,TikTok organic + YouTube + affiliate code promotion,EHP Labs affiliate program + TikTok + YouTube,6,AI005|CF001-CF013|MM003,"TikTok Content (weight loss journey + workouts) → Affiliate Code Promotion → EHP Labs Commissions + Creator Rewards","","PENDING_REVIEW","239K TikTok followers. EHP Labs supplement affiliate partnership. Shares weight loss journey as motivation. Micro-influencer tier (100-500K) can charge $125-1K/post for sponsorships. Estimated $5-20K/mo from affiliate + Creator Rewards combined. Replication: AI fitness persona + supplement affiliate stack (MyProtein, Gymshark, etc.) + TikTok content farm."
TREND010,2026-02-01,Biohacking Brittany,@biohacking,Biohacking / Wellness / Supplements,TikTok,50300,"Supplement affiliate discounts + Creator Rewards + podcast monetization","$1K-5K","Top 1% podcaster - optimal health/wellness focus",TikTok organic + biohackingbrittany.com bio link + podcast distribution,TikTok + likely podcast hosting (Spotify/Apple) + affiliate links,6,AI001|AI005|CF001-CF013|MM003|MM006,"TikTok Health Content → Bio Link (discounts for supplements) → Affiliate Commissions + Podcast → Potential course/community upsell","","PENDING_REVIEW","50.3K TikTok followers (micro-influencer). Top 1% podcaster claim. Bio promotes supplement discounts (affiliate model). At 50K followers: $1-5K/mo estimated from Creator Rewards + affiliate commissions. Podcast adds credibility + additional monetization. Replication: AI biohacking persona + supplement affiliate stack + podcast (AI-generated or clipped) + eventual Gumroad course."
