Date,Time,Text
2026-02-28,00:34,"**Recommended: @velvetframes** (updated .

 @velvetframes was taken)

#makeup #selfcare #skincare #glam #beauty"
2026-02-28,14:29,"**Status:** PENDING_REVIEW
**Created:** 2026-02-13 | **Updated:** 2026-02-14
**Niche:** Curated aesthetic women/beauty photography .

 engagement farming + monetization
**Style reference:** @beautyshowcase (PRIMARY .

 studied), @FemenineFrames, @BeautyFeminine, @AestheticGirls_
**Study doc:** OPS/BEAUTYSHOWCASE_STUDY.md (full reverse-engineering)
**Target audience:** Men 18-35 who engage with beauty/aesthetic content on X.

Women who follow for aspirational aesthetics.

#selfcare #makeup #skincare #glam #beauty"
2026-02-28,19:28,"1.

~~**@velvetframes**~~ .

 TAKEN.

was first choice but handle exists on X.
2.

**@velvetframes** ✅ AVAILABLE .

 luxe, aesthetic, non-corny.

""velvet"" implies softness + premium.

sounds like a photography account.

**NEW PRIMARY CHOICE.**
3.

~~**@goldenframes_**~~ .

 TAKEN.

handle exists on X.
4.

**@softfocusHQ** .

 photography term (soft focus).

""HQ"" adds authority.

clean.
5.

**@framedarling** .

 playful, aesthetic.

""darling"" is vintage-feminine without being cringe.

#beauty #selfcare #glam #makeup #skincare"
2026-03-01,00:44,"quiet beauty.

golden light.

soft focus.
curated photography .

 not my content.
credit in replies.

DM for removal.

#makeup #beauty #skincare #selfcare #glam"
2026-03-01,14:24,"why: luxe, aesthetic, photography-native, doesn't sound like a thirst trap.

""velvet"" implies softness + premium quality.

sounds like it could be a photography brand, not just a repost page.

clean, memorable, available.

#skincare #beauty #selfcare #glam #makeup"
2026-03-01,19:15,"lowercase.

clean.

minimal.

matches the aesthetic of the images.

#selfcare #skincare #beauty #glam #makeup"
2026-03-02,00:37,"she looked like art.
curated.

credited.

DM for removal.

#makeup #glam #beauty #skincare #selfcare"
2026-03-02,14:33,"**Why this works:**
- ""curated photography"" .

 frames it as curation, not claiming ownership
- ""not my content"" .

 explicit disclaimer that this is reposted
- ""credit in replies"" .

 shows good faith effort to attribute
- ""DM for removal"" .

 DMCA-lite.

shows willingness to comply with takedowns
- zero cringe.

reads like a photography magazine, not a thirst account.

#glam #skincare #selfcare #makeup #beauty"
2026-03-02,19:16,"**Alternative bio (more engagement-focused):**

#selfcare #skincare #beauty #makeup #glam"
2026-03-03,00:28,"**ONLY POST CONTENT OF ADULTS (18+).

ZERO TOLERANCE.**

#selfcare #skincare #beauty #makeup #glam"
2026-03-03,14:38,"- **Avatar:** a simple golden/warm-toned circle or abstract shape.

NOT a woman's photo (avoids confusion about identity).

could be a camera aperture icon in gold on cream background.
- **Banner:** a tasteful film strip / polaroid collage aesthetic in warm tones.

or a single golden hour  (no people .

 the posts have people, the branding should be clean).
- **Color scheme:** warm gold, cream, soft white, muted earth tones
- **Vibe:** the page should feel like flipping through a coffee table photography book.

classy, not trashy.

#makeup #beauty #selfcare #skincare #glam"
2026-03-03,19:21,"1.

**bio disclaimer:** ""not my content.

credit in replies.

DM for removal."" .

 this shows good faith
2.

**credit in replies:** after every post, reply with ""@[original creator]"" or ""credit: [source]"" if known
3.

**DM for removal:** if ANY creator DMs asking to take down their image, remove it within 24 hours.

no arguing.

no delays.

just remove.
4.

**never claim ownership:** never say ""shot by me"" or imply the content is original
5.

**link original when possible:** if you know the photographer or model, tag them
6.

**use public content only:** only repost from public profiles.

never from private/locked accounts.

#beauty #makeup #skincare #selfcare #glam"
2026-03-04,00:38,"- **X/Twitter:** allows this type of content.

no nudity in feed (mark sensitive if needed).

no explicit content without age-gating.
- **Instagram:** stricter.

no implied nudity.

suggestive content gets shadowbanned.

keep it tasteful .

 golden hour, fashion, lifestyle, not bikini shots.
- **Pinterest:** very permissive for aesthetic/beauty content.

great for traffic.
- **TikTok:** slideshows with trending audio do well.

keep it aesthetic, not provocative.

#beauty #skincare #makeup #glam #selfcare"
2026-03-04,14:19,"verification methods:
1.

**source from verified/known adult models/influencers only** .

 if they have a professional IG with sponsorships, brand deals, modeling agency links, they are verified adults
2.

**when in doubt, DON'T POST IT** .

 if you can't confirm someone is 18+, skip them entirely
3.

**red flags to avoid:**
- anyone who looks potentially under 18 .

 skip.

doesn't matter if they're actually 25.
- school/college setting photos (could be minors)
- accounts that mix content of various ages
- any content from TikTok unless the creator is a known adult influencer
4.

**preferred sources (safest):**
- professional model Instagram accounts (verified, 18+, agency-represented)
- Reddit communities that require age verification (r/models, r/beautifulfemales .

 both require 18+ verified OC)
- stock photography sites (all models sign releases confirming 18+)
- fashion/beauty brand campaigns (all models are contracted adults)
- celebrity/public figure photos (obviously 18+)
5.

**NEVER source from:**
- random TikTok unless verified adult
- accounts that don't clearly show the person is an adult
- any content with school/underage settings
- any content that has been flagged or reported

#glam #selfcare #beauty #makeup #skincare"
2026-03-04,19:39,"- curated pages on X operate in a grey area legally
- the key defense: you're not using someone's likeness for commercial endorsement
- if you start monetizing with affiliate links that reference specific people (""she uses X product""), that enters right-of-publicity territory
- safest: keep monetization separate from specific people.

promote products generically, not tied to specific faces in your posts.

#skincare #glam #makeup #beauty #selfcare"
2026-03-05,00:36,"Use for your strongest images.

just the photo, nothing else.

signals confidence.

#skincare #glam #makeup #selfcare #beauty"
2026-03-05,14:37,"1.

find image from Tier 1 source
2.

verify subject is clearly 18+ adult (professional model, known influencer, celebrity)
3.

save image at original quality
4.

note original source/creator for credit
5.

post to X with aesthetic caption (see section 4)
6.

reply to own post with credit: ""credit: @[original_creator]"" or ""source: [url]""
7.

log in content tracker spreadsheet

#glam #beauty #selfcare #skincare #makeup"
2026-03-05,19:26,"**CRITICAL LEARNING:** @beautyshowcase avg caption = 8.8 characters.

ultra-minimal beats poetic.

let the image work.

#glam #selfcare #beauty #makeup #skincare"
2026-03-06,00:25,"Same text every single morning.

different photo.

creates daily ritual.

#glam #makeup #skincare #selfcare #beauty"
2026-03-06,14:41,"One word.

the nationality of the woman in the photo.

triggers identity engagement.

#glam #skincare #selfcare #makeup #beauty"
2026-03-06,19:18,"Multi-image post.

ask followers to pick.

gets 10-15x normal replies.

algo gold.

#selfcare #skincare #beauty #glam #makeup"
2026-03-07,00:26,"Mild take that gets people debating in replies.

#skincare #glam #makeup #beauty #selfcare"
2026-03-07,14:38,"2-3 words max.

"">>"" signals approval.

#makeup #glam #beauty #skincare #selfcare"
2026-03-07,19:33,"Just the name.

shows legitimacy.

gets engagement from model's followers.

#skincare #beauty #selfcare #makeup #glam"
2026-03-08,00:17,"For variety, mix in occasional poetic captions.

keep under 40 chars.

#makeup #glam #skincare #selfcare #beauty"
2026-03-08,14:16,"natural beauty > heavy makeup

#makeup #selfcare #glam #skincare #beauty"
2026-03-08,19:21,"beauty standards are changing

#glam #beauty #makeup #skincare #selfcare"
2026-03-09,00:39,"she didn't need a filter.

just sunlight.

#selfcare #beauty #glam #skincare #makeup"
2026-03-09,14:30,"golden hour was made for her.

#skincare #glam #selfcare #makeup #beauty"
2026-03-09,19:17,"cinema in a single frame.

#skincare #beauty #selfcare #glam #makeup"
2026-03-10,00:28,"1.

**""pick a number"" polls are your #1 growth hack.** X algo weights replies at 13.5x likes.

@beautyshowcase gets 800-980 replies on poll posts vs 50-100 normally.

one poll with 800 replies = more algo boost than 10 posts with 5K likes.
2.

**nationality tags trigger identity engagement.** French people RT ""French"" posts.

Americans engage with ""American"".

free viral distribution from cultural pride.
3.

**reply to your own posts** in the first 30 min (5-10 replies to comments).

algo boost.
4.

**reply to larger beauty pages** with your best images.

gets you in front of their audience.
5.

**never retweet on main timeline.** keep feed 100% curated.

engage in replies only.
6.

**bookmark bait:** aesthetic content = highest bookmark rate.

bookmarks are weighted 10x in X's 2026 algo.
7.

**engage with 30+ accounts daily.** likes, replies on other beauty/fashion pages.
8.

**no hashtags.** @beautyshowcase uses zero.

clean aesthetic > hashtag spam.
9.

**quote tweet sparingly** (1-2x per week max).

only for very strong content from other pages.

#selfcare #makeup #beauty #skincare #glam"
2026-03-10,14:37,"aesthetic beauty content has some of the highest engagement ratios on X.

reasons:
- **men engage** .

 likes, retweets, bookmarks (bookmarks are MASSIVE for this niche)
- **women engage** .

 saves for inspo, aspirational follows
- **the algorithm loves it** .

 high dwell time (people stop scrolling), high bookmark rate
- **low effort per post** .

 curating is faster than creating

#glam #beauty #makeup #skincare #selfcare"
2026-03-10,19:17,"@beautyshowcase posts 8x/day on the hour.

this is the proven cadence.

not 3, not 5.

eight.

#selfcare #glam #beauty #makeup #skincare"
2026-03-11,00:40,"- beauty product affiliates: Sephora, Ulta, Amazon beauty, Revolve
- link beauty products in bio or pinned thread
- ""shop the aesthetic"" threads with affiliate links to fashion/beauty products
- DON'T tie products to specific people in photos (right of publicity risk)
- DO tie products to the AESTHETIC: ""golden hour essentials:"" then list products

#makeup #beauty #selfcare #glam #skincare"
2026-03-11,14:18,"- no monetization yet.

just post.

build the aesthetic.

build the following.
- curate content every day.

reply to big accounts.

be seen.

#glam #beauty #makeup #skincare #selfcare"
2026-03-11,19:35,"- once you hit 5K followers AND have enough impressions from X Premium subscribers, X pays you directly for ad revenue
- this works especially well for high-engagement content (beauty/aesthetic posts get massive impressions)
- estimated: $50-200/mo at 5K followers, $500-2K/mo at 50K followers

#beauty #makeup #selfcare #skincare #glam"
2026-03-12,00:36,"- [ ] zero em dashes (confirmed: none used)
- [ ] zero AI vocabulary (no "","" "","" """")
- [ ] poetic but not pretentious (accessible, not literary magazine gatekeeping)
- [ ] never objectifying (art appreciation, not body commentary)
- [ ] lowercase throughout
- [ ] captions let the image speak (short, evocative)
- [ ] no hashtags in main posts (clean aesthetic)
- [ ] credit always in replies
- [ ] ""DM for removal"" in bio (legal protection)
- [ ] age verification protocol followed for every post (adults only)

#selfcare #skincare #makeup #glam #beauty"
2026-03-12,14:25,"- beauty/fashion brands approach aesthetic pages for sponsored posts
- typical rates: $50-$200 per post at 25K followers, $500-$2K at 100K
- make sponsored content look native to the aesthetic (not obviously an ad)
- always disclose: ""paid partnership"" or ""#ad"" per FTC guidelines

#glam #makeup #skincare #selfcare #beauty"
