id,platform,type,topic,status,source_alpha,generated_at,voice_tier,engagement_hook,char_count
CYCLE5_TW1,twitter,standalone,Cold Email 2026 Shifts,PENDING_REVIEW,"ALPHA274-281",2026-03-18T07:10:00,S-tier pipelineabuser,consequence-first data dump,520
CYCLE5_TW2,twitter,standalone,UGC Cost Collapse,PENDING_REVIEW,"ALPHA296 ALPHA324",2026-03-18T07:10:00,S-tier pipelineabuser,specific numbers shock,480
CYCLE5_TW3,twitter,standalone,GEO is the New SEO,PENDING_REVIEW,"ALPHA298-300",2026-03-18T07:10:00,S-tier pipelineabuser,stat-first paradigm shift,560
CYCLE5_TW4,twitter,standalone,Pricing > Acquisition,PENDING_REVIEW,"ALPHA307-308",2026-03-18T07:10:00,S-tier pipelineabuser,counterintuitive data,440
CYCLE5_TW5,twitter,standalone,Self-Reply Funnel Hack,PENDING_REVIEW,"ALPHA334",2026-03-18T07:10:00,S-tier pipelineabuser,tactical growth hack,390
CYCLE5_THR,twitter,thread,Cold Email 2026 Complete Guide,PENDING_REVIEW,"ALPHA274-286",2026-03-18T07:10:00,S-tier weighted aggregate,7-tweet deep dive,1800
CYCLE5_NL1,newsletter,draft,3 Revenue Shifts in 2026,PENDING_REVIEW,"ALPHA274-300 ALPHA307",2026-03-18T07:10:00,PRINTMAXXER casual,action-oriented breakdown,1200
CYCLE5_LI1,linkedin,standalone,Cold Email Shifts,PENDING_REVIEW,"ALPHA274-280",2026-03-18T07:10:00,professional direct,data-backed insight,380
CYCLE5_LI2,linkedin,standalone,GEO Optimization,PENDING_REVIEW,"ALPHA298-300",2026-03-18T07:10:00,professional direct,research-backed,350
CYCLE5_LI3,linkedin,standalone,Pricing Optimization ROI,PENDING_REVIEW,"ALPHA307-308",2026-03-18T07:10:00,professional direct,stat-first,340
CYCLE5_BG1,blog,draft,UGC Video 5000x Cost Drop,PENDING_REVIEW,"ALPHA296 ALPHA324",2026-03-18T07:10:00,PRINTMAXXER educational,SEO+GEO optimized with table+FAQ,1600
