meta_id,meta_name,category,velocity_score,coin_potential,product_potential,content_potential,time_window,pattern_match,evidence_summary
META054,MAHA Seed Oil Free Gold Rush,alternative,9,3,10,10,months,"CONTROVERSY","MAHA movement now official White House priority (whitehouse.gov/priorities/maha). Seed oil free certified product sales up 216% Q1 YoY (SPINS data). 410% growth over 12-week period. 28% of US consumers actively avoiding seed oils. Real Good Foods switching entire portfolio to beef tallow. Steak N Shake + Popeyes + BWW dropping seed oils. Seed oil free snacks market $5.92B in 2024 projected to $11.53B by 2033 (7.6% CAGR). RFK MAHA report targets ultraprocessed foods + seed oils + pesticides. New dietary guidelines Jan 7 2026 recommend less ultraprocessed food. Product: seed oil free snack brand / tallow cooking products / restaurant directory. Content: controversy between MAHA vs mainstream nutrition = engagement farming goldmine."
META055,Beef Tallow Skincare TikTok,alternative,8,2,9,10,months,"ROUTINE","#beeftallow has 50K+ TikTok posts with hundreds of thousands of likes per video. Glimpse ranks it top 33 skincare trend 2026. Texas ranchers pivoting to skincare (Dallas Express feature). NPR + NBC + Prevention all covering. Dermatologist backlash creates controversy content loop. Tallow balm + tallow moisturizer + tallow soap = product line. Product: grass-fed beef tallow skincare line ($15-40/unit high margins). Content: before/after skin transformations + dermatologist reaction content + DIY tallow balm tutorials."
META056,Ramadan 2026 Creator Economy,faith,9,2,9,10,weeks,"TOOL_ARB","Ramadan starts Feb 17 2026. Muslims spent $2.29T globally in 2021 across food/pharma/fashion/media. Islamic finance assets expected $5.96T by 2026. Modest fashion market projected $428B. Brand ad spend surges during Ramadan. Product: Ramadan meal planner app / Islamic content templates / Muslim lifestyle brand affiliate. Content: Ramadan recipes + spiritual content + modest fashion + charity campaigns. TIME-SENSITIVE: content must launch by Feb 10 for pre-Ramadan positioning."
META057,Lent Digital Detox Challenge,faith,7,1,8,9,weeks,"ROUTINE","Lent 2026 starts Feb 18. 40-Day Social Media Fast book by Wendy Speake runs annually. Dynamic Catholic + Pauline Books + Ascension Press all promote media fasting. Digital detox January 2025 had 10M participants. #DopamineDetox has 500M+ TikTok views. Product: Lent devotional app / 40-day digital detox journal / faith-based screen time tracker. Content: daily Lenten reflection content + dopamine detox challenge crossover. TIME-SENSITIVE: launch by Feb 14."
META058,Hallow Prayer App Category,faith,8,2,10,8,months,"NOVEL","Hallow at $380M valuation + 18M downloads + $3M/mo estimated revenue. First religious app to reach Apple Top 10. Users prayed 1B prayers. YouVersion at 700M+ installs with AI-driven Verse of Day. Glorify has 1M+ daily users. Faith app market expanding rapidly with AI personalization. Product: PrayerLock positioned in this space. Build Islamic prayer app for Ramadan (no dominant app). Content: faith app reviews + spiritual tech content. Opportunity: niche prayer apps for specific denominations (Orthodox / Coptic / Sikh / Hindu)."
META059,Gold Record Rally Content,finance,9,4,7,10,months,"CONTROVERSY","Gold hit all-time high $5595.42 on Jan 29 2026. Surged past $5100 Jan 26 (CNBC). Goldman Sachs forecast $5400 by Dec 2026. Some analysts predict $7615-$8491. 71% of retail investors see gold above $5K in 2026 (Kitco). Central banks buying 585 tonnes/quarter. Geopolitical tensions + tariffs driving safe haven demand. Content: gold investing explainers + why gold is breaking records + gold vs Bitcoin debate content. Product: gold investing course / newsletter / affiliate for gold dealers."
META060,Tariff Wars Engagement Storm,finance,10,3,6,10,weeks,"CONTROVERSY","Trump 25% tariffs on Canada/Mexico. 50% threatened on Canadian aircraft. Greenland tariff dispute (10% Feb 1 climbing to 25% June 1). Senate Dems accusing admin of giving breaks to politically connected companies (NPR Feb 4 2026). Trade partners forming deals to bypass US. Every tariff announcement = massive social media engagement spike. Content: explainers on how tariffs affect prices / investment implications / prepper angle on supply chain disruption. Product: tariff impact calculator / import cost tracker."
META061,Vibe Coding Side Hustle,finance,9,3,10,10,months,"TOOL_ARB","Cursor valued at $9B. Lovable + Replit + Bolt = prompt-to-deploy MVPs. Custom builds sell $300-$800. Micro-SaaS $5-$15/mo (10-20 users). Full apps $2000-$5000 per build. 10-15 hours per MVP. Apps with subscriptions generate 4.6x higher ARPU than ad-only. Finance/utility apps can earn $50K-$100K+/mo. Product Hunt has dedicated vibe coding category. Product: vibe coding course / template marketplace / built-for-you service. Content: build-in-public content + vibe coding tutorials + $X in Y days challenge content."
META062,AI Agent Memecoin Meta,finance,9,9,7,9,weeks,"GHIBLI","Moltbook AI social network spawned $MOLT coin - surged 7000% (CoinDesk Jan 30 2026). 30K+ autonomous AI agents posting on platform. PEPE forecasted top meme coin 2026. AI agent tokens: TAO + NEAR + ICP + AIXBT top by market cap. DeepSnitch AI signals breakout potential. Intersection of AI + memes = highest velocity crypto category. Product: AI agent analytics dashboard / memecoin signal tracker. Content: AI agent explainers + memecoin alpha. Coin: monitor AI agent coin launches for 10-50x windows."
META063,Prepper Market Mainstream Surge,alternative,8,3,9,9,months,"ROUTINE","Prepper market valued $14.1B in 2024 projected $26.7B by 2031 (9.5% CAGR). Survival kit ecommerce up 239.8% over 24 months. Survival tools market projected $2.68B by 2035. Geopolitical tensions (tariffs + Greenland + trade wars) driving mainstream adoption. Smart survival tools + eco-friendly kits = new mainstream angle. Sovereignty Doctrine article Feb 5 2026 lists 5 survival assets. Product: curated prepper starter kits / emergency food affiliate / prepper newsletter. Content: geopolitical analysis + prepper beginner guides + what-if scenarios."
META064,Tradwife Brand Empire,alternative,8,2,10,10,months,"ROUTINE","Ballerina Farm (Hannah Neeleman): 22M followers + $6.5-8.3M annual revenue + 60 staff + first retail store opening. Nara Smith: 12M+ followers with ASMR cooking. #tradwife 175M+ TikTok views. Academic research paper published 2026 (Feminist Media Studies). UK government flagging radicalisation concerns = controversy content angle. Product: homestead products (sourdough starter / beeswax candles / aprons / kitchen goods). Content: homestead ASMR + cooking from scratch + traditional skills tutorials. Product potential proven at scale by Neeleman."
META065,Christian Creator Economy,faith,7,2,9,9,months,"ROUTINE","US creator economy projected from $20.64B to $40B+ in 2026. Christian retail industry $4.2B annually. Christian influencer affiliate programs 5-15% commission. 92% of marketers plan to work with micro+macro influencers in 2026. Full-time creators expect 78% revenue growth. Faith niche underserved vs mainstream creator tools. Product: Christian creator toolkit / faith-based Gumroad templates / devotional content subscription. Content: faith + entrepreneurship crossover content + building in public as a Christian."
META066,Dietary Guidelines Upheaval,alternative,9,2,8,10,weeks,"CONTROVERSY","New US dietary guidelines Jan 7 2026 recommend more protein + full-fat dairy + less ultraprocessed foods + less added sugar. First time guidelines mention highly processed foods. 70% of grocery store is ultraprocessed = mass confusion. AMA applauded but mixed expert reactions. Andrew Huberman backed new food pyramid (Fox News). MIT Tech Review criticizes ignoring decades of research. Product: clean eating meal plans / grocery guide / anti-UPF cookbook. Content: diet debate content = massive engagement. Protein + dairy companies = ad spend surge."
META067,Manifestation Gen Z,faith,7,3,8,9,months,"ROUTINE","62% of 18-24 year olds consider themselves spiritual. WitchTok has 23B+ TikTok views. Manifestation methods trending: 33x3 method + 55x5 method + quantum jumping (two cups). Before/after format pairing aspirational images with outcomes going viral. Supplements marketed for manifestation (Pharaoh's Nectar launched 2025). Product: manifestation journal / vision board kit / spiritual ritual subscription box. Content: manifestation challenge content + method explainers + debunking vs believing debate."
META068,Dividend Passive Income Content,finance,7,2,7,9,months,"ROUTINE","Gold standard dividend stocks: Ares Capital + Energy Transfer + UPS + Verizon. Dividend Kings = 55 companies with 50yr consecutive raises. Ultra-high-yield picks with up to 10% dividends. 2 more rate cuts expected 2026 = dividend stocks benefit. Motley Fool + 24/7 Wall St + Morningstar all publishing dividend content Feb 2026. Product: dividend portfolio tracker / passive income newsletter / course on dividend investing. Content: portfolio breakdowns + dividend income screenshots + monthly passive income updates."
META069,Manosphere Adolescence Backlash,alternative,8,2,6,10,weeks,"CONTROVERSY","Netflix Adolescence: 96.7M views in 3 weeks. Won big at 2026 Golden Globes including best limited series. 24M views first 4 days. UK government making it available to all secondary schools. Two-thirds of young men engage with masculinity influencers. Rolling Stone + MSNBC + NCR + MenEngage all covering. Content: commentary/reaction to show + manosphere analysis + parenting content + masculinity discussion. Engagement: highly polarized = high comment velocity. Product: parenting guide / masculinity mentorship / counter-radicalization resources."
META070,18-Year Real Estate Cycle End,finance,7,2,8,8,months,"NOVEL","BiggerPockets Feb 2026: 18-Year Real Estate Cycle Ends in 2026. House hacking with duplexes/triplexes remains strongest entry point. BRRRR method recommended for 2026. Top markets: Jacksonville FL + Kansas City MO + Nashville TN. Short-term rentals shifting from passive to operator model. Product: house hacking calculator app / BRRRR deal analyzer / RE investing course. Content: RE cycle analysis + house hacking case studies + market-specific guides."
META071,AI Prompt Selling Economy,finance,8,2,9,9,months,"TOOL_ARB","Selling ready-made prompts for ChatGPT/Claude/MidJourney as side hustle. Nano-influencers charge $5-$25 per TikTok sponsorship. AI workflow consulting commanding $75-$150/hr+. Digital goods (templates/courses/eBooks) = high margins with minimal ongoing cost. Shopify + NerdWallet + Printful all featuring prompt selling in 2026 side hustle guides. Product: prompt marketplace / AI workflow course / prompt pack bundles on Gumroad. Content: prompt engineering tutorials + AI money-making guides."
META072,Sovereignty Doctrine / Hard Assets,finance,8,5,7,9,months,"CONTROVERSY","GlobeNewsWire Feb 5 2026: Sovereignty Doctrine names 5 assets for 2026 survival cycle. Nations closing digital borders + locking down data pipelines. Gold at $5595 + defense stocks + waste management = survival portfolio. Central bank buying spree driving currency debasement narrative. Content: anti-fiat money content + hard asset investing + sovereignty/self-sufficiency crossover with prepper niche. Product: hard assets newsletter / gold + bitcoin comparison guides / survival investment portfolio templates."
META073,Dopamine Menu Trend,alternative,7,1,8,9,months,"ROUTINE","Curated lists of low-stimulus pleasures as alternative to doomscrolling. WEF coverage = mainstream signal. 500M+ TikTok views on #DopamineDetox. 10M participated in Digital Detox January 2025. 42% of Fortune 500 offer digital wellness programs. 200+ universities have phone-free zones. Research: 60 min phone-free/day lowers stress + improves sleep. Product: dopamine menu journal / digital wellness app / screen time coaching. Content: 30-day challenge vlogs + dopamine menu templates + productivity transformation stories."
