url,business_name,category,city
https://www.example-dentist-austin.com,Bright Smile Dental,dentist,Austin TX
https://www.example-plumbing-dallas.com,Quick Fix Plumbing,plumber,Dallas TX
https://www.example-hvac-houston.com,Cool Air HVAC Services,hvac,Houston TX
https://www.example-electrician-austin.com,Spark Electric Co,electrician,Austin TX
https://www.example-restaurant-sanantonio.com,La Mesa Restaurant,restaurant,San Antonio TX
https://www.example-lawfirm-austin.com,Smith & Associates Law,law_firm,Austin TX
https://www.example-realestate-dallas.com,Premier Realty Group,real_estate,Dallas TX
https://www.example-salon-houston.com,Glamour Hair Salon,salon,Houston TX
https://www.example-dentist-fortworth.com,Family Dental Care,dentist,Fort Worth TX
https://www.example-contractor-austin.com,BuildRight Construction,contractor,Austin TX
https://www.example-plumbing-houston.com,24/7 Plumbing Pro,plumber,Houston TX
https://www.example-chiropractor-dallas.com,Align Wellness Chiropractic,chiropractor,Dallas TX
https://www.example-restaurant-austin.com,Downtown Bistro,restaurant,Austin TX
https://www.example-autorepair-sanantonio.com,Reliable Auto Repair,auto_repair,San Antonio TX
https://www.example-landscaping-fortworth.com,Green Thumb Landscaping,landscaping,Fort Worth TX
https://www.example-cleaning-austin.com,Sparkle Clean Services,cleaning_service,Austin TX
https://www.example-accountant-dallas.com,TaxPro CPA Services,accountant,Dallas TX
https://www.example-gym-houston.com,FitLife Fitness Center,gym,Houston TX
https://www.example-dentist-dallas.com,Modern Dental Studio,dentist,Dallas TX
https://www.example-electrician-houston.com,PowerUp Electric,electrician,Houston TX
