niche,url_slug,primary_query,quick_answer_written,steps_written,table_added,faq_added,schema_added,diagram_added,video_transcript_added,published,last_updated,citations_count,prompt_share_score
AI workflows for solopreneurs,how-to-build-an-ai-workflow-stack-for-solopreneurs-no-fluff,How to build an AI workflow stack for solopreneurs (no fluff),Y,Y,Y,Y,Y,N,N,N,,0,0
AI workflows for solopreneurs,geo-ai-seo-playbook-get-cited-by-chatgpt-claude-gemini,GEO (AI-SEO) playbook: get cited by ChatGPT/Claude/Gemini,Y,Y,Y,Y,Y,N,N,N,,0,0
AI workflows for solopreneurs,cold-email-deliverability-setup-for-solopreneurs-2026,Cold email deliverability setup for solopreneurs (2026),Y,Y,Y,Y,Y,N,N,N,,0,0
AI workflows for solopreneurs,playwright-automation-stack-scraping-posting-scheduling,Playwright automation stack: scraping + posting + scheduling,Y,Y,Y,Y,Y,N,N,N,,0,0
AI workflows for solopreneurs,lead-magnet-factory-3-month-experimentation-system,Lead magnet factory: 3/month experimentation system,Y,Y,Y,Y,Y,N,N,N,,0,0
AI workflows for solopreneurs,audience-to-leads-funnel-math-250k-impressions-200k-arr,Audience-to-leads funnel math: 250k impressions → $200k ARR,Y,Y,Y,Y,Y,N,N,N,,0,0
AI workflows for solopreneurs,ai-content-repurposing-pipeline-1-idea-10-formats-daily,AI content repurposing pipeline: 1 idea → 10 formats daily,Y,Y,Y,Y,Y,N,N,N,,0,0
AI workflows for solopreneurs,human-in-the-loop-agents-approvals-safety-gates,Human-in-the-loop agents: approvals + safety gates,Y,Y,Y,Y,Y,N,N,N,,0,0
AI workflows for solopreneurs,compliance-for-affiliate-ai-influencer-content-ftc-safe,Compliance for affiliate + AI influencer content (FTC-safe),Y,Y,Y,Y,Y,N,N,N,,0,0
AI workflows for solopreneurs,cheap-model-ralph-loops-glm-gemini-bulk-opus-quality-gates,Cheap-model Ralph loops: GLM/Gemini bulk + Opus quality gates,Y,Y,Y,Y,Y,N,N,N,,0,0
