week,day,date,platform,content_type,title,description,status,notes
1,Monday,2026-02-03,TikTok,Video,The gym phone addict,Script 1 from TikTok scripts,pending,Gym scrolling hook
1,Monday,2026-02-03,Twitter,Post,Steps before/after stat,Post 1 from Twitter posts,pending,Morning post 6am
1,Monday,2026-02-03,Twitter,Post,What's your step count,Post 11 engagement hook,pending,Evening post 5pm
1,Tuesday,2026-02-04,TikTok,Video,The 10k step challenge,Script 2 from TikTok scripts,pending,Monthly challenge hook
1,Tuesday,2026-02-04,Twitter,Thread,Science of walking,Thread 1 full thread,pending,Post at 6am
1,Tuesday,2026-02-04,Instagram,Story,Step counter screenshot,Show daily steps,pending,User engagement
1,Wednesday,2026-02-05,TikTok,Video,The screen time swap,Script 3 from TikTok scripts,pending,Trade scrolling for walking
1,Wednesday,2026-02-05,Twitter,Post,Walking most underrated,Post 2 tip,pending,Morning post
1,Wednesday,2026-02-05,Twitter,Post,Controversial take sedentary,Post 12 engagement,pending,Evening post
1,Thursday,2026-02-06,TikTok,Video,The work from home fix,Script 4 from TikTok scripts,pending,Remote worker angle
1,Thursday,2026-02-06,Twitter,Thread,Why app limits don't work,Thread 2 full thread,pending,Post at 6am
1,Thursday,2026-02-06,Instagram,Reel,App demo,Show step tracking and unlock,pending,Screen recording
1,Friday,2026-02-07,TikTok,Video,The lazy fitness hack,Script 5 from TikTok scripts,pending,Lost 15 lbs hook
1,Friday,2026-02-07,Twitter,Post,WFH movement problem,Post 3 tip,pending,Morning post
1,Friday,2026-02-07,Twitter,Post,Show step count screenshot,Post 13 engagement,pending,Evening post
1,Saturday,2026-02-08,TikTok,Video,The morning routine fix,Script 6 from TikTok scripts,pending,Morning scroll to walk
1,Saturday,2026-02-08,Instagram,Story,Weekend walk update,Share walking content,pending,Community building
1,Sunday,2026-02-09,Twitter,Post,Weekly walking recap,Summary and challenge,pending,Sunday engagement
2,Monday,2026-02-10,TikTok,Video,The couple's challenge,Script 7 from TikTok scripts,pending,Partner angle
2,Monday,2026-02-10,Twitter,Post,Morning routine change,Post 4 tip,pending,Morning post
2,Monday,2026-02-10,Twitter,Post,Poll step count,Post 14 engagement,pending,Evening post
2,Tuesday,2026-02-11,TikTok,Video,Standing desk isn't enough,Script 8 from TikTok scripts,pending,WFH equipment angle
2,Tuesday,2026-02-11,Twitter,Thread,WFH movement crisis,Thread 3 data driven,pending,Post at 6am
2,Tuesday,2026-02-11,Instagram,Carousel,How it works,3-step visual guide,pending,Educational
2,Wednesday,2026-02-12,TikTok,Video,The parent hack,Script 9 from TikTok scripts,pending,Teen walking
2,Wednesday,2026-02-12,Twitter,Post,Fitness industry overcomplicates,Post 5 tip,pending,Morning post
2,Wednesday,2026-02-12,Twitter,Post,Raise your hand equipment,Post 15 engagement,pending,Evening post
2,Thursday,2026-02-13,TikTok,Video,The simple science,Script 10 from TikTok scripts,pending,Why it works
2,Thursday,2026-02-13,Twitter,Thread,Lost 15 pounds walking,Thread 4 transformation,pending,Post at 6am
2,Thursday,2026-02-13,Instagram,Reel,Before/after transformation,Weight loss visual,pending,Testimonial style
2,Friday,2026-02-14,TikTok,Video,Repurpose script 1,Re-edit with new hook,pending,Test different hook
2,Friday,2026-02-14,Twitter,Post,3 months 10k steps results,Post 6 results,pending,Morning post
2,Friday,2026-02-14,Twitter,Post,Excuse for not walking,Post 16 engagement,pending,Evening post
2,Saturday,2026-02-15,Instagram,Story,Outdoor walking content,Share location walking,pending,Lifestyle content
2,Sunday,2026-02-16,Twitter,Post,Walking challenge announcement,Weekly challenge CTA,pending,Community
3,Monday,2026-02-17,TikTok,Video,New script variation,Test new angle,pending,A/B test
3,Monday,2026-02-17,Twitter,Post,Tried everything list,Post 7 tip,pending,Morning post
3,Tuesday,2026-02-18,Twitter,Thread,Setup for max results,Thread 5 how-to,pending,Post at 6am
3,Wednesday,2026-02-19,TikTok,Video,User testimonial,Film real user story,pending,Social proof
3,Thursday,2026-02-20,Twitter,Post,Remote worker steps,Post 8 stat,pending,Morning post
3,Friday,2026-02-21,TikTok,Video,Top performing repurpose,Re-edit best performer,pending,Double down winner
4,Monday,2026-02-24,Email,Launch email 1,Announcement,7 days out,pending,Pre-launch sequence
4,Wednesday,2026-02-26,Email,Launch email 2,The story,5 days out,pending,Pre-launch sequence
4,Friday,2026-02-28,Email,Launch email 3,Social proof,3 days out,pending,Pre-launch sequence
4,Monday,2026-03-03,Email,Launch email 4,Launch day,Launch,pending,Launch sequence
4,Wednesday,2026-03-05,Email,Launch email 5,Last call,Discount ends,pending,Launch sequence
