alpha_id,source,source_url,category,title,description,actionable_steps,effort_level,roi_potential,risk_level,applies_to_niches,status,reviewed_date,reviewer_notes
ALPHA220,HeyGen,https://heygen.com,AI_INFLUENCER,HeyGen Video Avatar Tool,"Video avatar creation tool for AI influencers. $24/mo creator plan (36 credits). Custom avatars via 2-5min video upload. Professional talking head quality beats D-ID. 80%+ of AI influencer videos use this or D-ID.","1. Subscribe to HeyGen Creator ($24/mo) 2. Upload custom avatar video or use library avatars 3. Generate scripts via AI 4. Create talking head videos 5. Add captions via CapCut 6. Post to TikTok/Instagram",LOW,HIGH,LOW,ALL,PENDING_REVIEW,,Tool for video avatar creation. Industry standard for AI influencers.
ALPHA221,ElevenLabs,https://elevenlabs.io,AI_INFLUENCER,ElevenLabs Voice Synthesis,"Voice consistency tool for AI personas. $22/mo creator plan (100k chars). Professional voice cloning. Critical for maintaining consistent AI character voice across all content. Used by 90%+ of AI influencers.","1. Subscribe to ElevenLabs Creator ($22/mo) 2. Select base voice from library or clone custom voice 3. Lock voice settings for consistency 4. Use same voice for ALL content 5. Adjust stability/clarity per content type",LOW,HIGHEST,LOW,ALL,PENDING_REVIEW,,Voice synthesis critical for AI persona consistency. Non-negotiable tool.
ALPHA222,Leonardo.ai,https://leonardo.ai,AI_INFLUENCER,Leonardo.ai Consistent Character Generation,"Character consistency feature for AI influencer visuals. $12/mo starter plan. Train character model on 10-20 images then generate consistent face across poses/settings. Beats Midjourney for photorealistic consistency.","1. Subscribe to Leonardo.ai ($12/mo) 2. Generate initial character 3. Train character model on 10-20 images 4. Use character model for all future generations 5. Build expression library 6. Build pose library",LOW,HIGHEST,LOW,ALL,PENDING_REVIEW,,Visual consistency tool. Critical for AI influencer credibility.
ALPHA223,AI Influencer Revenue Model,Multiple sources,AI_INFLUENCER,AI Influencer Diversified Revenue Streams,"Sponsored posts $100-$1000+ per post (month 3+). Affiliate 5-30% commissions (month 1+). Digital products $10-$500 per sale (month 3+). Subscriptions $5-$50/mo per member (month 3+). Brand ambassadorships $500-$5k/mo (month 6+). Target: 10k+ followers for consistent brand deals.","1. Build to 10k followers via consistent posting 2. Start affiliate monetization immediately 3. Add digital products at month 3 4. Pitch sponsorships at month 3 5. Scale to brand ambassadorships at month 6 6. Track revenue by stream in FUNNEL_METRICS.csv",MEDIUM,HIGHEST,MEDIUM,ALL,PENDING_REVIEW,,Revenue model overview for AI influencers. Diversification key.
ALPHA224,AI Influencer ASMR Niche,YouTube ASMR research,AI_INFLUENCER,ASMR AI Persona Revenue Strategy,"ASMR niche: YouTube ads $2-10 CPM on long-form (30min-2hr). Patreon $5-20/mo tiers. Sponsorships $500-5k/video from sleep/wellness brands (Calm Headspace Casper Purple). Low risk high engagement. Audio-only or minimal face-on-camera reduces AI detection concerns.","1. Choose ASMR style (triggers roleplay ambient) 2. Generate consistent AI persona 3. Set up ElevenLabs voice 4. Create 30min+ videos 5. Upload to YouTube with SEO titles 6. Add Patreon link 7. Pitch sleep brand sponsorships at 10k subs",MEDIUM,HIGH,LOW,ALL,PENDING_REVIEW,,ASMR niche strategy for AI influencers. Lower barrier to entry.
ALPHA225,AI Influencer FINDOM Niche,Findom research,AI_INFLUENCER,Financial Domination AI Persona Revenue,"Findom niche: Tributes $20-100+. Custom content $50-500. Drain sessions $100-1000+. Subscriptions $20-50/mo. Platforms: Twitter/X for discovery LoyalFans for monetization. High revenue per user but requires persona development and community engagement. Legal: adult verification consent documentation required.","1. Develop luxury aesthetic AI persona 2. Create commanding voice/tone 3. Set up X + LoyalFans accounts 4. Post tribute demands lifestyle flex 5. Engage findom community 6. Convert followers to paying subs 7. Screen for chargebacks 8. Maintain clear consent ToS",MEDIUM,HIGHEST,HIGH,ALL,PENDING_REVIEW,,High-revenue niche but higher risk. Adult content compliance required.
ALPHA226,AI Influencer FTC Compliance,FTC.gov + NY law,AI_INFLUENCER,AI Influencer Double Disclosure Requirement,"AI-generated content needs TWO disclosures: 1) Sponsored/affiliate disclosure 2) AI-generated disclosure. NY law requires AI disclosure for ads starting June 2026. Placement must be conspicuous before affiliate link. Video disclosure must be spoken in video not just caption.","1. Add AI disclosure to bio ('I'm an AI') 2. Add affiliate disclosure to bio ('Links may be affiliate') 3. Add both disclosures to each sponsored post 4. Spoken disclosure in videos 5. Visual watermark option ('AI-Generated Content') 6. Document compliance practices",LOW,HIGHEST,LOW,ALL,PENDING_REVIEW,,Compliance requirement. Non-negotiable. Legal risk otherwise.
ALPHA227,AI Influencer Niche Positioning,Cluely case study,AI_INFLUENCER,AI Influencer: Own Being AI As Feature,"Don't apologize for being AI. Own it as feature: Consistency research synthesis 24/7 availability no human bias. Lead with transparency ('I'm an AI [role]'). Find AI advantage (data analysis instant responses unbiased recommendations). Cluely and other successful AI influencers lean into AI identity.","1. Add 'I'm an AI' to bio prominently 2. Create content about AI advantages 3. Address 'Can you recommend?' with data-backed responses 4. Use framing: 'Users report...' not 'I experienced...' 5. Highlight AI strengths (consistency data synthesis) 6. Build community through transparent value",LOW,HIGH,LOW,ALL,PENDING_REVIEW,,Positioning strategy. Transparency builds trust faster than hiding AI nature.
ALPHA228,AI Influencer Fitness Niche,AI_INFLUENCER/FITNESS_COACHES research,AI_INFLUENCER,AI Fitness Coach Persona Monetization,"AI fitness coach: Affiliate fitness equipment (5-8% MyProtein Bodybuilding.com). Workout plan subscriptions $20-50/mo. Sponsored posts from supplement brands. YouTube ad revenue. Cross-sell to fitness tracking apps. Visual: Athletic AI persona. Voice: Motivational encouraging. Content: Workout demos form tips nutrition basics.","1. Generate athletic AI persona with Leonardo.ai 2. Set up motivational voice ElevenLabs 3. Create workout demo content library 4. Join MyProtein Bodybuilding.com affiliates 5. Post daily workout tips 6. Build to 10k followers 7. Pitch supplement sponsors 8. Launch $20/mo workout plan subscription",MEDIUM,HIGH,LOW,Fitness,PENDING_REVIEW,,Fitness niche AI influencer playbook. Combine with APP_FACTORY fitness apps.
ALPHA229,AI Influencer Faith Niche,AI_INFLUENCER/FAITH_PERSONA research,AI_INFLUENCER,AI Devotional Guide Persona Monetization,"AI devotional guide: Affiliate Christian books apps devotionals. Subscriptions $5-15/mo for exclusive content. Sponsored posts from faith-based brands. YouTube ad revenue. Digital products (prayer guides study materials) $10-50. Visual: Peaceful approachable AI persona. Voice: Gentle encouraging. Content: Daily devotionals scripture reflections prayer tips.","1. Generate peaceful AI persona 2. Set up gentle voice ElevenLabs 3. Create daily devotional content 4. Join Christian book affiliates 5. Post daily encouragement 6. Build to 10k followers 7. Launch $10/mo subscription 8. Create digital prayer guide products",MEDIUM,HIGH,LOW,Faith,PENDING_REVIEW,,Faith niche AI influencer playbook. Combine with PrayerLock app.
