handle,platform,content_type,download_priority,notes
@LocalBateman,X,memes,HIGH,Meme content viral clips. Quote tweet potential. Already in HIGH_SIGNAL_SOURCES SRC084.
@ShitpostReels,X,memes,HIGH,Viral reels memes. Meme compilation source. Already in HIGH_SIGNAL_SOURCES SRC085.
@videosinfolder,X,clips,HIGH,Viral video clips. Scrape and repurpose. Already in HIGH_SIGNAL_SOURCES SRC086.
@InternetH0F,X,memes,HIGH,Viral memes content. Quote tweet material. Already in HIGH_SIGNAL_SOURCES SRC093.
@FearBuck,X,mixed,HIGH,Meme/viral page. Image and video heavy.
@NoContextBrits,X,clips,HIGH,No context humor clips from the UK. Short video heavy.
@cursaboringdays,X,clips,HIGH,Cure boring days viral content. Video-first account lots of downloadable clips.
@DramaAlert,X,drama,MEDIUM,Drama/viral news clips. Text-heavy but has video moments.
@OldSchoolCool80,X,nostalgia,HIGH,Nostalgia viral content. Image and video heavy throwback clips.
@PublicFreakout,X,clips,HIGH,Public freakout clips. Raw video content high engagement.
@oddlyterrifying,X,clips,HIGH,Oddly terrifying viral content. Image and video mix.
@TheFigen_,X,viral_facts,HIGH,Viral facts and clips. Massive reach educational viral format.
@historyinmemes,X,memes,HIGH,History memes. Image-heavy meme templates and formats.
@culturecrave,X,mixed,MEDIUM,Pop culture viral news. Mix of text updates and media clips.
@wesocialgrowth,X,mixed,MEDIUM,Social growth viral content. High engagement analysis. Already in HIGH_SIGNAL_SOURCES SRC082.
@NoContextHumans,X,clips,HIGH,500 posts scraped. Viral no-context humor clips. High repurpose potential.
@kirawontmiss,X,viral_content,HIGH,500 posts scraped. Viral content across categories. Consistent poster.
@HumansNoContext,X,clips,HIGH,500 posts scraped. No-context humor clips. Similar to NoContextHumans.
@FearedBuck,X,mixed,HIGH,500 posts scraped. Actual handle for FearBuck. Meme/viral content repurpose.
@AMAZlNGNATURE,X,nature_clips,HIGH,500 posts scraped. Amazing nature clips. High engagement visual content.
@Rainmaker1973,X,science_nature,HIGH,296 posts scraped. Science/nature viral facts. Educational viral format.
@Massimo20601,X,viral_content,HIGH,139 posts scraped. Viral content mix. Consistent engagement.
@Awk20000,X,meme_clips,HIGH,Yeet guy viral meme clips. User-requested. Quote tweet potential.
