alpha_id,source,source_url,category,tactic,roi_potential,priority,status,applicable_methods,applicable_niches,synergy_score,cross_sell_products,implementation_priority,engagement_authenticity,earnings_verified,extracted_method,compliance_notes,reviewer_notes,created_at
ALPHA290,BlackHatWorld Case Study,https://www.blackhatworld.com/seo/how-i-made-500-000-in-10-months-an-updated-case-study-of-ai-influencer-business.1733764/,AI_INFLUENCER,,HIGHEST,,PENDING_REVIEW,,,,,,,,,,HIGHEST ROI proof. $500 to $35K/month validated business model. Fanvue > Patreon for revenue. Chatter labor arbitrage key.,
ALPHA296,Nano Banana UGC Automation,https://n8n.io/workflows/8644-create-high-quality-ugc-images-with-nano-banana-cheaper-and-faster/,AI_INFLUENCER,,HIGHEST,,PENDING_REVIEW,,,,,,,,,,HIGHEST ROI tool alpha. $500+ UGC → pennies. 38% conversion proof. Service opportunity: sell to e-comm brands.,
ALPHA348,@mhdfaran Higgsfield AI Influencer Platform,https://x.com/mhdfaran,AI_INFLUENCER,,HIGHEST,,PENDING_REVIEW,,,,,,,,,,NEEDS_VERIFICATION. If true: first-mover in AI influencer monetization. Full analysis at MONEY_METHODS/AI_INFLUENCER/HIGGSFIELD_PLATFORM_ANALYSIS.md,
ALPHA221,ElevenLabs,https://elevenlabs.io,AI_INFLUENCER,,HIGHEST,,PENDING_REVIEW,,,,,,,,,,Voice synthesis critical for AI persona consistency. Non-negotiable tool.,
ALPHA222,Leonardo.ai,https://leonardo.ai,AI_INFLUENCER,,HIGHEST,,PENDING_REVIEW,,,,,,,,,,Visual consistency tool. Critical for AI influencer credibility.,
ALPHA223,AI Influencer Revenue Model,Multiple sources,AI_INFLUENCER,,HIGHEST,,PENDING_REVIEW,,,,,,,,,,Revenue model overview for AI influencers. Diversification key.,
ALPHA225,AI Influencer FINDOM Niche,Findom research,AI_INFLUENCER,,HIGHEST,,PENDING_REVIEW,,,,,,,,,,High-revenue niche but higher risk. Adult content compliance required.,
ALPHA226,AI Influencer FTC Compliance,FTC.gov + NY law,AI_INFLUENCER,,HIGHEST,,PENDING_REVIEW,,,,,,,,,,Compliance requirement. Non-negotiable. Legal risk otherwise.,
ALPHA231,AI Influencer Tool Stack Starter Budget,AI_INFLUENCER/setup research,AI_INFLUENCER,,HIGHEST,,PENDING_REVIEW,,,,,,,,,,Tool stack for starting AI influencer on budget. $40/mo entry cost.,
ALPHA292,Fanvue Platform Data,https://www.creatorhero.com/blog/ai-onlyfans-models,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,Platform-specific alpha. Fanvue/Fansly > OnlyFans for AI creators. Disclosure mandatory but accepted.,
ALPHA220,HeyGen,https://heygen.com,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,Tool for video avatar creation. Industry standard for AI influencers.,
ALPHA224,AI Influencer ASMR Niche,YouTube ASMR research,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,ASMR niche strategy for AI influencers. Lower barrier to entry.,
ALPHA227,AI Influencer Niche Positioning,Cluely case study,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,Positioning strategy. Transparency builds trust faster than hiding AI nature.,
ALPHA228,AI Influencer Fitness Niche,AI_INFLUENCER/FITNESS_COACHES research,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,Fitness niche AI influencer playbook. Combine with APP_FACTORY fitness apps.,
ALPHA229,AI Influencer Faith Niche,AI_INFLUENCER/FAITH_PERSONA research,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,Faith niche AI influencer playbook. Combine with PrayerLock app.,
ALPHA230,AI Influencer Content Calendar Structure,AI_INFLUENCER/content research,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,Content strategy framework. Value-first builds trust for monetization.,
ALPHA232,AI Influencer Platform Priority,AI_INFLUENCER/marketing research,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,Platform strategy for AI influencers. Focus beats spreading thin.,
ALPHA234,AI Influencer Voice Framing,AI persona best practices,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,Content framing strategy. AI-appropriate language builds trust.,
ALPHA235,AI Influencer Affiliate Integration,AI_INFLUENCER/monetization research,AI_INFLUENCER,,HIGH,,PENDING_REVIEW,,,,,,,,,,Affiliate review structure. Honesty converts better long-term.,
ALPHA294,Consumer Skepticism Data,https://goatagency.com/blog/influencer-marketing-trends-2026/,AI_INFLUENCER,,MEDIUM,,PENDING_REVIEW,,,,,,,,,,"Reality check alpha. Brand partnerships difficult. Direct monetization (Fanvue, subscriptions) > sponsorships for AI influencers.",
ALPHA233,AI Influencer Realistic Metrics,Industry benchmarks,AI_INFLUENCER,,MEDIUM,,PENDING_REVIEW,,,,,,,,,,Realistic timeline expectations. Prevents premature monetization push.,
