Date,Time,Text
2026-02-03,07:00,"3 hours per week in the gym. that's it. 3 sessions x 1 hour. monday wednesday friday. compound lifts only. i gained 12lbs of muscle in 8 months on this. you don't need 6 days.

#fitness #gym #training

reply SPLIT for the exact program"
2026-02-03,12:00,"which would you choose forever: only upper body training or only lower body training? no cop-outs.

drop your answer"
2026-02-03,17:00,"the protein myth needs to die. you don't need 1g per lb of bodyweight. 0.7g per lb is the actual research consensus. for a 180lb guy that's 126g not 180g. stop force-feeding yourself.

#protein #nutrition #fitness"
2026-02-04,07:00,"creatine monohydrate. 5g per day. every day. forever. $0.03 per serving. the single most researched supplement in history with the most consistent results. stop buying everything else first.

#creatine #supplements #fitness"
2026-02-04,12:00,"WalkToUnlock: your phone stays locked until you hit your step goal. 2,000 steps to check instagram. 5,000 to open TikTok. gamify the one exercise everyone can do.

link in bio"
2026-02-04,17:00,"hot take: most personal trainers got certified in a weekend and know less than someone who's trained themselves for 3 years. harsh but true.

agree or disagree?"
2026-02-05,07:00,what's your one non-negotiable exercise? the one you'd keep if you could only do ONE lift forever. mine is the squat.
2026-02-05,12:00,"tracked every workout for 365 days. the exercises that built the most muscle: barbell squat, barbell bench, barbell row, overhead press, deadlift. 5 exercises. everything else is accessory.

#strength #compound #lifting

reply 5 for the full program"
2026-02-05,17:00,"sleep is the most anabolic thing you're not doing enough of. 7-9 hours. not negotiable. i gained more muscle in 3 months of prioritizing sleep than 6 months of perfect training with 5 hours of sleep.

#sleep #recovery #gains"
2026-02-06,07:00,"progressive overload is the only thing that matters. add 2.5lbs to the bar every week. that's 130lbs in a year. most people lift the same weight for 3 years then wonder why they look the same.

#progressiveoverload #strength"
2026-02-06,12:00,"unpopular fitness opinion: abs are made in the kitchen is only half right. abs are revealed in the kitchen and built in the gym. you need both.

thoughts?"
2026-02-06,17:00,"built an app that forces you to walk before you scroll. sounds annoying. users average 3,200 more steps per day since downloading. WalkToUnlock.

link in bio to download"
2026-02-09,07:00,"6am gym or 6pm gym? there's a right answer and it's whichever one you'll actually show up to.

when do you train?"
2026-02-09,12:00,"walking 10,000 steps per day burned more fat than any cardio routine i've tried. no cortisol spike. no muscle loss. no gym time wasted. just walk more. seriously.

#walking #fatloss #cardio"
2026-02-09,17:00,"what's the worst fitness advice you've ever received? I'll start: 'don't eat after 8pm or it turns to fat.' absolute garbage.

drop yours below"
2026-02-10,07:00,"the meal prep cheat code: cook 2lbs of chicken breast, 4 cups of rice, and a bag of frozen vegetables on Sunday. portion into 5 containers. lunch is solved for the week. takes 45 minutes.

#mealprep #nutrition #fitness

reply PREP for the full weekly plan"
2026-02-10,12:00,"the 3-Hour Physique program. exactly 3 sessions per week. 1 hour each. compound lifts only. progressive overload built in. no fluff. $12 on Gumroad.

link in bio for the program"
2026-02-10,17:00,"cold shower every morning for 60 days. here's what actually happened: nothing magical. but my willpower for the gym went up because I'd already done something hard before 7am. it's a discipline primer.

#coldshower #discipline #fitness"
2026-02-11,07:00,"you can only eat 3 foods for the rest of your life to stay in shape. what are they? mine: chicken, rice, broccoli. boring but effective."
2026-02-11,12:00,"electrolytes in the morning before coffee changed my workouts. pinch of salt, squeeze of lemon, 16oz water. zero cost. more energy than any pre-workout. your morning dehydration is killing your performance.

#electrolytes #hydration #performance"
2026-02-11,17:00,leg day yesterday. stairs are not my friend today. my 4 year old asked why i'm walking funny. told her daddy made poor life choices. she said 'again?'
2026-02-12,07:00,"the 80/20 of fat loss: eat in a 500 calorie deficit. that's it. no keto. no intermittent fasting required. no carb cutting. just eat 500 less than you burn. lose 1lb per week like clockwork.

#fatloss #calories #nutrition"
2026-02-12,12:00,"POV: you just hit a PR on bench and there's nobody in the gym to celebrate with. we've all been there. drop your latest PR below.

share your W"
2026-02-12,17:00,"free: the supplement stack guide. what to take, what to skip, exact brands, cost per day. spoiler: you need 4 supplements. not 12. not 20. four.

reply STACK for the free PDF"
2026-02-13,07:00,"front squats fixed my back pain from regular squats. forced me into better posture. lighter weight, same muscle activation, zero pain. sometimes the regression is the progression.

#squat #mobility #gym"
2026-02-13,12:00,be honest: how many days did you actually train last week? no cap. I'll go first: 3 out of planned 4.
2026-02-13,17:00,"stretching 10 minutes after every workout. hip flexors, hamstrings, chest, shoulders. 6 months later my squat depth improved, shoulder pain gone, and i move like i'm 20 not 30.

#stretching #mobility #recovery

reply STRETCH for the routine"
2026-02-16,07:00,"the biggest waste of money in fitness: personal trainers charging $80/hour to count your reps. the second biggest: BCAA supplements. both are completely unnecessary.

#fitness #money #supplements"
2026-02-16,12:00,the gym bro who rerack weights vs the one who leaves 4 plates on the leg press. which one are you?
2026-02-16,17:00,"WalkToUnlock + PrayerLock combo. walk first, pray second, then use your phone. users who run both apps report best mornings of their life. no exaggeration.

links in bio"
2026-02-17,07:00,"building WalkToUnlock while sitting at my desk for 9 hours is peak irony. the shoemaker's children have no shoes. the step tracker developer has 2,000 steps."
2026-02-17,12:00,"deadlift form check: record every set from the side. watch between sets. 90% of back injuries from deadlifts are ego + bad form. the camera is your cheapest insurance policy.

#deadlift #form #safety"
2026-02-17,17:00,"what supplement did you waste the most money on? I'll start: fat burners. $60/bottle. did absolutely nothing.

share your L"
2026-02-18,07:00,"intermittent fasting works not because of the fasting window. it works because most people simply eat less when they skip breakfast. the mechanism is boring. calorie deficit.

#intermittentfasting #fatloss"
2026-02-18,12:00,"the meal prep starter kit. 4 weeks of recipes. shopping lists. macro breakdowns. designed for people who hate cooking but need to eat right. $7.

link in bio"
2026-02-18,17:00,"gym anxiety is real and valid. here's what fixed mine: go at 5am when it's empty. follow a written program so you know exactly what to do. wear headphones. don't make eye contact. repeat.

#gymanxiety #beginner #fitness"
2026-02-19,07:00,morning training without eating first or evening training with a full day of food? which gives you better lifts?
2026-02-19,12:00,"the bulk/cut cycle is overrated for beginners. just eat at maintenance with high protein and lift heavy. you'll recomp. gained visible muscle while staying the same weight for 6 months.

#recomp #bodybuilding #natural"
2026-02-19,17:00,"if you could go back and tell yourself one thing when you started training what would it be?

I'll share mine in replies"
2026-02-20,07:00,"home gym ROI: spent $800 on a rack, barbell, bench, and 300lbs of plates. gym membership was $50/month. paid for itself in 16 months. now i train in my garage at 5am in my underwear. freedom.

#homegym #fitness #investment"
2026-02-20,12:00,"new WalkToUnlock feature: streak tracking. longest current user streak: 43 consecutive days hitting step goals. can you beat it?

download and start"
2026-02-20,17:00,"grip strength is the most underrated indicator of overall health. dead hangs from a pull-up bar. start with 20 seconds. work to 60. my back pain disappeared and my deadlift went up 40lbs.

#gripstrength #deadhang #health"
2026-02-23,07:00,"rest 3-5 minutes between heavy compound sets. not 60 seconds. you're not doing cardio. you're building strength. longer rest = heavier lifts = more muscle. the science is clear.

#restperiods #strength #hypertrophy"
2026-02-23,12:00,the protein shake or the whole food meal after training? science says it doesn't matter. what do you prefer?
2026-02-23,17:00,"the overhead press is the most honest lift. you can't cheat it. you can't use momentum. you either press it or you don't. add 5lbs per month and watch your shoulders transform.

#overheadpress #shoulders #strength"
2026-02-24,07:00,"magnesium glycinate before bed. 400mg. sleep quality went from 6/10 to 8/10. better sleep = better recovery = more muscle. $0.15 per night. most underprescribed supplement.

#magnesium #sleep #recovery"
2026-02-24,12:00,"free 30-day bodyweight program. no gym needed. pushups, pullups, squats, planks. progressive overload built in. PDF download.

reply BODYWEIGHT for the link"
2026-02-24,17:00,"rest day guilt is real. your muscles literally grow while you rest not while you train. take the day off. you're not losing gains.

who needed to hear this?"
2026-02-25,07:00,"what's your gym pet peeve? curling in the squat rack? unsolicited advice? grunting? phone filming? pick one.

vent below"
2026-02-25,12:00,"farmer's walks. grab heavy dumbbells. walk 40 yards. rest 60 seconds. repeat 4 times. builds grip, traps, core, and mental toughness in 10 minutes. most underused exercise in every gym.

#farmerswalks #functional #strength"
2026-02-25,17:00,"calorie tracking for 30 days then stop. the point isn't to track forever. the point is to learn what 2,500 calories actually looks like. after 30 days you can eyeball it. education not obsession.

#calories #tracking #nutrition"
2026-02-26,07:00,"the mind-muscle connection is real. slow your bench press down. 3 seconds down, pause, 2 seconds up. lighter weight. feel the chest working. my chest grew more in 3 months than the previous year.

#mindmuscle #bench #hypertrophy"
2026-02-26,12:00,"bulk season or cut season right now? and how's it going? actually how's it going.

be real"
2026-02-26,17:00,"the home gym buying guide. exactly what to buy, in what order, from where, for how much. built my setup for $800. complete guide for $5.

link in bio"
2026-02-27,07:00,hit 225 on bench today. been chasing this number for 11 months. nobody in the gym cared. texted my wife. she said 'nice honey.' this is the loneliest sport.
2026-02-27,12:00,"bodyweight exercises until you can: 20 pushups, 5 pullups, 50 bodyweight squats, 60 second plank. if you can't do these don't touch a barbell yet. build the foundation.

#bodyweight #beginner #foundation"
2026-02-27,17:00,the exercise you hate the most is probably the one you need the most. for me it's lunges. what's yours?
2026-03-02,07:00,"sauna 3x per week after training. 15 minutes at 180F. recovery improved. sleep improved. skin improved. $10/month at my gym. the most underused amenity in every commercial gym.

#sauna #recovery #health"
2026-03-02,12:00,"WalkToUnlock corporate wellness pitch: companies are paying $50/employee/month for wellness programs. our app is $3.99 and actually works. the math is obvious.

DM for corporate licensing"
