Niche,Platform,Handle,Email,ProxyUsed,GoLoginProfile,Status,CreatedDate,LastActive,Notes
Meta,X,@PRINTMAXXER,printmaxxer@protonmail.com,Decodo-1,Profile-Meta,PENDING,2026-01-19,,Meta brand
AI,X,@ai_workflows_daily,ai.workflows.tips@protonmail.com,Decodo-2,Profile-AI,PENDING,2026-01-19,,AI niche
AI,TikTok,@aiworkflowsdaily,ai.workflows.tips@protonmail.com,Decodo-2,Profile-AI,PENDING,2026-01-19,,AI niche
AI,YouTube,AI Workflows Daily,ai.workflows.tips@protonmail.com,Decodo-2,Profile-AI,PENDING,2026-01-19,,AI niche
AI,Instagram,@aiworkflowsdaily,ai.workflows.tips@protonmail.com,Decodo-2,Profile-AI,PENDING,2026-01-19,,AI niche
Faith,X,@daily_anchor_faith,daily.anchor.faith@protonmail.com,Decodo-3,Profile-Faith,PENDING,2026-01-19,,Faith niche
Faith,TikTok,@dailyanchorfaith,daily.anchor.faith@protonmail.com,Decodo-3,Profile-Faith,PENDING,2026-01-19,,Faith niche
Faith,YouTube,Daily Anchor Faith,daily.anchor.faith@protonmail.com,Decodo-3,Profile-Faith,PENDING,2026-01-19,,Faith niche
Faith,Instagram,@dailyanchorfaith,daily.anchor.faith@protonmail.com,Decodo-3,Profile-Faith,PENDING,2026-01-19,,Faith niche
Fitness,X,@three_hour_physique,three.hour.physique@protonmail.com,Decodo-4,Profile-Fitness,PENDING,2026-01-19,,Fitness niche
Fitness,TikTok,@threehourphysique,three.hour.physique@protonmail.com,Decodo-4,Profile-Fitness,PENDING,2026-01-19,,Fitness niche
Fitness,YouTube,3-Hour Physique,three.hour.physique@protonmail.com,Decodo-4,Profile-Fitness,PENDING,2026-01-19,,Fitness niche
Fitness,Instagram,@threehourphysique,three.hour.physique@protonmail.com,Decodo-4,Profile-Fitness,PENDING,2026-01-19,,Fitness niche
