method_id,method_name,category,status,revenue_model,time_to_first_dollar,effort_level,revenue_potential,scalability,automation_level,platform_risk,legal_risk,priority,notes,source_file,monthly_potential_low,monthly_potential_high,stacks_with,synergy_score,synergy_type,cross_sell_products,shared_audience,automation_combo,revenue_multiplier,synergy_notes
MM001,APP_FACTORY,CORE,Active,IAP + Subs,,,,,Medium,,,Phase1,Faith fitness productivity apps,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM002,INFO_PRODUCTS,CORE,Planning,One-time,,,,,Low,,,Phase1,Courses templates guides,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM003,AFFILIATE_SITES,CORE,Planning,Commission,,,,,High,,,Phase3,SEO content sites,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM004,SAAS,CORE,Planning,MRR,,,,,Low,,,Phase4,Micro-SaaS tools,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM005,AGENCY_SERVICES,CORE,Planning,Project,,,,,Low,,,Phase4,UGC ads automation,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM006,CONTENT_FARM,CORE,Active,Ads + Creator Fund,,,,,High,,,Phase1,Multi-niche content accounts,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM007,COLD_OUTBOUND,CORE,Planning,Per-lead,,,,,Medium,,,Phase2,Email LinkedIn DM,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM008,UGC_ARBITRAGE,CORE,Planning,Markup,,,,,Medium,,,Phase2,Eastern EU Latam sourcing,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM009,AI_INFLUENCER,CORE,Active,Sponsorships + Products,,,,,Medium,,,Phase1,AI-generated personas,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM010,STREAMER_CLIPS,CORE,New,Creator Fund + Sponsorship,,,,,High,,,Phase2,Clip trending streamers,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM011,ROBLOX_GAMES,CORE,New,Robux + Premium,,,,,Medium,,,Phase4,Roblox experiences,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF001,RELAX_CHANNELS,CONTENT_FARM,New,Ads + Affiliate,,,,,High,,,Phase1,Sleep ambient content,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF002,SLEEP_TIMER_ALARM,CONTENT_FARM,New,Ads + App Affiliate,,,,,High,,,Phase1,Sleep productivity,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF003,NEWS_SOCIALS,CONTENT_FARM,New,Ads + Traffic Arbitrage,,,,,High,,,Phase2,Breaking news viral formats,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF004,MEME_CHANNELS,CONTENT_FARM,New,Ads + Creator Fund,,,,,Medium,,,Phase2,Entertainment memes,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF005,WOMEN_APPRECIATION,CONTENT_FARM,New,Ads + Sell Ads,,,,,Medium,,,Phase2,Lifestyle fan pages,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF006,CLIP_CHANNELS,CONTENT_FARM,New,Creator Fund + Payments,,,,,High,,,Phase2,Streamer clips,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF007,MOTIVATION_QUOTES,CONTENT_FARM,New,Affiliate + Funnel,,,,,High,,,Phase2,Self-improvement,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
