niche,brand_name,category,contact_person,contact_email,contact_linkedin,instagram_handle,website,partnership_page,date_outreach_1,response_1,date_outreach_2,response_2,date_outreach_3,response_3,status,last_status_update,notes
N001,Claude/Anthropic,AI Tool Creators,,[partnerships email],[linkedin url],[@handle],[website],[url],,,,,,,Pending,,[Notes]
N001,Notion,Productivity SaaS,,[partnerships email],[linkedin url],[@notion],[website],[url],,,,,,,Pending,,[Notes]
N001,Perplexity,AI Tool Creators,,[partnerships email],[linkedin url],[@perplexity_ai],[website],[url],,,,,,,Pending,,[Notes]
N001,Zapier,Workplace Software,,[partnerships email],[linkedin url],[@zapier],[website],[url],,,,,,,Pending,,[Notes]
N001,Make.com,Workplace Software,,[partnerships email],[linkedin url],[@make_studio],[website],[url],,,,,,,Pending,,[Notes]
N002,YouVersion,Faith Tech,,[partnerships email],[linkedin url],[@youversion],[website],[url],,,,,,,Pending,,[Notes]
N002,Circle,Accountability Tools,,[partnerships email],[linkedin url],[@circlecommunity],[website],[url],,,,,,,Pending,,[Notes]
N002,[Christian Publisher],Merchandise,,[partnerships email],[linkedin url],[@publisher],[website],[url],,,,,,,Pending,,[Notes]
N002,[Bible Study App],Faith Tech,,[partnerships email],[linkedin url],[@biblestudy],[website],[url],,,,,,,Pending,,[Notes]
N002,[Supplement Brand],Wellness Products,,[partnerships email],[linkedin url],[@brand],[website],[url],,,,,,,Pending,,[Notes]
N003,Rogue Fitness,Fitness Equipment,,[partnerships email],[linkedin url],[@roguefitness],[website],[url],,,,,,,Pending,,[Notes]
N003,MyProtein,Nutrition/Supplements,,[partnerships email],[linkedin url],[@myprotein],[website],[url],,,,,,,Pending,,[Notes]
N003,Strong App,Fitness Apps,,[partnerships email],[linkedin url],[@strongapp],[website],[url],,,,,,,Pending,,[Notes]
N003,Lululemon,Apparel,,[partnerships email],[linkedin url],[@lululemon],[website],[url],,,,,,,Pending,,[Notes]
N003,[Online Coaching],Fitness Services,,[partnerships email],[linkedin url],[@coach],[website],[url],,,,,,,Pending,,[Notes]
N004,PetDesk,Pet Tech,,[partnerships email],[linkedin url],[@petdesk],[website],[url],,,,,,,Pending,,[Notes]
N004,[Pet Food Brand],Pet Products,,[partnerships email],[linkedin url],[@brand],[website],[url],,,,,,,Pending,,[Notes]
N004,Rover,Pet Care Services,,[partnerships email],[linkedin url],[@rover],[website],[url],,,,,,,Pending,,[Notes]
N004,[Pet Insurance],Veterinary Services,,[partnerships email],[linkedin url],[@insurance],[website],[url],,,,,,,Pending,,[Notes]
N004,[Supplement Brand],Pet Products,,[partnerships email],[linkedin url],[@brand],[website],[url],,,,,,,Pending,,[Notes]
N005,GrandPad,Senior-Friendly Apps,,[partnerships email],[linkedin url],[@grandpad],[website],[url],,,,,,,Pending,,[Notes]
N005,Jitterbug,Smart Home,,[partnerships email],[linkedin url],[@jitterbug],[website],[url],,,,,,,Pending,,[Notes]
N005,Teladoc,Health Services,,[partnerships email],[linkedin url],[@teladoc],[website],[url],,,,,,,Pending,,[Notes]
N005,Audible,Entertainment,,[partnerships email],[linkedin url],[@audible],[website],[url],,,,,,,Pending,,[Notes]
N005,[Bank],Financial Services,,[partnerships email],[linkedin url],[@bank],[website],[url],,,,,,,Pending,,[Notes]
N006,Todoist,ADHD-Focused Apps,,[partnerships email],[linkedin url],[@todoist],[website],[url],,,,,,,Pending,,[Notes]
N006,Notion,Productivity SaaS,,[partnerships email],[linkedin url],[@notion],[website],[url],,,,,,,Pending,,[Notes]
N006,Athletic Greens,Supplements/Health,,[partnerships email],[linkedin url],[@athleticgreens],[website],[url],,,,,,,Pending,,[Notes]
N006,[Coworking],Coworking/Community,,[partnerships email],[linkedin url],[@coworking],[website],[url],,,,,,,Pending,,[Notes]
N006,[Course Platform],Courses/Coaching,,[partnerships email],[linkedin url],[@course],[website],[url],,,,,,,Pending,,[Notes]
N007,Chime,Fintech Apps,,[partnerships email],[linkedin url],[@chimebank],[website],[url],,,,,,,Pending,,[Notes]
N007,Webull,Investment Platforms,,[partnerships email],[linkedin url],[@webull_app],[website],[url],,,,,,,Pending,,[Notes]
N007,Fiverr,Side Hustle Tools,,[partnerships email],[linkedin url],[@fiverr],[website],[url],,,,,,,Pending,,[Notes]
N007,[Finance Course],Financial Education,,[partnerships email],[linkedin url],[@course],[website],[url],,,,,,,Pending,,[Notes]
N007,Rocket Money,Money Management,,[partnerships email],[linkedin url],[@rocketmoney],[website],[url],,,,,,,Pending,,[Notes]
N008,Lasting,Couple Apps,,[partnerships email],[linkedin url],[@lasting_app],[website],[url],,,,,,,Pending,,[Notes]
N008,Viator,Experiences,,[partnerships email],[linkedin url],[@viator],[website],[url],,,,,,,Pending,,[Notes]
N008,[Couple Game],Products for Couples,,[partnerships email],[linkedin url],[@game],[website],[url],,,,,,,Pending,,[Notes]
N008,[Therapy Platform],Relationship Services,,[partnerships email],[linkedin url],[@therapy],[website],[url],,,,,,,Pending,,[Notes]
N008,Michelin,Luxury/Lifestyle,,[partnerships email],[linkedin url],[@michelin],[website],[url],,,,,,,Pending,,[Notes]
N009,Flo,Women's Health Apps,,[partnerships email],[linkedin url],[@flo_period_app],[website],[url],,,,,,,Pending,,[Notes]
N009,Herbaland,Wellness Supplements,,[partnerships email],[linkedin url],[@herbaland],[website],[url],,,,,,,Pending,,[Notes]
N009,Summer Fridays,Skincare/Beauty,,[partnerships email],[linkedin url],[@summerfridays],[website],[url],,,,,,,Pending,,[Notes]
N009,Calm,Mental Health Services,,[partnerships email],[linkedin url],[@calm],[website],[url],,,,,,,Pending,,[Notes]
N009,Peloton,Fitness/Wellness,,[partnerships email],[linkedin url],[@onepeloton],[website],[url],,,,,,,Pending,,[Notes]
N010,Quizlet,Study Apps,,[partnerships email],[linkedin url],[@quizlet],[website],[url],,,,,,,Pending,,[Notes]
N010,Khan Academy,Test Prep,,[partnerships email],[linkedin url],[@khanacademy],[website],[url],,,,,,,Pending,,[Notes]
N010,Skillshare,Learning Platforms,,[partnerships email],[linkedin url],[@skillshare],[website],[url],,,,,,,Pending,,[Notes]
N010,Forest,Focus Tools,,[partnerships email],[linkedin url],[@forestapp],[website],[url],,,,,,,Pending,,[Notes]
N010,Wyzant,Student Services,,[partnerships email],[linkedin url],[@wyzant],[website],[url],,,,,,,Pending,,[Notes]
