category,name,description,est_revenue_low,est_revenue_high,est_revenue_range,startup_cost,time_to_first_dollar,existing_assets,next_action,priority,status,blockers,notes,scan_date
freelance,Fiverr/Upwork: Local Business Website Audit,"Use the existing local_biz_pipeline.py to auto-audit sites, then sell the fix. Charge $200-500 for audit + recommendations, $1,500-5,000 for full redesign. Pipeline already built: scrape, score, generate pitch.",500,5000,$500-$5000/mo,0,7-30 days,OPS/SERVICE_OFFERING_PACKAGES.md (service packages already spec'd); AUTOMATIONS/local_biz_pipeline.py (automated website audit tool); AUTOMATIONS/auto_clip_pipeline.py (automated video clipping); MONEY_METHODS/COLD_OUTBOUND/ (email sequences + templates),"List website audit gig on Fiverr ($99 audit, $499 audit + action plan). Run local_biz_pipeline.py on 50 prospects. Cold email the worst-scoring ones with free preview.",P0,READY_TO_LAUNCH,Need Fiverr/Upwork account,This is the highest-margin freelance play. Automated audit takes 30 seconds. Charge $200+ for what takes you 5 minutes. The Gumroad product (Local Biz Client Machine at $97) teaches others this same system -- meta-level monetization.,2026-03-13
cold_email,Gmail Cold Outreach (500/day Free),"Gmail allows ~500 emails/day per account for free. With 3 Gmail accounts = 1,500 emails/day. No paid tools needed. Use existing cold email sequences. Target: local businesses, SaaS companies, content creators who need services.",500,5000,$500-$5000/mo,0,7-21 days,MONEY_METHODS/COLD_OUTBOUND/ (cold email playbooks); COLD_OUTBOUND/EMAIL_SEQUENCES_TIER1.md; LEDGER/OUTREACH_PIPELINE.csv (6 prospects tracked),"Create 3 Gmail accounts. Warm for 7 days (send 10-20 normal emails/day). Start sending cold emails at 20/day, ramp to 100/day by week 2. Use email sequences from COLD_OUTBOUND/.",P0,READY_TO_LAUNCH,Gmail warmup takes 7-14 days,Currently tracking 6 prospects in pipeline. 5 are active leads. The cold email playbook on Gumroad ($27) teaches this exact system = meta-monetization. Critical: use Google Workspace ($6/mo/user) for better deliverability. Free Gmail works but higher spam risk.,2026-03-13
marketplace,Gumroad Digital Products,"10 products written and ready to list. 0 currently live on Gumroad. Products range $7-$97. Total GMV potential with zero marketing: $200-2,000/mo from organic Gumroad discovery + SEO.",200,2000,$200-$2000/mo,0,1-7 days,"PRODUCTS/GUMROAD_READY_LISTINGS.md (10 listings, 603 lines); LEDGER/PRODUCTS.csv (3 products tracked); PRODUCTS/descriptions/PRODUCT_DESCRIPTIONS_20.md",Copy listings from GUMROAD_READY_LISTINGS.md into Gumroad. Connect Stripe. Publish all 10.,P0,READY_TO_LAUNCH,Need Gumroad account + Stripe connected,Gumroad takes 10% fee. Stripe ~2.9%+30c. Net margin ~87%. Gumroad Discover algorithm can send organic traffic to well-optimized listings.,2026-03-13
marketplace,Whop Digital Products,"8 Whop listings written. Whop has built-in discovery, affiliate marketplace, and community features. Products can be access passes, digital downloads, or community memberships.",100,1500,$100-$1500/mo,0,1-7 days,PRODUCTS/listings/ (8 Whop listings ready),"Create Whop account, paste listings, set up payment. Whop has Discover tab = free organic traffic.",P0,READY_TO_LAUNCH,Need Whop seller account,Whop Discover is underrated. Lower competition than Gumroad. Community memberships have higher LTV than one-time downloads. $7 funnel teardown guide is ideal loss-leader for Whop.,2026-03-13
content_syndication,Medium Partner Program Articles,Medium pays writers based on member reading time. Well-optimized articles in tech/business/self-improvement earn $50-500/article/month. Articles already written and ready to publish. Medium's domain authority (DA 96) means your articles rank on Google fast.,50,1000,$50-$1000/mo,0,7-30 days,"CONTENT/medium_articles/ (4 articles); CONTENT/substack_posts/; LEDGER/buffer_import_*.csv (12 CSVs ready for Buffer upload); LEDGER/CONTENT_CALENDAR_30DAY.csv (1,008 posts mapped); CONTENT/social/REPLY_TEMPLATES_100.md",Join Medium Partner Program (free). Publish existing articles from CONTENT/medium_articles/. Optimize titles for SEO. Publish 3-5x/week for first month.,P0,READY_TO_LAUNCH,Need Medium account with Partner Program enabled,Medium SEO hack: write articles targeting 'best X for Y' keywords. Medium's DA means you outrank most blogs. Embed Gumroad affiliate links in articles. Double monetization: Medium partner revenue + affiliate commissions.,2026-03-13
directory,Product Hunt Launch (PrayerLock),Product Hunt gives massive Day 1 traffic. Top 5 products get 5K-30K visitors. Even top 20 gets 500-2K. PrayerLock PWA is ready to deploy. Launch plan already written.,0,500,$0-$500/mo,0,1-7 days (traffic -> Gumroad sales from profile link),LEDGER/LAUNCH_DIRECTORIES.csv (64 directories tracked); APP_FACTORY/builds/prayerlock-web/ (PWA ready to deploy); APP_FACTORY/builds/biomaxx-sdk54/ (app ready); prayerlock-web/PRODUCT_HUNT_LAUNCH.md (PH launch plan written),Deploy PrayerLock to Vercel. Submit to Product Hunt with 5 upvote commitments. Cross-post to HackerNews Show HN.,P0,READY_TO_LAUNCH,Need to deploy PrayerLock first; Need Product Hunt account,"Product Hunt is free. The traffic spike alone can generate Gumroad sales if profile links to products. Also submit to AlternativeTo, SaaSHub, BetaList. LEDGER tracks 64 directories to submit to.",2026-03-13
freelance,Upwork: AI Automation Consulting,"Sell AI workflow setup as a service. Charge $500-2,000 per engagement. Set up Claude/GPT automations, n8n workflows, content pipelines. Position as 'AI operations consultant' not 'prompt writer'.",500,5000,$500-$5000/mo,0,14-30 days,OPS/SERVICE_OFFERING_PACKAGES.md (service packages already spec'd); AUTOMATIONS/local_biz_pipeline.py (automated website audit tool); AUTOMATIONS/auto_clip_pipeline.py (automated video clipping); MONEY_METHODS/COLD_OUTBOUND/ (email sequences + templates),"Create Upwork profile emphasizing AI automation. List 3 service offerings: content automation setup ($500), full AI ops audit ($1,500), custom workflow build ($2,000).",P1,NOT_STARTED,Need Upwork profile,"Upwork favors profiles with 100% Job Success Score. Take first 2-3 jobs at lower rate to build score, then raise to $100-200/hr. The AI Automation Toolkit Gumroad product serves as your portfolio/proof.",2026-03-13
freelance,Fiverr: AI-Powered Content Writing,"Offer blog posts, email sequences, and social content packages on Fiverr. Use Claude/GPT to 10x output. Charge $50-200/article, cost ~$5 in API calls. Top content writers on Fiverr do $5K-15K/mo. New sellers get boosted for 60 days.",200,3000,$200-$3000/mo,0,7-21 days,OPS/SERVICE_OFFERING_PACKAGES.md (service packages already spec'd); AUTOMATIONS/local_biz_pipeline.py (automated website audit tool); AUTOMATIONS/auto_clip_pipeline.py (automated video clipping); MONEY_METHODS/COLD_OUTBOUND/ (email sequences + templates),"Create Fiverr seller account. List 3 gigs: blog writing, email sequences, social media content. Price gig 1 at $25 for first 5 reviews (loss leader), then raise to $75-150.",P1,NOT_STARTED,Need Fiverr seller account,"Fiverr new seller boost lasts 60 days. Undercut initially, stack reviews, raise prices. Upsell from $25 blog post to $200 content package. Deliver in 24h (AI makes this trivial) to win 'fast delivery' badge.",2026-03-13
dropship,TikTok Shop Affiliate (Zero Inventory),"Promote other sellers' products on TikTok Shop for 15-30% commission. $0 cost. Small creators (<50K followers) get 4.3x higher CTR than big accounts. Beauty, skincare, and kitchen gadgets convert highest.",100,3000,$100-$3000/mo,0,14-30 days,AUTOMATIONS/ecom_arb_scanner.py; AUTOMATIONS/trending_products_scanner.py; MONEY_METHODS/POD/ (POD playbook + trending opportunities); POD/TRENDING_OPPORTUNITIES.csv (10 trending designs); MONEY_METHODS/TIKTOK_SHOP/ (TikTok Shop playbook),Apply for TikTok Shop affiliate program. Select 5 trending products. Create 3 demo/review videos per product using AI voiceover.,P1,NOT_STARTED,Need TikTok account with 1K+ followers (or apply as new creator),TikTok Shop affiliate is the hottest zero-cost play in 2026. Product sample programs give you free inventory to review. Commission stacks: 15-30% product + TikTok creator fund.,2026-03-13
affiliate,SaaS Affiliate Programs (Recurring),"PartnerStack, Rewardful, and direct SaaS programs pay 20-40% recurring commission. Notion ($10/signup), Webflow ($50/sale), Jasper (30% recurring), Surfer SEO (25% recurring), ConvertKit (30% recurring for 24 months). One blog post ranking for 'best X tool' can pay $200-2,000/mo indefinitely.",100,2000,$100-$2000/mo,0,7-30 days,CONTENT/social/ (11 posts that can embed affiliate links); CONTENT/medium_articles/ (articles ready for affiliate integration); CONTENT/substack_posts/ (newsletter content for affiliate CTAs); LEDGER/ALPHA_STAGING.csv (132 affiliate alpha entries),"Sign up for PartnerStack + Impact. Apply to 5 SaaS programs matching our content niches (AI tools, productivity, faith tech, fitness tech). Embed links in existing content.",P1,NOT_STARTED,,"Recurring SaaS commissions compound. 10 signups at $20/mo recurring = $200/mo passive after month 1, growing as you add more referrals. Medium articles with affiliate links are an evergreen play.",2026-03-13
