opportunity_id,category,product_name,source_platform,source_price,sell_platform,sell_price,margin_estimate,demand_proof,source_url,notes,date_found,status
ECOM001,TIKTOK_MADE_ME_BUY,LED Face Mask 7-in-1,Temu,$30,Amazon,$79.99,62%,600M+ posts #PerfumeTok viral beauty tech,temu.com/led-face-mask,TikTok viral beauty device - lightweight shipping,2026-01-24,NEW
ECOM002,TIKTOK_MADE_ME_BUY,Biodance Bio-Collagen Deep Mask,AliExpress,$8,Amazon,$24.99,68%,TikTok blowing up - glass skin glow,aliexpress.com/biodance-mask,Single-use masks - high repeat purchase,2026-01-24,NEW
ECOM003,TIKTOK_MADE_ME_BUY,Mini Projector Portable,Temu,$42,Amazon,$89.99,53%,Mini projectors trending 2026 bedroom aesthetic,temu.com/mini-projectors,WiFi + Bluetooth models preferred,2026-01-24,NEW
ECOM004,TIKTOK_MADE_ME_BUY,LED Strip Lights 10m,Temu,$4,Amazon,$18.99,79%,312M views #thepinkstuff cleaning viral,temu.com/led-strip-lights,Gen Z bedroom + dorm aesthetic,2026-01-24,NEW
ECOM005,TIKTOK_MADE_ME_BUY,Phone Cases Custom,AliExpress,$2,Amazon,$12.99,85%,Daily visibility in what's on my phone videos,aliexpress.com/phone-cases,Personalization drives conversion,2026-01-24,NEW
ECOM006,ALIEXPRESS_WINNERS,Yoga Mat Premium,AliExpress,$5,Amazon,$20.43,76%,10K+ units sold past month,aliexpress.com/yoga-mat,Fitness niche - high demand,2026-01-24,NEW
ECOM007,ALIEXPRESS_WINNERS,Resistance Bands Set,AliExpress,$2,Amazon,$9.95,80%,40K+ units sold past month,aliexpress.com/resistance-bands,Home fitness trend continues,2026-01-24,NEW
ECOM008,ALIEXPRESS_WINNERS,Magnetic Car Phone Holder,AliExpress,$3,Amazon,$15.99,81%,High daily use visibility,aliexpress.com/magnetic-holder,6-magnet models sell best,2026-01-24,NEW
ECOM009,ALIEXPRESS_WINNERS,Ice Roller Face Tool,Temu,$5,Amazon,$14.99,67%,40% avg savings vs Amazon beauty tools,temu.com/ice-roller,Self-care + de-puffing trend,2026-01-24,NEW
ECOM010,ALIEXPRESS_WINNERS,Bird Feeder Outdoor,AliExpress,$9.94,Amazon,$15,34%,Steady demand - pet/outdoor niche,aliexpress.com/bird-feeder,Low competition pet adjacent,2026-01-24,NEW
ECOM011,PRINT_ON_DEMAND_DESIGNS,Custom T-Shirt POD,Printify,$7.50,Etsy,$25,70%,25% avg margin - bestselling Etsy category,printify.com,Hyper-personalization wins 2026,2026-01-24,NEW
ECOM012,PRINT_ON_DEMAND_DESIGNS,Couple Matching Tees,Printify,$15,Etsy,$45,67%,Valentine's trending - customizable names,printify.com,Valentine + anniversary market,2026-01-24,NEW
ECOM013,PRINT_ON_DEMAND_DESIGNS,Pet Portrait Custom,Printful,$12,Etsy,$35,66%,Pet appreciation rapidly growing niche,printful.com,Galentine's Day + self-love expansion,2026-01-24,NEW
ECOM014,SEASONAL_UPCOMING,Valentine Phone Charms,AliExpress,$1.50,Etsy,$8.99,83%,$27.5B Valentine market 2025 record,aliexpress.com/phone-charms,Trendy accessories - perceived value,2026-01-24,NEW
ECOM015,SEASONAL_UPCOMING,Scrunchie Sets Valentine,AliExpress,$2,Etsy,$12.99,85%,Cute + functional - soft fabrics,aliexpress.com/scrunchies,Bundle 4-pack for higher AOV,2026-01-24,NEW
ECOM016,SEASONAL_UPCOMING,Self-Care Gift Set,AliExpress,$8,Etsy,$29.99,73%,Curated bundles increase perceived value,aliexpress.com/gift-sets,Bath bombs + candles + soap,2026-01-24,NEW
ECOM017,ETSY_TRENDING,Personalized Jewelry POD,Printify,$8,Etsy,$28,71%,Affordable luxury trend - custom pendants,printify.com,Names + dates drive highest conversion,2026-01-24,NEW
ECOM018,ETSY_TRENDING,Pet ID Tags Custom,AliExpress,$1.20,Etsy,$9.99,88%,Pet products expanding Valentine market,aliexpress.com/pet-tags,Matching owner-pet accessories,2026-01-24,NEW
ECOM019,AMAZON_BSR_GAPS,MaryRuth Liquid Multivitamin Dupe,AliExpress,$6,Amazon,$24.99,76%,500K+ units sold on TikTok Shop,aliexpress.com/multivitamin,Hair growth + wrinkle claims viral,2026-01-24,NEW
ECOM020,TEMU_GOLDMINES,Vacuum Sealer Kitchen,Temu,$12,Amazon,$34.99,66%,Kitchen gadget TikTok trend,temu.com/vacuum-sealer,Multifunctional trending 2026,2026-01-24,NEW
ECOM021,EBAY_ARBITRAGE,FocusFlow Year Planner,Walmart,$1.99,eBay,$29.95,93%,January momentum trend - goal setters,walmart.com/clearance,Perfect timing for January launches,2026-01-24,NEW
ECOM022,EBAY_ARBITRAGE,Dino Flannel Shirt,Target,$5.02,eBay,$39.95,87%,Post-holiday cozy comfort trend,target.com/clearance,Unique + comfort = high perceived value,2026-01-24,NEW
ECOM023,EBAY_ARBITRAGE,Nike Sneakers Limited,Walmart,$35,eBay,$70,50%,Walmart clearance day deal - branded footwear,walmart.com/clearance,Quick flip - high demand brand,2026-01-24,NEW
ECOM024,EBAY_ARBITRAGE,Power Bank Portable,Clearance,$8,eBay,$24.99,68%,#1 eBay best seller - mobile device growth,clearance-stores,Growing mobile usage drives demand,2026-01-24,NEW
ECOM025,EBAY_ARBITRAGE,Camera Vintage Equipment,Thrift,$25,eBay,$125,80%,3794% sell-through rate $399K/30 days,thrift-stores,Vintage gear + modern equipment boom,2026-01-24,NEW
ECOM026,EBAY_ARBITRAGE,Designer Handbag Resale,Clearance,$50,eBay,$150,67%,Luxury items highest profit margins,clearance/liquidation,Authentication critical for trust,2026-01-24,NEW
ECOM027,EBAY_ARBITRAGE,PlayStation 5 Console,Retail,$449,eBay,$549,22%,Continued high demand for PS5,retail-arbitrage,Quick flip but lower margin,2026-01-24,NEW
ECOM028,EBAY_ARBITRAGE,Video Game Collector's Edition,Clearance,$30,eBay,$89.99,67%,Discontinued titles command premium,game-stores,Collector's editions + limited runs,2026-01-24,NEW
ECOM029,EBAY_ARBITRAGE,Mobile Phone Accessories,Wholesale,$3,eBay,$14.99,80%,$283B market growing to $370B by 2032,wholesale-suppliers,Most profitable category on eBay,2026-01-24,NEW
ECOM030,EBAY_ARBITRAGE,Vintage Clothing Thrift,Thrift,$5,eBay,$35,86%,100%+ margins common - unique pieces,thrift-stores,Thrifting thrill drives demand,2026-01-24,NEW
ECOM031,TIKTOK_MADE_ME_BUY,Gua Sha Facial Tool Set,Temu,$3,Amazon,$16.99,82%,#GuaSha 2.1B TikTok views - skincare essential,temu.com/gua-sha,Rose quartz + jade sets most popular,2026-01-25,NEW
