scan_date,app_name,pitch,core_feature,tech_stack,tiktok_hook,build_time,revenue_model,cluster_keyword,vibe_codeability,trend_fit,monetization,virality,total_score,passes_threshold,opportunity_score,existing_competitors,avg_competitor_rating
2026-02-19,Streakway,"the app app that actually sticks. streaks, not willpower.",App tracking with streaks and progress visualization,"Next.js PWA (Vercel free tier, instant deploy)",POV: you built the app app you always wanted,8-16 hours,Free + ads (AdMob interstitial + rewarded),app,4,4,4,5,17,True,40,10,4.7
2026-02-19,Streaklab,"the ai app that actually sticks. streaks, not willpower.",Ai tracking with streaks and progress visualization,"React Native + Expo (cross-platform, EAS build free tier)",POV: you built the ai app you always wanted,8-16 hours,Free + ads (AdMob interstitial + rewarded),ai,4,4,4,5,17,True,40,9,4.7
2026-02-19,Thehabi,"the habit app that actually sticks. streaks, not willpower.",Streak-based habit tracker with accountability partner matching,Remix PWA (Vercel/Netlify free tier),POV: you built the habit app you always wanted,8-16 hours,Free + in-app purchases (consumables),habit,4,4,4,5,17,True,20,9,4.6
2026-02-19,Maxtrac,"the tracker app that actually sticks. streaks, not willpower.",Tracker tracking with streaks and progress visualization,"Flutter Web + Mobile (single codebase, Firebase free tier)",POV: you built the tracker app you always wanted,8-16 hours,Free + in-app purchases (consumables),tracker,4,3,4,5,16,True,20,10,4.7
2026-02-19,Batchink,"the misc app that actually sticks. streaks, not willpower.",Misc tracking with streaks and progress visualization,"Next.js PWA (Vercel free tier, instant deploy)",POV: you built the misc app you always wanted,8-16 hours,Free + ads (AdMob interstitial + rewarded),misc,4,3,4,5,16,True,20,9,4.6
2026-02-19,Glowhall,"the hallow app that actually sticks. streaks, not willpower.",Hallow tracking with streaks and progress visualization,"Flutter Web + Mobile (single codebase, Firebase free tier)",I asked 100 people what they hate about hallow apps. then I fixed it.,8-16 hours,Free + ads (AdMob interstitial + rewarded),hallow,4,3,4,5,16,True,20,9,4.8
2026-02-19,Builink,"the built app that actually sticks. streaks, not willpower.",Built tracking with streaks and progress visualization,Remix PWA (Vercel/Netlify free tier),POV: you built the built app you always wanted,8-16 hours,Freemium + weekly subscription ($4.99/week),built,4,3,4,5,16,True,20,5,4.3
2026-02-19,Theshow,"the show app that actually sticks. streaks, not willpower.",Show tracking with streaks and progress visualization,"Flutter Web + Mobile (single codebase, Firebase free tier)",I built a show app in one day. here's what happened.,8-16 hours,Freemium + monthly sub ($9.99/mo) via RevenueCat,show,4,3,4,5,16,True,20,8,4.4
2026-02-19,For.lab,"the for app that actually sticks. streaks, not willpower.",For tracking with streaks and progress visualization,"SvelteKit PWA (lightweight, Cloudflare Pages free)",POV: you built the for app you always wanted,8-16 hours,Freemium + monthly sub ($9.99/mo) via RevenueCat,for,4,3,4,5,16,True,20,10,4.7
2026-02-19,Nprorr,"the nprogress app that actually sticks. streaks, not willpower.",Nprogress tracking with streaks and progress visualization,"Flutter Web + Mobile (single codebase, Firebase free tier)",I asked 100 people what they hate about nprogress apps. then I fixed it.,8-16 hours,Freemium + monthly sub ($9.99/mo) via RevenueCat,nprogress,4,3,4,5,16,True,20,10,4.6
2026-02-19,Fffrr,"the fff app that actually sticks. streaks, not willpower.",Fff tracking with streaks and progress visualization,"Flutter Web + Mobile (single codebase, Firebase free tier)",this fff app was made by someone who actually fffs. you can tell.,8-16 hours,Free + in-app purchases (consumables),fff,4,3,4,5,16,True,20,9,4.7
2026-02-19,Viderr,"the video app that actually sticks. streaks, not willpower.",Video tracking with streaks and progress visualization,"SvelteKit PWA (lightweight, Cloudflare Pages free)",this video app was made by someone who actually videos. you can tell.,8-16 hours,Freemium + weekly subscription ($4.99/week),video,4,3,4,5,16,True,20,9,4.6
