method_id,method_name,description,source_app_criteria,target_niche_criteria,execution_steps,tools_needed,time_to_mvp,cost_estimate,roi_potential,risk_level,examples,status,notes
AFM001,Niche Adaptation,"Take successful app and adapt for underserved demographic","Trending on app stores (use appkittie). Good reviews. Simple core feature.","Underserved segment: women, specific religion, profession, age group, location","1. Find trending app 2. Research target niche demand 3. Adapt UI/copy/features 4. Build MVP 5. Test with niche community","appkittie, App Store, Cursor/Lovable, Canva",7-14 days,$0-100,HIGH,MEDIUM,"Meditation app → Christian meditation. Habit tracker → Muslim prayer tracker. Fitness app → Women's fitness.",ACTIVE,"Greg Isenberg framework. Build community first."
AFM002,Termination Arbitrage,"Find terminated YouTube channels rebuild their content strategy on new platforms","Terminated channels with high subs/views (algrow.online). Content that can be safely recreated.","Same audience but legal content approach. Avoid whatever caused termination.","1. Monitor algrow.online 2. Analyze terminated channel content 3. Identify safe spin 4. Rebuild on TikTok/YT Shorts 5. Capture abandoned audience","algrow.online, CapCut, social accounts",3-7 days,$0,HIGH,MEDIUM,"Terminated finance channel → compliant investing tips. Terminated health channel → general wellness.",ACTIVE,"Must avoid whatever caused original termination."
AFM003,Review Mining,"Find apps with bad reviews solve specific complaints","1-2 star reviews on App Store/Play Store. Specific repeatable complaints.","Users frustrated with specific feature or UX issue.","1. Search G2/Capterra/App Store for competitor 2. Read 1-2 star reviews 3. Identify pattern complaints 4. Build solution 5. Target those users","G2, Capterra, App Store, Play Store",14-30 days,$0-200,MEDIUM,LOW,"CRM with bad mobile app → build mobile-first version. Project tool with confusing UI → build simpler version.",ACTIVE,"Low risk. Users already want solution."
AFM004,Locale Adaptation,"Take US-successful app adapt for specific country/language","US app not available in target country. Or available but not localized well.","Country with demand but no good local option.","1. Find US apps with global potential 2. Research target country demand 3. Localize copy/features/payments 4. Launch in target market","App Store (filter by country), translation services",14-30 days,$100-500,MEDIUM,LOW,"US productivity app → French version. US faith app → Spanish-speaking markets.",ACTIVE,"Language + payment localization key."
AFM005,Platform Port,"Take successful web tool and make mobile app version","Popular web tool with no mobile app. Users complaining about mobile experience.","Mobile-first users who want the tool on the go.","1. Find popular web tools 2. Check if mobile app exists 3. Build mobile wrapper or native app 4. Market to existing user base","React Native, Flutter, or web wrapper tools",14-30 days,$0-100,MEDIUM,LOW,"Web-based calculator → mobile app. Web dashboard → mobile companion.",ACTIVE,"Can be simple wrapper or full native."
AFM006,Vertical SaaS Shrink,"Take horizontal SaaS and shrink to specific vertical","General purpose tool (CRM, project mgmt, etc). Works but not optimized for specific industry.","Specific industry with unique needs: churches, gyms, restaurants, etc.","1. Identify horizontal tool with wide use 2. Pick vertical with specific needs 3. Build simplified version 4. Add vertical-specific features 5. Price for vertical","Cursor, Supabase, standard SaaS stack",30-60 days,$0-500,HIGH,MEDIUM,"General CRM → Church CRM. General scheduling → Gym scheduling. General invoicing → Contractor invoicing.",ACTIVE,"Higher effort but strong moat."
AFM007,Free Tier Extraction,"Build free alternative to popular paid tool","Paid tool ($20-100/mo) with features that can be replicated. Users complaining about price.","Price-sensitive users. Solopreneurs. Students.","1. Find paid tools with price complaints 2. Identify core features needed 3. Build free or cheaper version 4. Monetize with premium tier or ads","Standard dev tools, open source libs",14-30 days,$0-100,MEDIUM,LOW,"Paid AI writing tool → free version with limits. Paid SEO tool → free basic version.",ACTIVE,"Compete on price for bottom of market."
AFM008,Aggregator Pattern,"Aggregate multiple single-purpose apps into one","Users using 5+ apps for related tasks. Switching cost high.","People who want all-in-one solution for a workflow.","1. Identify related single-purpose apps 2. Map common user workflows 3. Build unified solution 4. Import from existing tools","Standard dev tools, API integrations",30-60 days,$0-500,HIGH,MEDIUM,"Multiple content tools → unified content OS. Multiple fitness trackers → unified health dashboard.",ACTIVE,"Higher effort. Strong retention if executed well."
AFM009,API Wrapper,"Build simple UI around powerful API","Complex API with no good UI. Developers use it but non-technical can't.","Non-technical users who want API functionality.","1. Find powerful APIs (OpenAI, etc) 2. Identify use case for non-technical users 3. Build simple UI wrapper 4. Charge for convenience","API of choice, simple frontend",3-7 days,$0-50,MEDIUM,LOW,"GPT API → simple writing tool. Image API → one-click generator.",ACTIVE,"Fast to build. Compete on UX."
AFM010,Community First,"Build community before product then build what they want","Audience already engaged in a topic. Willing to pay for solutions.","Community with clear pain points and willingness to pay.","1. Build audience (X, newsletter, Discord) 2. Engage and learn pain points 3. Pre-sell solution 4. Build based on demand 5. Launch to warm audience","Social accounts, community platform",60-90 days (with warmup),$0,HIGHEST,LOW,"Faith community → faith app. Fitness community → fitness tracking tool.",ACTIVE,"@purpdevvv framework. Lowest risk if executed well."
AFM011,FB Ads Library Mining,"Find winning digital products via FB Ads Library search","Products actively paying for ads = making money. Search keywords: Ebook, Digital Download, PDF, Printable, Template, Guide, Course, Planner.","Same keywords adapted to your niche. Info products, digital downloads.","1. Go to FB Ads Library 2. Search product keywords 3. Filter by active ads 4. Analyze landing pages 5. Create better version for niche","Facebook Ads Library (free), landing page builder",7-14 days,$0-100,HIGH,LOW,"Find winning fitness ebook → create faith version. Find template → adapt for profession.",ACTIVE,"@xivy0k method. If they're paying for ads, they're making money."
AFM012,Screen Time Blocker Variants,"Build niche-specific screen time blocker apps","Trending: Opal $600k/mo, BePresent $300k/mo, Brainrot $100k/mo. Core feature: block phone until X.","Niche unlock conditions: Pray, Walk, Workout, Complete task, Read scripture.","1. Study Opal/BePresent mechanics 2. Pick niche unlock condition 3. Build with Flutter/React Native 4. Hard paywall from day 1 5. Content marketing on TikTok","Flutter/RN, standard mobile stack",14-21 days,$0-100,HIGHEST,LOW,"PrayerLock (Faith) - scaling to $40k/mo. WalkToUnlock (Fitness). TaskUnlock (Productivity).",ACTIVE,"@Jahjiren insight. Pattern recognition: blockers printing. Niche = differentiation."
AFM013,Authority Trust Stack,"Add Harvard/medical citations + visual goal timelines + bright paywall","Apps with $350k+ MRR using: 1) Authority citations 2) Visualized outcomes 3) Bright conversion CTAs.","Health, fitness, productivity apps where trust matters.","1. Add legitimate source citations (Harvard, Mayo, etc) 2. Build visual goal timeline showing user progress 3. Design paywall with bright colors + 'goals 4.2x faster' style copy","Standard mobile stack, Canva for visuals",3-7 days (feature add),$0,HIGH,LOW,"Fitness app citing Harvard studies. Meditation app with progress timeline. Habit tracker with achievement visuals.",ACTIVE,"@matteo_spada breakdown. Trust signals + outcome visualization = conversion."
AFM014,AI Wrapper Product,"Build niche-specific UI around AI APIs (OpenAI/Anthropic/Google)","Successful AI wrappers: Jasper $80M ARR, Copy.ai $50M ARR. API does heavy lifting, you add UX + workflow.","Niche verticals: faith content, fitness plans, cold email, app listings. Non-technical users who want AI power.","1. Pick specific niche (not generic) 2. Build landing page + waitlist 3. MVP with one core feature 4. Use cheapest model that works 5. Subscription or credit pricing 6. Content marketing to niche","OpenAI/Anthropic API, Next.js, Stripe, Vercel",3-14 days,$0-100,HIGHEST,MEDIUM,"SermonGen (faith), ColdMailMaxx (B2B), FitCoach AI (fitness), AppDescribe (developers). Jasper, Copy.ai, Writesonic.",ACTIVE,"API is commodity. Niche focus + workflow + GTM = the product. See MONEY_METHODS/AI_WRAPPER/ for full guide."
