experiment_id,app,type,hypothesis,variant_a,variant_b,variant_c,start_date,end_date,primary_metric,secondary_metrics,sample_size_per_variant,result_a,result_b,result_c,statistical_significance,winner,notes
EXP-001,FocusTimer,price_point,"Higher price ($9.99) will reduce conversion but increase ARPU",$7.99/month,$9.99/month,,$7.99: 6.2% conversion,$9.99: 4.8% conversion,,95%,variant_a,"$7.99 generated 18% more revenue per user"
EXP-002,FocusTimer,annual_ratio,"50% annual savings will shift more users to annual vs 33%",33% savings (12:8),50% savings (12:6),,2025-02-01,2025-02-15,annual_subscription_rate,"revenue_per_user,refund_rate",750,42% chose annual,58% chose annual,,97%,variant_b,"Significant shift to annual with minimal revenue loss per user"
EXP-003,MealPlanner,trial_length,"7-day trial will outperform 3-day on conversion",3-day trial,7-day trial,14-day trial,2025-02-10,2025-03-03,trial_to_paid_conversion,"d30_retention,ltv_90day",600,4.1%,5.8%,5.2%,94%,variant_b,"7-day optimal; 14-day had higher retention but lower conversion"
EXP-004,MealPlanner,paywall_timing,"Showing paywall after 3 uses beats immediate paywall",Immediate paywall,After 3 uses,After 5 uses,2025-02-15,2025-03-08,trial_start_rate,"conversion_rate,d7_retention",800,12%,22%,18%,99%,variant_b,"After 3 uses had best balance of trial starts and conversion"
EXP-005,HabitStack,paywall_type,"Soft paywall with usage limits beats hard paywall",Hard paywall (trial required),Soft paywall (3 free uses/day),,2025-03-01,2025-03-22,revenue_per_install,"d30_retention,subscription_rate",1000,,,,,,"In progress"
EXP-006,HabitStack,social_proof,"Adding user count and rating increases trial starts",No social proof,User count only,User count + rating,2025-03-05,2025-03-19,trial_start_rate,"paywall_dismiss_rate",500,,,,,,"In progress"
EXP-007,FocusTimer,ad_frequency,"Lower interstitial frequency improves retention without major revenue loss",1 per 3 minutes,1 per 5 minutes,1 per 7 minutes,2025-01-20,2025-02-03,d7_retention,"arpdau,session_length",1200,68%,74%,76%,96%,variant_b,"5-minute frequency best balance; 7-minute retention gain didn't offset revenue loss"
EXP-008,QuickNote,rewarded_video,"Rewarded video placement at usage limit outperforms end of session",End of session,At usage limit,,2025-01-25,2025-02-08,rewarded_opt_in_rate,"arpdau,completion_rate",800,8%,24%,,99%,variant_b,"3x higher opt-in at point of need"
EXP-009,MealPlanner,discount_timing,"Discount on paywall dismiss recovers more users than no discount",No discount on dismiss,30% discount on dismiss,50% discount on dismiss,2025-02-20,2025-03-06,recovery_conversion_rate,"full_price_conversion_impact,ltv",600,0%,12%,18%,98%,variant_c,"50% discount recovered more but monitor for price anchoring effect"
EXP-010,HabitStack,lifetime_purchase,"Adding lifetime option increases total revenue without cannibalizing subscriptions",Monthly + Annual only,Monthly + Annual + Lifetime ($99),,2025-03-10,2025-05-10,total_revenue_per_user,"subscription_conversion,lifetime_selection_rate",2000,,,,,,"Planned - needs 60 days for lifetime data"
EXP-011,FocusTimer,paywall_design,"Three-plan display with lifetime creates anchoring effect",Two plans (monthly + annual),Three plans (monthly + annual + lifetime),,2025-03-15,2025-03-29,annual_selection_rate,"monthly_selection,lifetime_selection",800,,,,,,"Planned"
EXP-012,QuickNote,hybrid_monetization,"Adding ads to free tier increases total revenue without hurting conversion",Subscription only,Subscription + ads for free users,,2025-02-01,2025-03-01,total_revenue_per_install,"subscription_conversion,d30_retention,user_rating",1500,$0.42,$0.71,,96%,variant_b,"69% revenue increase; subscription conversion dropped 8% but overall positive"
