keyword,niche,monthly_volume,difficulty,our_rank,hallow_rank,pray_rank,abide_rank,strava_rank,nike_rank,forest_rank,opal_rank,cpc,opportunity_score,notes
prayer app,faith,40000,75,-,1,2,3,-,-,-,-,2.50,medium,High volume but dominated
christian meditation app,faith,12000,45,-,3,5,1,-,-,-,-,1.80,high,Abide owns this - room to compete
daily devotional app,faith,8000,40,-,4,2,3,-,-,-,-,1.50,high,Less competitive than prayer
bible sleep stories,faith,3500,25,-,2,1,5,-,-,-,-,1.20,very high,Growing niche - underserved
prayer accountability,faith,800,15,-,-,-,-,-,-,-,-,0.90,very high,No one targets this directly
catholic prayer app,faith,6000,55,-,1,3,8,-,-,-,-,2.00,low,Hallow dominates - avoid
protestant prayer app,faith,2200,30,-,8,5,2,-,-,-,-,1.40,high,Positioning opportunity
christian couples devotional,faith,1500,20,-,-,3,-,-,-,-,-,1.10,very high,Underserved segment
running app,fitness,90000,85,-,-,-,-,1,2,-,-,3.50,very low,Too competitive
fitness tracker app,fitness,60000,80,-,-,-,-,3,5,-,-,3.00,low,Saturated market
beginner workout app,fitness,25000,50,-,-,-,-,8,4,-,-,2.20,medium,Better opportunity
simple fitness app,fitness,8000,35,-,-,-,-,12,15,-,-,1.60,high,Positioning match
workout accountability app,fitness,1200,20,-,-,-,-,-,-,-,-,1.00,very high,No one owns this
5 minute workout,fitness,18000,45,-,-,-,-,10,8,-,-,1.80,medium,Time-specific niche
home workout no equipment,fitness,35000,55,-,-,-,-,6,3,-,-,2.40,medium,Crowded but accessible
fitness habit tracker,fitness,3000,25,-,-,-,-,-,-,-,-,1.20,very high,Habit angle underserved
focus app,productivity,30000,70,-,-,-,-,-,-,1,2,2.80,low,Forest and Opal dominate
screen time blocker,productivity,20000,65,-,-,-,-,-,-,3,1,2.50,low,Opal winning
phone addiction app,productivity,15000,55,-,-,-,-,-,-,2,3,2.20,medium,Growing awareness
digital detox app,productivity,8000,40,-,-,-,-,-,-,5,4,1.70,high,Less competitive
productivity game,productivity,2500,20,-,-,-,-,-,-,8,-,1.00,very high,Gamification angle open
focus timer gamified,productivity,1800,25,-,-,-,-,-,-,3,-,1.10,very high,Specific positioning
app blocker for students,productivity,5000,35,-,-,-,-,-,-,4,5,1.50,high,Student segment
break phone habit,productivity,4000,30,-,-,-,-,-,-,6,4,1.40,high,Behavior change angle
mindful phone use,productivity,2000,25,-,-,-,-,-,-,7,2,1.20,very high,One Sec territory
screen time accountability,productivity,600,10,-,-,-,-,-,-,-,-,0.80,very high,No competition
meditation app,cross,50000,80,-,2,3,4,-,-,-,-,3.20,very low,Headspace/Calm dominate
habit tracker app,cross,35000,60,-,-,-,-,15,-,10,12,2.40,medium,Many players
wellness app,cross,25000,70,-,-,-,-,8,10,-,6,2.80,low,Vague positioning
self improvement app,cross,12000,50,-,-,-,-,-,-,-,-,1.90,medium,Broad category
morning routine app,cross,6000,35,-,-,-,-,-,-,8,-,1.50,high,Specific use case
accountability partner app,cross,1500,15,-,-,-,-,-,-,-,-,0.90,very high,Open territory
couple goals app,cross,2000,20,-,-,-,-,-,-,-,-,1.00,very high,Relationship niche
