competitor,niche,app_store_rank,rating,review_count,price_annual,price_monthly,price_lifetime,last_update,weekly_update_date,notes
Hallow,faith,45,4.9,250000,69.99,12.99,299.99,2026-01-15,2026-01-21,Top Catholic app - celebrity narrators
Pray.com,faith,18,4.8,180000,99.99,14.99,0,2026-01-10,2026-01-21,Heavy TV advertising spend
Abide,faith,95,4.8,95000,59.99,9.99,199.99,2026-01-08,2026-01-21,Protestant-leaning - dated UI
YouVersion,faith,1,4.9,6000000,0,0,0,2026-01-18,2026-01-21,Free nonprofit - 500M+ downloads
Strava,fitness,1,4.6,500000,79.99,11.99,0,2026-01-17,2026-01-21,Dominant in endurance sports
Nike Run Club,fitness,8,4.8,450000,0,0,0,2026-01-12,2026-01-21,Free brand play - running only
Fitbit,fitness,22,4.3,350000,79.99,9.99,0,2026-01-14,2026-01-21,Requires device - Google owned
MyFitnessPal,fitness,5,4.6,700000,79.99,9.99,0,2026-01-16,2026-01-21,Nutrition focus - Under Armour owned
Forest,productivity,28,4.7,200000,0,1.99,3.99,2026-01-05,2026-01-21,One-time $3.99 iOS purchase - trees
Freedom,productivity,88,4.3,15000,39.99,8.99,159.99,2026-01-11,2026-01-21,Desktop-first - serious blockers
Opal,productivity,15,4.5,80000,99.99,12.99,199.99,2026-01-19,2026-01-21,Gen Z focused - expensive
One Sec,productivity,42,4.6,25000,49.99,6.99,89.99,2026-01-09,2026-01-21,iOS only - mindfulness delays
ScreenZen,productivity,110,4.4,8000,24.99,4.99,0,2026-01-07,2026-01-21,Emerging competitor
Clearspace,productivity,75,4.5,12000,49.99,0,0,2026-01-13,2026-01-21,Well-designed newcomer
WHOOP,fitness,35,4.2,45000,0,30.00,0,2026-01-18,2026-01-21,Recovery focus - expensive sub
Peloton,fitness,12,4.7,180000,0,12.99,0,2026-01-20,2026-01-21,Classes without equipment
Freeletics,fitness,55,4.5,85000,0,34.99,0,2026-01-06,2026-01-21,AI trainer - bodyweight focus
