structure_id,content_type,structure_name,platform,hook_formula,body_structure,cta_type,cta_example,performance_tier,niche_fit,notes,source
CS001,Short Video,Problem-Solution,TikTok/Reels,"Stop doing X. Do Y instead.",Hook → Problem → Solution → Result → CTA,Comment,"Comment 'TOOL' for the template",HIGHEST,ALL,"Most versatile. Works everywhere.",@levelsio pattern
CS002,Short Video,Results Reveal,TikTok/Reels,"I made $X in Y days. Here's how.",Hook → Screenshot → 3 Steps → CTA,Bio,"Link in bio for full breakdown",HIGHEST,AI,"Numbers = engagement. Show proof.",@tdinh_me pattern
CS003,Short Video,Listicle,TikTok/Reels,"3 tools I use every day (free)",Hook → Tool 1 → Tool 2 → Tool 3 → CTA,Comment,"Comment which one you want details on",HIGH,ALL,"Easy to produce. Good retention.",Native TikTok
CS004,Short Video,Myth Bust,TikTok/Reels,"Most people get X wrong",Hook → Common mistake → Truth → Fix → CTA,DM,"DM me 'FIX' for the solution",HIGH,ALL,"Controversy = engagement.",@dannypostmaa pattern
CS005,Short Video,Tutorial Speed,TikTok/Reels,"Copy this exact workflow",Hook → Step 1 → Step 2 → Step 3 → Result,Bio,"Full tutorial in bio",HIGHEST,AI,"Fast value delivery.",@marc_louvion pattern
CS006,X Post,Single Insight,X,"Direct statement with number","Hook sentence. 1-2 supporting lines. CTA.",Reply,"Reply 'STACK' for setup",HIGHEST,ALL,"Under 280 chars. One punch.",@levelsio pattern
CS007,X Thread,Framework,X,"The X-step system for Y","Hook → Step 1 → Step 2 → ... → Summary → CTA",Bio,"Full template in bio",HIGH,AI,"5-7 tweets max. Number each.",@dickiebush pattern
CS008,X Thread,Story,X,"6 months ago I was X. Now Y.","Hook → Struggle → Discovery → Process → Result → Lesson → CTA",DM,"DM for the exact playbook",HIGH,ALL,"Personal + relatable.",@nicolascole77 pattern
CS009,Email,Cold Outreach,Email,"Quick question about {Company}","Observation → Problem → Bridge → Offer → Soft CTA",Reply,"Worth a look?",HIGHEST,ALL,"Under 100 words. Personalized.",MASTER_DOC
CS010,Email,Newsletter,Email,"I made $X doing this (step-by-step)","Hook → Story → 3 takeaways → CTA",Click,"Get the template here",HIGH,ALL,"Value first. Sell second.",Substack best practices
CS011,YouTube Long,Tutorial,YouTube,"Full guide: How to X in Y minutes","Hook (0-30s) → Overview → Steps → Summary → CTA",Subscribe,"Subscribe for more like this",HIGHEST,ALL,"10+ min for monetization.",YouTube SEO
CS012,YouTube Long,Review,YouTube,"I tested X for 30 days. Results:","Hook → What it is → Pros → Cons → Verdict → CTA",Affiliate,"Link in description",HIGH,AI,"Honest reviews convert.",Tech YouTube pattern
CS013,Landing Page,Lead Magnet,Web,"Get the free X that Y","Headline → Subhead → 3 Bullets → Form → Social proof",Form,"Enter email to get instant access",HIGHEST,ALL,"One CTA. Remove friction.",Conversion best practices
CS014,Landing Page,Product,Web,"X for Y without Z","Headline → Problem → Solution → Features → Proof → CTA → FAQ",Buy,"Get instant access for $X",HIGHEST,ALL,"Social proof above fold.",SaaS landing patterns
CS015,UGC Script,Hook-Problem-Demo,Video,"[Problem statement] + [This solved it]","Hook (0-3s) → Bridge (3-10s) → Demo (10-25s) → CTA (25-30s)",Bio,"Link in bio",HIGHEST,ALL,"Native feeling. Not polished.",@dansugcmodels roster
CS016,Faith Content,Daily Devotional,All,"Discipline is built in micro reps","Hook → Scripture → Application → Challenge → CTA",Comment,"Comment 'STREAK' for template",HIGH,Faith,"Short. Actionable. Daily.",Faith niche analysis
CS017,Faith Content,Accountability,All,"The cheat code is social accountability","Hook → Problem → Solution → Community invite",DM,"DM 'GROUP' for access",HIGH,Faith,"Community-focused.",Faith niche analysis
CS018,Fitness Content,Results Focus,All,"3 days/week lifting is enough to look elite","Hook → Contrarian claim → Evidence → Method → CTA",Comment,"Comment 'SPLIT' for the plan",HIGHEST,Fitness,"Numbers + simplicity.",Fitness niche analysis
CS019,Fitness Content,Protocol,All,"Electrolytes are the cheat code for output","Hook → Why → How → Protocol → CTA",Bio,"Full protocol in bio",HIGH,Fitness,"Specific actionable.",Fitness niche analysis
CS020,Paid Ad,UGC Style,Meta/TikTok,"[Problem] - but then I found this","Hook → Struggle → Discovery → Result → CTA",Landing,"Get it now",HIGHEST,ALL,"Native looking. Not polished.",Paid ad best practices
CS021,Short Video,Relationship Bait,TikTok/Reels,"I haven't heard from my BOYFRIEND in FOUR days and he just sent me this","Emotional hook → Suspense → App reveal → Wholesome payoff → CTA",Bio,"Link in bio",HIGHEST,ALL,"23.8M views on couples doodle app. Drama + resolution format.",@wesocialgrowth pattern
CS022,Carousel/Slideshow,AI Girl Hook,X/IG,"5 corporate hacks that [outcome]","AI selfie hook image → Listicle slides → Brand promo last slide → CTA",Bio,"Link in bio",HIGH,ALL,"Cluely format: 362k-492k views. AI girl grabs attention slides deliver value.",@mattwelter breakdown
CS023,X Thread,Math Framework,X,"Here's exactly how to make $X/month","Revenue math → Traffic needed → Conversion rates → Daily targets → Scale path",Reply,"Reply 'MATH' for calculator",HIGHEST,AI,"Knox framework: $30k/mo = 309 sales @ $97 = 11/day. Cold 1% = 1100 visitors.",@knoxtwts article
CS024,Short Video,Organic Testing,TikTok,"Same idea → 5 executions same video → 10 hooks","Volume testing framework → Find signal → Double down → Scale to paid",Comment,"Comment which hook hit",HIGH,ALL,"TikTok organic = free hook testing. Validate before ads.",@lottsnomad (YC W26)
CS025,X Post,Hype/Engagement,X,"This is going to change everything 🔥","Big claim → Tease → Promise → Vague CTA",Follow,"Follow for the breakdown",MEDIUM,ALL,"REPURPOSE ONLY: Engagement farm format. Use to grow accounts then pivot to value.",Engagement farm analysis
CS026,Short Video,Comment Reply Video,TikTok/Reels,"@username asked about X...","Reply to comment visually → Answer question → Encourage more comments → CTA",Comment,"Ask me anything",HIGHEST,ALL,"Simplest growth lever 2026. Signals active creator. Turn comments into content ideas.",TikTok Algorithm 2026
CS027,Tutorial Short,Search-Optimized Tutorial,YouTube Shorts/TikTok,"How to [exact search keyword]","Keyword-rich title → Text overlay with keywords → Quick solution → Step-by-step → CTA",Search,"TikTok/YouTube search",HIGHEST,ALL,"50-60 sec = 76% watch-through rate. TikTok now search platform. Tutorials win in feed AND search.",YouTube Shorts Jan 2026
CS028,Short Video,Rewatch Loop,TikTok/Reels,"Wait for it... [callback to start]","Hook → Build → Payoff → Loop back to start → Encourages rewatch","Save/Rewatch","Watch again to catch it",HIGH,ALL,"1 person watching 3x > 3 people watching 1x. 70%+ completion rate required for viral 2026.",TikTok Algorithm 2026
CS029,Short Video,Keyword Overlay,TikTok,"[Exact search keyword on screen]","Keyword text overlay → Deliver on promise → Use keyword 2-3 times in text → CTA",Search,"Search for more tips",HIGH,ALL,"TikTok AI reads text overlays. Example: Fast Editing Tips on screen for editing tutorial.",TikTok Search 2026
