asset_id,asset_type,asset_location,content_count,monetization_path,revenue_model,price_point,priority,status,notes
CR001,pdf_product,OPS/TREND_INTEL/analyses/CLAVVICULAR_FUNNEL_BREAKDOWN.md,1,compile_to_pdf->gumroad,one_time_sale,$7,P0_IMMEDIATE,SPEC_COMPLETE,584 lines ready. 2-3 hrs to format. Listing copy done.
CR002,pdf_product,APP_FACTORY/PAYWALL_PSYCHOLOGY_AB_PLAYBOOK.md + medium article + implementation spec,3,compile_to_pdf->gumroad,one_time_sale,$27,P0_IMMEDIATE,SPEC_COMPLETE,1500+ lines combined. 3-4 hrs to compile. Full Gumroad spec exists.
CR003,pdf_product,COLD_OUTBOUND/EMAIL_SEQUENCES.md + 7 vertical sequences,8,compile_to_pdf->gumroad,one_time_sale,$27,P0_IMMEDIATE,CONTENT_READY,698 lines + 7 niche sequences. 2-3 hrs to compile.
CR004,pdf_product,STREAMER_CLIPS/CLIPPING_BUSINESS_PLAYBOOK.md + info product spec,2,compile_to_pdf->gumroad,one_time_sale,$37,P0_IMMEDIATE,CONTENT_READY,667 lines + product ladder spec. 2-3 hrs to compile.
CR005,notion_template,DIGITAL_PRODUCTS/NOTION_TEMPLATES/TEMPLATE_SPECS.md - Template 5,1,build_in_notion->gumroad,one_time_sale,$7,P1_WEEK1,SPEC_COMPLETE,Morning Grace 7-Day Challenge. 2-3 hrs to build.
CR006,notion_template,DIGITAL_PRODUCTS/NOTION_TEMPLATES/TEMPLATE_SPECS.md - Template 3,1,build_in_notion->gumroad,one_time_sale,$12,P1_WEEK1,SPEC_COMPLETE,AI Tool Stack Dashboard. 3-4 hrs to build.
CR007,notion_template,DIGITAL_PRODUCTS/NOTION_TEMPLATES/TEMPLATE_SPECS.md - Template 1,1,build_in_notion->gumroad,one_time_sale,$9,P1_WEEK1,SPEC_COMPLETE,Prayer Warrior Tracker. 3-4 hrs to build.
CR008,notion_template,DIGITAL_PRODUCTS/NOTION_TEMPLATES/TEMPLATE_SPECS.md - Template 2,1,build_in_notion->gumroad,one_time_sale,$17,P2_WEEK2,SPEC_COMPLETE,12-Week Body Recomp. 4-5 hrs to build.
CR009,notion_template,DIGITAL_PRODUCTS/NOTION_TEMPLATES/TEMPLATE_SPECS.md - Template 4,1,build_in_notion->gumroad,one_time_sale,$27,P2_WEEK2,SPEC_COMPLETE,Content Creator Command Center. 4-5 hrs to build.
CR010,pdf_product,OPS/ENTITY_SEO_AGENT_READINESS_PLAYBOOK.md,1,compile_to_pdf->gumroad,one_time_sale,$19,P2_WEEK2,CONTENT_READY,609 lines. 2 hrs to compile.
CR011,pdf_product,WEB_TO_APP_FUNNEL/WEB_TO_APP_FUNNEL_PLAYBOOK.md,1,compile_to_pdf->gumroad,one_time_sale,$37,P2_WEEK2,CONTENT_READY,674 lines. 2-3 hrs to compile.
CR012,pdf_product,OPS/QUANT_INFRASTRUCTURE_GUIDE.md + Python scripts,2,compile_to_pdf->gumroad,one_time_sale,$47,P2_WEEK2,CONTENT_READY,800+ lines + code. 3-4 hrs to compile.
CR013,bundle,CR001+CR002,2,gumroad_bundle,one_time_sale,$29,P1_WEEK1,SPEC_COMPLETE,Monetization Stack bundle. Funnel Teardown + Paywall Playbook.
CR014,bundle,CR005+CR007,2,gumroad_bundle,one_time_sale,$14,P2_WEEK2,SPEC_COMPLETE,Faith Bundle. Morning Grace + Prayer Warrior.
CR015,bundle,CR006+CR009,2,gumroad_bundle,one_time_sale,$35,P2_WEEK2,SPEC_COMPLETE,Productivity Bundle. AI Stack + Command Center.
CR016,bundle,CR005+CR006+CR007+CR008+CR009,5,gumroad_bundle,one_time_sale,$47,P2_WEEK2,SPEC_COMPLETE,Complete Template Bundle. All 5 templates.
