keyword,search_volume,difficulty,current_rank,target_rank,priority
chatgpt prompts,45000,78,0,30,high
ai prompts,32000,72,0,25,high
prompt library,12000,55,0,10,high
chatgpt templates,18000,62,0,15,high
ai prompt generator,8500,48,0,8,high
prompt ideas,15000,58,0,12,high
gpt prompts,22000,68,0,20,high
prompt collection,6200,42,0,8,high
ai writing prompts,9800,52,0,10,high
prompt manager,3200,28,0,4,high
chatgpt prompt examples,11000,55,0,12,medium
ai prompt library,4800,38,0,6,high
prompt storage,2100,20,0,3,high
gpt prompt templates,7500,48,0,9,medium
ai prompt database,5100,42,0,7,high
prompt organizer,1800,15,0,2,high
chatgpt prompt library,8200,50,0,10,medium
ai prompt ideas,6800,45,0,8,medium
prompt vault,1200,12,0,1,high
best chatgpt prompts,14000,62,0,18,medium
prompt engineering,9500,55,0,12,medium
ai prompt templates,5500,42,0,7,medium
gpt prompt examples,8800,52,0,11,medium
prompt bank,2800,25,0,4,high
chatgpt prompt generator,6100,45,0,8,medium
ai prompts for work,4200,35,0,6,medium
business prompts ai,3600,32,0,5,medium
marketing prompts,7200,48,0,10,medium
writing prompts ai,5800,42,0,8,medium
coding prompts chatgpt,4500,38,0,6,medium
prompt snippets,1500,12,0,2,high
ai assistant prompts,3900,35,0,6,medium
productivity prompts,2400,22,0,4,medium
creative prompts ai,5200,42,0,8,low
chatgpt for business,12000,60,0,18,low
prompt sharing,1800,18,0,3,medium
prompt marketplace,3200,30,0,5,medium
claude prompts,8500,45,0,10,high
gemini prompts,6200,42,0,8,medium
ai prompt app,4800,38,0,7,high
prompt saver,1200,10,0,2,high
chatgpt shortcuts,5500,42,0,8,medium
ai prompts free,9200,55,0,15,low
prompt copy paste,2100,20,0,3,high
ai text prompts,4500,38,0,7,medium
gpt4 prompts,7800,50,0,12,medium
ai prompt catalog,2800,25,0,4,high
best ai prompts,11000,58,0,15,medium
prompt toolkit,1500,15,0,2,high
ai prompts collection,3200,28,0,5,high
