timestamp,rank,method_id,method_name,status,priority,score,decision,expected_monthly_usd,rev_signal,potential_signal,synergy_signal,exploration_bonus,notes
2026-03-01 20:32:11,1,MM007,COLD_OUTBOUND,Planning,Phase2,67.59,MAINTAIN,5500,55.91,74.81,18.0,0.75,Email LinkedIn DM
2026-03-01 20:32:11,2,MM019,PORTFOLIO_APP_BUILDER,Active,Phase1,64.61,MAINTAIN,27500,0.0,88.79,19.0,0.75,30-app portfolio strategy - 2-3 apps/month
2026-03-01 20:32:11,3,MM001,APP_FACTORY,Active,Phase1,64.43,MAINTAIN,25500,0.0,88.13,19.0,0.75,Faith fitness productivity apps
2026-03-01 20:32:11,4,MM021,PERSONAL_BRAND_SEO,Active,Phase1,63.38,MAINTAIN,11000,0.0,80.83,20.0,0.75,Build-in-public journey - Google Jan 2026 favors authentic
2026-03-01 20:32:11,5,MM070,WEB_REDESIGN_COLD_OUTREACH,ACTIVE,Phase1,63.12,MAINTAIN,26500,0.0,88.46,17.6,0.75,Scrape local businesses -> analyze website quality (15 signals) -> auto-generate modern landing pages -> cold email with preview link -> close at $500-2K per site. Full automation 
2026-03-01 20:32:11,6,MM009,AI_INFLUENCER,Active,Phase1,62.21,MAINTAIN,10250,0.0,80.21,19.0,0.75,AI-generated personas
2026-03-01 20:32:11,7,MM006,CONTENT_FARM,Active,Phase1,60.59,MAINTAIN,5250,0.0,74.4,19.0,0.76,Multi-niche content accounts
2026-03-01 20:32:11,8,MM044,RAPID_BUILD_MONETIZATION,New,Phase1,58.08,MAINTAIN,33000,0.0,90.37,18.0,0.77,48-hour builds to $6k MRR - OpenAlternative $57k revenue 516% growth proof
2026-03-01 20:32:11,9,MM020,X_LAUNCH_VIRAL,New,Phase1,56.75,MAINTAIN,16500,0.0,84.35,18.0,1.13,Comment-driven X launches - $10k MRR no ads proven
2026-03-01 20:32:11,10,MM071,GOVERNMENT_CONTRACTS,NEW,Phase1,56.74,MAINTAIN,26500,0.0,88.46,17.0,0.97,Government contracts via SAM.gov. $700B+ federal spending. Small biz set-asides 23%. Micro-purchases under $10K no formal bidding. Claude Code makes fulfillment 5-10x faster. Techn
2026-03-01 20:32:11,11,MM017,MICRO_INFLUENCER_NETWORK,New,Phase1,56.74,MAINTAIN,11000,0.0,80.83,19.0,1.11,500 clipper model - $1/1k views network
2026-03-01 20:32:11,12,MM015,NEWSLETTER,Planning,Phase2,56.74,MAINTAIN,34250,0.0,90.69,18.0,3.34,Substack Beehiiv ConvertKit Ghost - $20-200 CPM sponsors 5-10% paid conversion $5-50/mo - Faith Fitness AI niches - NEWSLETTER_DEEP_DIVE.md
2026-03-01 20:32:11,13,AI001,NICHE_EXPERTS,New,Phase1,56.72,MAINTAIN,5250,0.0,74.4,19.0,2.88,Thought leader personas
2026-03-01 20:32:11,14,MM046,NOTION_TEMPLATES,New,Phase1,56.72,MAINTAIN,5250,0.0,74.4,19.0,2.88,Notion templates on Gumroad - zero marginal cost scalable cross-sells with apps
2026-03-01 20:32:11,15,MM042,WAITLIST_PRESALE_SERVICE,New,Phase1,56.7,MAINTAIN,16500,0.0,84.35,16.0,3.09,25-85% conversion vs 2-4% traditional - £144k in 2 weeks proven (Jammy Digital)
2026-03-01 20:32:11,16,MM010,STREAMER_CLIPS,New,Phase2,56.68,MAINTAIN,2750,15.38,68.79,18.0,4.5,Clip trending streamers
2026-03-01 20:32:11,17,MM012,ALGO_TRADING,Planning,Phase3,56.68,MAINTAIN,25500,0.0,88.13,17.0,9.0,Automated trading strategies + education
2026-03-01 20:32:11,18,MM041,DIRECTORY_LISTING_SITES,New,Phase2,56.67,MAINTAIN,27500,0.0,88.79,17.0,4.81,Niche directories with premium placements - $100-500/mo small to $5k-50k/mo established
2026-03-01 20:32:11,19,MM002,INFO_PRODUCTS,Planning,Phase1,56.67,MAINTAIN,5250,0.0,74.4,18.0,3.84,Courses templates guides
2026-03-01 20:32:11,20,CF003,NEWS_SOCIALS,New,Phase2,56.65,MAINTAIN,2750,0.0,68.79,17.0,10.39,Breaking news viral formats
2026-03-01 20:32:11,21,SWARM001,SWARM_PROMOTION,New,Phase2,56.64,MAINTAIN,5250,0.0,74.4,19.0,6.8,Multi-account coordinated virality
2026-03-01 20:32:11,22,MM043,INFLUENCER_REVENUE_SHARE,New,Phase2,56.63,MAINTAIN,11000,0.0,80.83,15.0,9.0,Equity + revenue share partnerships emerging 2026 - align interests long-term
2026-03-01 20:32:11,23,CF002,SLEEP_TIMER_ALARM,New,Phase1,56.61,MAINTAIN,600,0.0,55.56,19.0,8.05,Sleep productivity
2026-03-01 20:32:11,24,CF013,YOUTUBE_SHORTS,New,Phase1,56.55,MAINTAIN,2600,0.0,68.3,18.0,5.43,YouTube Shorts automation
2026-03-01 20:32:11,25,MM013,PAID_ADS,Planning,Phase2,56.51,MAINTAIN,10250,0.0,80.21,16.0,8.05,Facebook TikTok Google ads
2026-03-01 20:32:11,26,MM018,PAYWALL_OPTIMIZATION_SERVICE,New,Phase2,56.49,MAINTAIN,9000,0.0,79.08,17.0,7.35,A/B testing service for apps - 2.9x conversion proven
2026-03-01 20:32:11,27,MM016,TIKTOK_SHOP,Planning,Phase2,56.46,MAINTAIN,10250,0.0,80.21,18.0,6.0,TikTok Shop affiliate and products
2026-03-01 20:32:11,28,MM045,DOMAIN_FLIPPING,New,Phase2,56.46,MAINTAIN,10250,0.0,80.21,18.0,6.0,Buy domains cheap sell high - expired catching hand reg aftermarket arb
2026-03-01 20:32:11,29,CF001,RELAX_CHANNELS,New,Phase1,56.4,MAINTAIN,1100,0.0,60.83,19.0,6.36,Sleep ambient content
2026-03-01 20:32:11,30,CF006,CLIP_CHANNELS,New,Phase2,56.26,MAINTAIN,2750,0.0,68.79,18.0,9.0,Streamer clips
2026-03-01 20:32:11,31,AI005,FITNESS_COACHES,New,Phase3,56.23,MAINTAIN,5250,0.0,74.4,19.0,10.39,Health fitness
2026-03-01 20:32:11,32,MM005,AGENCY_SERVICES,Planning,Phase4,56.02,MAINTAIN,11000,0.0,80.83,17.0,10.39,UGC ads automation
2026-03-01 20:32:11,33,AI004,ASMR,New,Phase3,55.99,MAINTAIN,2750,0.0,68.79,18.0,12.73,Relaxation sensory
2026-03-01 20:32:11,34,MM014,YOUTUBE_LONGFORM,Planning,Phase3,55.91,MAINTAIN,10500,0.0,80.42,17.0,10.39,Long-form YouTube content
2026-03-01 20:32:11,35,CF011,CRYPTO_NEWS,New,Phase2,55.88,MAINTAIN,5250,0.0,74.4,17.0,8.05,Crypto trading content
2026-03-01 20:32:11,36,MM008,UGC_ARBITRAGE,Planning,Phase2,55.86,MAINTAIN,3000,0.0,69.54,16.0,10.39,Eastern EU Latam sourcing
2026-03-01 20:32:11,37,CF004,MEME_CHANNELS,New,Phase2,55.76,MAINTAIN,1100,0.0,60.83,16.0,12.73,Entertainment memes
2026-03-01 20:32:11,38,CF005,WOMEN_APPRECIATION,New,Phase2,55.67,MAINTAIN,1600,0.0,64.08,15.0,12.73,Lifestyle fan pages
2026-03-01 20:32:11,39,CF007,MOTIVATION_QUOTES,New,Phase2,55.42,MAINTAIN,1100,0.0,60.83,18.0,10.39,Self-improvement
2026-03-01 20:32:11,40,AI008,RELATIONSHIP_ADVICE,New,Phase3,55.23,MAINTAIN,5250,0.0,74.4,18.0,10.39,Dating self-help
2026-03-01 20:32:11,41,AI003,ONLYFANS_FANSLY,New,Phase4,55.07,MAINTAIN,25500,0.0,88.13,14.0,10.39,Adult content
2026-03-01 20:32:11,42,CF008,FINANCE_NEWS,New,Phase3,54.99,MAINTAIN,2750,0.0,68.79,17.0,12.73,Money crypto news
2026-03-01 20:32:11,43,MM003,AFFILIATE_SITES,Planning,Phase3,54.99,MAINTAIN,2750,0.0,68.79,17.0,12.73,SEO content sites
2026-03-01 20:32:11,44,MM004,SAAS,Planning,Phase4,54.91,MAINTAIN,10500,0.0,80.42,16.0,10.39,Micro-SaaS tools
2026-03-01 20:32:11,45,AI007,GAMING_PERSONAS,New,Phase3,54.9,MAINTAIN,2650,0.0,68.46,17.0,12.73,Gaming esports
