alpha_id,source,source_url,category,tactic,roi_potential,priority,status,applicable_methods,applicable_niches,synergy_score,cross_sell_products,implementation_priority,engagement_authenticity,earnings_verified,extracted_method,compliance_notes,reviewer_notes,created_at
ALPHA791,X/Twitter algorithm,https://www.tweetarchivist.com/how-twitter-algorithm-works-2025,PLATFORM_META,"X shifted to smaller account boost in 2026 - deliberate algorithm change to surface content from smaller accounts vs. established ones. Premium accounts get 4x visibility boost in-network + 2x out-of-network. Two-tier system: Premium essential for reach + monetization (only Premium user engagement counts toward ad revenue). Q1 2026 testing: Premium accounts get 30-40% higher reply impressions.",HIGHEST,HIGH,PENDING_REVIEW,CONTENT_FARM|AI_INFLUENCER,N001_faith|N002_fitness|N003_tech,90,AI_INFLUENCER → X Premium monetization,NOW,AUTHENTIC,VERIFIED,"Smaller accounts now have algorithmic advantage. Premium subscription ($8/mo) = 4x in-network reach + 2x out-of-network + counts toward monetization. Non-Premium engagement doesn't count for payouts.","Platform officially confirmed. Premium = gateway to monetization.","MAJOR SHIFT: Small account advantage + Premium paywall for monetization. Verified Feb 2026 multiple sources. X Money wallet rolling out 2026 (Visa-backed). Engagement from Premium users ONLY counts for ad revenue.",2026-02-04
ALPHA792,TikTok algorithm,https://medium.com/@marketolog4limes/tiktok-creator-hub-2026-new-monetization-opportunities-for-micro-creators-bb90d9635573,PLATFORM_META,"TikTok Jan 2026 algorithm update: watch time weighted 30% heavier. Content watched 30+ seconds gets preference. 60-90 second videos favored over quick-cut. Engagement rate > views (1K views 50 comments = 5% beats 10K views 100 comments = 1%). Follower-first distribution: new videos shown to existing followers first few days before wider push.",HIGH,HIGH,PENDING_REVIEW,CONTENT_FARM|AI_INFLUENCER,N001_faith|N002_fitness|N003_tech,92,AI_INFLUENCER → TikTok content → Newsletter,NOW,AUTHENTIC,VERIFIED,"Watch time is king. 60-90s content + 30+ second retention = algorithm preference. Engagement rate matters more than view count. Test with followers first.","Jan 2026 algorithm change confirmed. Shift to longer-form + watch time.","MAJOR CHANGE: 30% heavier watch time weighting Jan 2026. 60-90s optimal vs. quick cuts. Follower-first testing means existing audience critical. Creator Fund dead → Creator Rewards Program (requires 100K views + 300K watch-hours/30d).",2026-02-04
ALPHA793,TikTok Creator Rewards,https://www.opus.pro/blog/tiktoks-new-algorithm-2026,PLATFORM_META,"TikTok Creator Fund DEAD (replaced by Creator Rewards Program). New requirements: 100K views + 300K watch-hours in 30 days for full-rate payment (vs. old view-count-only model). Educational content +18% in recommendations. Niche communities 1K-50K members getting algorithm boost. Precision > popularity.",HIGHEST,HIGH,PENDING_REVIEW,CONTENT_FARM|AI_INFLUENCER,N001_faith|N002_fitness|N003_tech,88,Niche content → Community → Products,NOW,AUTHENTIC,VERIFIED,"Creator Fund dead. New: Creator Rewards Program with higher bar (300K watch-hours). Educational content rising (+18%). Niche communities 1K-50K getting boost. Build precision audiences not mass appeal.","Official TikTok program change. Verified requirements.","MONETIZATION SHIFT: Old Creator Fund gone. New bar much higher (300K watch-hours). Educational +18% recommendations. Niche communities (1-50K) algorithmically boosted. Strategy: precision niche content over viral chasing.",2026-02-04
ALPHA794,Instagram Reels algo,https://www.loopexdigital.com/blog/instagram-reels-statistics,PLATFORM_META,"Instagram launched 'Your Algorithm' Dec 10 2025 (US only, expanding 2026) - users can view + customize topics Instagram thinks they're interested in. Major shift: follower-based 'social graph' → interest-based recommendation for Reels. 53% of all IG ads ran on Reels in Q4 2025 (up from 35% in 2024). Zuckerberg: Reels hit $50B annual run rate but 'monetization efficiency much less than Feed'.",HIGH,MEDIUM,PENDING_REVIEW,CONTENT_FARM|AI_INFLUENCER,N002_fitness|N003_tech,85,Reels → Newsletter → Products,SOON,AUTHENTIC,VERIFIED,"Instagram shifted to interest-based vs. follower-based for Reels. 'Your Algorithm' tool lets users customize. 53% of ads on Reels (up from 35%). BUT: Reels less profitable than Feed per Zuckerberg. Volume matters.","Official Meta data. Q4 2025 ad stats confirmed.","ALGO TRANSPARENCY: 'Your Algorithm' feature (Dec 2025) = users can see + edit interests. Interest-based > follower-based. 53% of ads on Reels BUT lower monetization efficiency than Feed. Volume strategy needed for creators.",2026-02-04
ALPHA795,YouTube Shorts monetization,https://www.loopexdigital.com/blog/youtube-shorts-statistics,PLATFORM_META,"YouTube Shorts monetization 2026: Standard tier = 1K subs + 4K watch-hours (or 10M Shorts views/90d). Basic tier = 500 subs + 3K hours (or 3M Shorts) for Memberships/Super Chat (NO ad revenue). Shorts RPM $0.01-$0.07/1K views ($0.03 avg = 3.3M views for $100). 50-60s Shorts perform best (76% watch-through rate). Pooled revenue model (not individual ad placements).",MEDIUM,MEDIUM,PENDING_REVIEW,CONTENT_FARM|AI_INFLUENCER,N001_faith|N002_fitness|N003_tech,82,Shorts → Long-form → Memberships,SOON,AUTHENTIC,VERIFIED,"Shorts pay $0.01-$0.07/1K ($50-500 per million views). 50-60s = best performance (76% completion). Use Shorts for discovery → funnel to long-form for real revenue. Pooled model = volume strategy.","Official YouTube 2026 requirements confirmed.","LOW RPM: $0.01-$0.07/1K views vs. long-form. 50-60s optimal (76% completion). Strategy: Shorts = audience growth, long-form = monetization. Pooled revenue model means volume matters. Basic tier (500 subs) unlocks memberships but NOT ads.",2026-02-04
ALPHA796,Facebook Reels Play bonus DEAD,https://napoleoncat.com/blog/how-to-get-paid-for-reels-on-facebook/,PLATFORM_META,"Facebook Reels Play Bonus Program ENDED Aug 31 2025. Replaced by Content Monetization Program (CMP) - unified beta merging In-Stream Ads + Ads on Reels + Performance Bonus. Original program paid up to $35K/mo, recent invites capped at $1.2K/mo before shutdown. CMP = ad revenue-sharing model (no direct view-based bonuses). Alternative: Stars, fan subscriptions, brand collabs, affiliate.",MEDIUM,MEDIUM,PENDING_REVIEW,CONTENT_FARM|AI_INFLUENCER,N001_faith|N002_fitness|N003_tech,75,FB Reels → Stars/Subs → Affiliate,BACKLOG,AUTHENTIC,VERIFIED,"Reels Play Bonus dead (Aug 2025). New: Content Monetization Program (ad rev-share, no view bonuses). Focus on Stars (virtual gifts), fan subs, brand deals, affiliate. Direct view payments gone.","Official Meta program end date. Verified Aug 31 2025.","MAJOR CHANGE: Reels Play Bonus ended Aug 31 2025 (was $35K/mo cap → $1.2K before death). CMP = ad revenue-sharing only. Shift strategy to Stars, fan subscriptions, brand collabs, affiliate vs. chasing views.",2026-02-04
ALPHA797,LinkedIn organic reach crash,https://www.agorapulse.com/blog/linkedin/linkedin-algorithm-2025/,PLATFORM_META,"LinkedIn organic reach CRASHED 2024-2026: views -50%, engagement -25%, follower growth -59% (Richard van der Blom research). Average post reach 8-12% of followers (was 15-20%). Company pages -60% reach. Personal profiles get 13x more reach than company pages. Dwell Time = #1 metric (not Likes). First 90 minutes determine reach. Creator Mode helps (follower distribution vs. connection-only).",HIGHEST,HIGH,PENDING_REVIEW,COLD_OUTBOUND|CONTENT_FARM,N003_tech,88,Personal profile → Newsletter → Services,NOW,AUTHENTIC,VERIFIED,"LinkedIn organic TANKED (-50% views, -25% engagement, -60% company pages). Personal profiles 13x company pages. Dwell time > likes. First 90 min critical. Post 3-5x/week consistent topics. Use Creator Mode for follower distribution.","Richard van der Blom research verified. Official LinkedIn metrics.","ORGANIC CRASH: Views -50%, engagement -25%, follower growth -59% (2024-2026). Company pages dead (-60%). Personal profiles 13x better. Dwell time = king metric. First 90 min post determines reach. Creator Mode = follower distribution (choose 5 niche hashtags). Quality > frequency.",2026-02-04
ALPHA798,Threads ads global rollout,https://almcorp.com/blog/meta-threads-ads-global-expansion-complete-guide-advertisers-2026/,EMERGING_OPPORTUNITY,"Threads ads rolled out globally Jan 21-26 2026 to all users (400M MAU). Early CPM $3-$8, CPC $0.30-$1.50 (lower than FB/IG due to low competition). Creator payout program ENDED July 2025 (no direct creator monetization). Earnings = indirect (brand deals, affiliate, funnel to paid products). Algorithm: meaningful actions (replies, time spent) > passive viewing. Meta Opportunity Score = 12% cost decrease for implementing recs.",HIGHEST,HIGH,PENDING_REVIEW,CONTENT_FARM|PAID_ADS|AFFILIATE_SITES,N001_faith|N002_fitness|N003_tech,90,Threads organic → Ad testing → Funnel,NOW,AUTHENTIC,VERIFIED,"Threads ads live globally (Jan 26 2026). 400M MAU. Early advertiser advantage: CPM $3-8 (vs. FB/IG higher). No creator fund. Monetize via brand deals + affiliate + funnel to products. Algorithm favors replies + time spent.","Official Meta announcement Jan 21 2026. Verified globally available.","FIRST-MOVER WINDOW: Threads ads Jan 26 2026 global rollout. CPM $3-8 (lower than FB/IG). 400M MAU. NO creator monetization program (ended July 2025). Strategy: build audience on Threads → monetize externally (brand deals, affiliate, products). Meta Opportunity Score = optimization recs.",2026-02-04
ALPHA799,Bluesky growth + no monetization,https://recurpost.com/blog/make-money-on-bluesky/,EMERGING_OPPORTUNITY,"Bluesky tripled to 40.2M users in 2025 (13M → 40.2M Oct 2024-Nov 2025). Subscriptions rolling out 2026 (creators set tiers for exclusive content). NO built-in monetization yet (no AdSense, no Creator Fund, no revenue-sharing). Timeline: 'probably won't be coming for next 12 months at least' (from earlier source). Current workarounds: Patreon, Ko-fi for feeds/bots. AT Protocol = open system (creators own audience).",MEDIUM,BACKLOG,PENDING_REVIEW,CONTENT_FARM|NEWSLETTER,N003_tech,70,Early audience building → Monetize when available,BACKLOG,AUTHENTIC,VERIFIED,"Bluesky 40.2M users (3x growth 2025) but zero native monetization. Subscriptions coming 2026 but no revenue-sharing. Build audience early via Patreon/Ko-fi external monetization. AT Protocol = own your audience (portable).","Official Bluesky growth stats. No monetization timeline vague.","EARLY PLATFORM: 40.2M users (3x in 2025) BUT no native monetization (12+ months out). Subscriptions coming 2026 (exclusive content tiers). Current: external monetization (Patreon, Ko-fi). AT Protocol = audience portability. Early-mover advantage for audience building.",2026-02-04
ALPHA800,Noplace Gen Z platform,https://backlinko.com/new-social-media-platforms,EMERGING_OPPORTUNITY,"Noplace = Twitter/Myspace mashup for Gen Z. Suitable for brands/creators with younger audience focused on community building (not broadcasting). Launched 2026. Emphasis on authentic connection vs. influencer culture. Early stage = low competition for community building.",MEDIUM,BACKLOG,PENDING_REVIEW,CONTENT_FARM|AI_INFLUENCER,N003_tech,68,Early community → Newsletter → Products,BACKLOG,AUTHENTIC,UNVERIFIED,"Noplace = Gen Z platform (Twitter/Myspace hybrid). Community-focused not broadcast. Early stage = build authentic connections before saturation. Target younger demos.","Mentioned in 2026 emerging platforms roundup. Limited detail.","GEN Z PLATFORM: Noplace (Twitter/Myspace mashup). Community > broadcast. Early stage = low competition. Target if audience <25 years old. Emphasis on authenticity vs. polished influencer content.",2026-02-04
