platform,niche,hashtag,avg_posts,competition_level,recommended
X,faith,#faith,high,high,true
X,faith,#christian,high,high,true
X,faith,#dailydevotion,medium,medium,true
X,faith,#morningroutine,high,medium,true
X,faith,#quiettime,low,low,true
X,faith,#bibleverse,medium,medium,true
X,faith,#christianliving,medium,medium,true
X,faith,#prayer,high,high,true
X,faith,#blessed,high,high,false
X,faith,#encouragement,medium,medium,true
X,faith,#dailyword,low,low,true
X,faith,#faithjourney,medium,medium,true
X,faith,#trustgod,medium,medium,true
X,faith,#godisgood,medium,high,false
X,faith,#spiritualgrowth,medium,medium,true
X,faith,#biblereading,low,low,true
X,faith,#christianlife,medium,medium,true
X,faith,#worshiplife,medium,medium,false
X,faith,#faithoverfear,medium,medium,true
X,faith,#dailybread,low,low,true
X,faith,#prayerwarrior,medium,medium,false
X,faith,#jesuslovesyou,medium,high,false
X,faith,#scripture,medium,medium,true
X,faith,#christianwalk,low,low,true
X,faith,#morningdevotion,low,low,true
X,faith,#faithbased,medium,medium,true
X,faith,#godsfaithful,low,low,true
X,faith,#christianfaith,medium,medium,true
X,faith,#dailyprayer,low,low,true
X,faith,#livebyfaith,low,low,true
X,faith,#walkinginfaith,low,low,true
X,faith,#faithwalk,low,low,true
X,faith,#christianinspiration,medium,medium,true
X,faith,#biblestudy,medium,medium,true
X,faith,#believeingod,low,low,false
X,faith,#christianmotivation,medium,medium,true
X,faith,#godspromises,low,low,true
X,faith,#spirituallife,medium,medium,true
X,faith,#trusttheprocess,medium,medium,false
X,faith,#christianquotes,medium,medium,true
X,faith,#faithfilled,low,low,true
X,faith,#morningthoughts,low,low,true
X,faith,#peacefulmorning,low,low,true
X,faith,#stillness,low,low,true
X,faith,#intentionalliving,medium,medium,true
X,faith,#mindfulmorning,low,low,true
X,faith,#gratitude,high,high,true
X,faith,#dailygratitude,medium,medium,true
X,faith,#hopeinfaith,low,low,true
X,faith,#christianhope,low,low,true
X,fitness,#fitness,high,high,true
X,fitness,#gym,high,high,true
X,fitness,#workout,high,high,true
X,fitness,#fitfam,high,high,false
X,fitness,#training,high,medium,true
X,fitness,#discipline,medium,medium,true
X,fitness,#consistency,medium,medium,true
X,fitness,#gymmotivation,medium,medium,true
X,fitness,#fitnessmotivation,medium,high,true
