week,day,date,platform,content_type,title,description,status,notes
1,Monday,2026-02-03,TikTok,Video,The lost prompt problem,Script 1 from TikTok scripts,pending,Lost perfect prompt hook
1,Monday,2026-02-03,Twitter,Post,Stop retyping same prompts,Post 1 from Twitter posts,pending,Morning post 8am
1,Monday,2026-02-03,Twitter,Post,Most used prompt question,Post 11 engagement hook,pending,Evening post 5pm
1,Tuesday,2026-02-04,TikTok,Video,The copy-paste workflow,Script 2 from TikTok scripts,pending,Workflow efficiency
1,Tuesday,2026-02-04,Twitter,Thread,Building prompt library,Thread 1 full thread,pending,Post at 8am
1,Tuesday,2026-02-04,Instagram,Story,Prompt library screenshot,Show organized folders,pending,User engagement
1,Wednesday,2026-02-05,TikTok,Video,The prompt library flex,Script 3 from TikTok scripts,pending,200+ prompts hook
1,Wednesday,2026-02-05,Twitter,Post,Most people use ChatGPT wrong,Post 2 tip,pending,Morning post
1,Wednesday,2026-02-05,Twitter,Post,Poll prompts saved,Post 12 engagement,pending,Evening post
1,Thursday,2026-02-06,TikTok,Video,The freelancer hack,Script 4 from TikTok scripts,pending,$500 for 20 min hook
1,Thursday,2026-02-06,Twitter,Thread,10 prompts everyone needs,Thread 2 value thread,pending,Post at 8am
1,Thursday,2026-02-06,Instagram,Reel,App demo,Show saving and copying flow,pending,Screen recording
1,Friday,2026-02-07,TikTok,Video,The beginner's prompt pack,Script 5 from TikTok scripts,pending,New user angle
1,Friday,2026-02-07,Twitter,Post,ChatGPT productivity hack,Post 3 variables tip,pending,Morning post
1,Friday,2026-02-07,Twitter,Post,Controversial prompt engineering,Post 13 engagement,pending,Evening post
1,Saturday,2026-02-08,TikTok,Video,The team workflow,Script 6 from TikTok scripts,pending,Team sharing feature
1,Saturday,2026-02-08,Instagram,Story,User prompt example,Share useful prompt,pending,Value content
1,Sunday,2026-02-09,Twitter,Post,Week prompt recap,Summary and tip,pending,Sunday engagement
2,Monday,2026-02-10,TikTok,Video,The variable trick,Script 7 from TikTok scripts,pending,5 hours/week hook
2,Monday,2026-02-10,Twitter,Post,Prompt library folders,Post 5 tip,pending,Morning post
2,Monday,2026-02-10,Twitter,Post,Be honest lost prompt,Post 14 engagement,pending,Evening post
2,Tuesday,2026-02-11,TikTok,Video,The content creator stack,Script 8 from TikTok scripts,pending,Creator workflow
2,Tuesday,2026-02-11,Twitter,Thread,Why most fail at ChatGPT,Thread 3 problem thread,pending,Post at 8am
2,Tuesday,2026-02-11,Instagram,Carousel,How it works,3-step visual guide,pending,Educational
2,Wednesday,2026-02-12,TikTok,Video,The code assistant,Script 9 from TikTok scripts,pending,Developer angle
2,Wednesday,2026-02-12,Twitter,Post,Time wasted before saving,Post 6 stat,pending,Morning post
2,Wednesday,2026-02-12,Twitter,Post,Organization system question,Post 15 engagement,pending,Evening post
2,Thursday,2026-02-13,TikTok,Video,The efficiency math,Script 10 from TikTok scripts,pending,312 hours saved hook
2,Thursday,2026-02-13,Twitter,Thread,Prompt variables deep dive,Thread 4 how-to,pending,Post at 8am
2,Thursday,2026-02-13,Instagram,Reel,Prompt tutorial,Show variable usage,pending,Educational
2,Friday,2026-02-14,TikTok,Video,Repurpose script 1,Re-edit with new hook,pending,Test different hook
2,Friday,2026-02-14,Twitter,Post,Daily prompt I use,Post 7 specific tip,pending,Morning post
2,Friday,2026-02-14,Twitter,Post,Challenge save prompts,Post 16 engagement,pending,Evening post
2,Saturday,2026-02-15,Instagram,Story,Prompt of the day,Share useful prompt,pending,Value content
2,Sunday,2026-02-16,Twitter,Post,System vs random,Post 8 tip,pending,Sunday post
3,Monday,2026-02-17,TikTok,Video,New script variation,Test new angle,pending,A/B test
3,Monday,2026-02-17,Twitter,Post,Underrated ChatGPT tip,Post 9 tip,pending,Morning post
3,Tuesday,2026-02-18,Twitter,Thread,Building prompts for teams,Thread 5 team angle,pending,Post at 8am
3,Wednesday,2026-02-19,TikTok,Video,User testimonial,Film real user story,pending,Social proof
3,Thursday,2026-02-20,Twitter,Post,Casual vs power users,Post 10 comparison,pending,Morning post
3,Friday,2026-02-21,TikTok,Video,Top performing repurpose,Re-edit best performer,pending,Double down winner
4,Monday,2026-02-24,Email,Launch email 1,Announcement,7 days out,pending,Pre-launch sequence
4,Wednesday,2026-02-26,Email,Launch email 2,The problem,5 days out,pending,Pre-launch sequence
4,Friday,2026-02-28,Email,Launch email 3,The solution/proof,3 days out,pending,Pre-launch sequence
4,Monday,2026-03-03,Email,Launch email 4,Launch day,Launch,pending,Launch sequence
4,Wednesday,2026-03-05,Email,Launch email 5,Last call,Discount ends,pending,Launch sequence
