tweet_text,source_alpha_id,account,status,created_date
geoDuels - I built a 100% free GeoGuessr clone in my mom's basement. information asymmetry is the real currency.,ALPHA1773994670,@voidpilled,PENDING_REVIEW,2026-03-21
geoDuels - I built a 100% free GeoGuessr clone in my mom's basement. reality is programmable if you know the inputs.,ALPHA1773994670,@voidpilled,PENDING_REVIEW,2026-03-21
they don't want you to know this: geoDuels - I built a 100% free GeoGuessr clone in my mom's basement.,ALPHA1773994670,@voidpilled,PENDING_REVIEW,2026-03-21
the matrix has a backdoor. geoDuels - I built a 100% free GeoGuessr clone in my mom's basement.,ALPHA1773994670,@voidpilled,PENDING_REVIEW,2026-03-21
"most are asleep. geoDuels - I built a 100% free GeoGuessr clone in my mom's basement. those who see, profit.",ALPHA1773994670,@voidpilled,PENDING_REVIEW,2026-03-21
"CHUCK NORRIS DIES AT 86, FAMILY STATEMENT ON INSTAGRAM SAYS. the simulation rewards those who see the pattern.",ALPHA1773994640,@voidpilled,PENDING_REVIEW,2026-03-21
"most are asleep. CHUCK NORRIS DIES AT 86, FAMILY STATEMENT ON INSTAGRAM SAYS. those who see, profit.",ALPHA1773994640,@voidpilled,PENDING_REVIEW,2026-03-21
"the matrix has a backdoor. CHUCK NORRIS DIES AT 86, FAMILY STATEMENT ON INSTAGRAM SAYS.",ALPHA1773994640,@voidpilled,PENDING_REVIEW,2026-03-21
"CHUCK NORRIS DIES AT 86, FAMILY STATEMENT ON INSTAGRAM SAYS. information asymmetry is the real currency.",ALPHA1773994640,@voidpilled,PENDING_REVIEW,2026-03-21
"canadian Core Retail Sales MoM Actual 0.8% (Forecast 1.2%, Previous 0.1%). information asymmetry is the real currency.",ALPHA1773994652,@voidpilled,PENDING_REVIEW,2026-03-21
"canadian Core Retail Sales MoM Actual 0.8% (Forecast 1.2%, Previous 0.1%). reality is programmable if you know the inputs.",ALPHA1773994652,@voidpilled,PENDING_REVIEW,2026-03-21
"the matrix has a backdoor. canadian Core Retail Sales MoM Actual 0.8% (Forecast 1.2%, Previous 0.1%).",ALPHA1773994652,@voidpilled,PENDING_REVIEW,2026-03-21
"most are asleep. canadian Core Retail Sales MoM Actual 0.8% (Forecast 1.2%, Previous 0.1%). those who see, profit.",ALPHA1773994652,@voidpilled,PENDING_REVIEW,2026-03-21
"they don't want you to know this: canadian Retail Sales MoM Actual 1.1% (Forecast 1.5%, Previous -0.4%).",ALPHA1773994653,@voidpilled,PENDING_REVIEW,2026-03-21
