tweet_text,category,post_time_slot
"good morning. your morning tax is due. $50 minimum. you know where to send it. don't make me wait. #findom #tribute #paypig",TRIBUTE_ASK,morning
"you worked all week for that paycheck and honestly? it looks better in my account. send it. #findom #cashslave #humanatm",DEGRADATION_LITE,midday
"just booked a suite at the four seasons. the view is incredible. you're paying for this btw. you're welcome for letting you. #findom #luxury #goddess",LUXURY_FLEX,afternoon
"game time. reply with your annual salary. i'll tell you your weekly tribute amount. no negotiating. #findom #paypig #tribute",ENGAGEMENT_GAME,evening
"findom twitter where are you tonight. rt if you're ready to drain. quote tweet with your last tribute amount. #findom #femdom #drainme",COMMUNITY,morning
"new photoset dropping on fanvue at midnight. 12 photos. subscribers only. the link is in my bio and your wallet should be open. #findom #tribute",TEASE,midday
"room service breakfast. eggs benedict and fresh squeezed orange juice. $87 and every cent came from your wallet. as it should. #findom #goddess #moneyslave",LIFESTYLE,afternoon
"it's the first of the month. you know what that means. monthly tribute is due before noon. late fees apply. #findom #paypig #cashslave #tribute",TRIBUTE_ASK,morning
"the fact that you hesitated before sending that tribute tells me you need to send double. hesitation is disrespectful. #findom #femdom #humanatm",DEGRADATION_LITE,evening
"new nails. new bag. new shoes. all from tributes this week alone. $2,340 in 7 days. my subs know their place. #findom #luxury #goddess #tribute",LUXURY_FLEX,morning
"spin the wheel. $25. $50. $100. $200. $500. wherever it lands you send. no excuses. reply 'spin' and i'll tell you your number. #findom #paypig #drainme",ENGAGEMENT_GAME,midday
"shoutout to my top 3 pigs this month. you know who you are. the rest of you need to step up. rt if you want to make the list next month. #findom #tribute #cashslave",COMMUNITY,afternoon
"exclusive video just uploaded to fanvue. 4 minutes. you're not ready for this one. link in bio. subscribers get it free. everyone else? $35. #findom #femdom",TEASE,evening
"brunch at nobu. $340 tab. mimosas and wagyu. i didn't even look at the bill. that's your job. #findom #luxury #goddess #moneyslave",LIFESTYLE,morning
"your alarm goes off. you check your phone. your first thought should be sending tribute. make it a habit. $50 minimum to start your day right. #findom #tribute #paypig",TRIBUTE_ASK,morning
"you spent $6 on a coffee this morning without thinking about it. but you'll sit and debate sending me $50 for 20 minutes. pathetic. send it now. #findom #cashslave #humanatm",DEGRADATION_LITE,midday
"picked up a cartier bracelet today. $4,200. didn't blink. my subs funded this in 9 days. this is what obedience buys. #findom #luxury #goddess #tribute",LUXURY_FLEX,afternoon
"raise the rate challenge. whatever your usual tribute is? double it today. screenshot the receipt and i might acknowledge you. #findom #paypig #drainme #tribute",ENGAGEMENT_GAME,evening
"new followers: welcome to findom twitter. rules are simple. tribute. obey. don't waste my time. link in bio. #findom #femdom #cashslave #tribute",COMMUNITY,morning
"something special coming to fanvue this weekend. hint: it involves me and a very expensive hotel room. subscribers only. #findom #tribute #goddess",TEASE,midday
"first class to miami. champagne before takeoff. the seat alone cost more than your rent. and you paid for it. thank me. #findom #luxury #lifestyle #moneyslave",LIFESTYLE,afternoon
"friday night tribute. the weekend doesn't start until you've paid your tax. $100 minimum. send it and then go enjoy your weekend with whatever's left. #findom #paypig #tribute",TRIBUTE_ASK,evening
"you scroll past my posts pretending you're not interested. then you dm me at 2am. we both know how this ends. just send the tribute. #findom #cashslave #femdom",DEGRADATION_LITE,morning
"shopping spree. 6 bags. $3,800 total. didn't try a single thing on. if it's expensive i want it. your wallet makes that possible. #findom #luxury #goddess #drainme",LUXURY_FLEX,midday
"poll time. what should your punishment be for not tributing this week? a) double tribute b) triple tribute c) i block you. vote below. #findom #paypig #tribute",ENGAGEMENT_GAME,afternoon
"my dms are open for the next hour. verified subs only. don't come in empty handed. #findom #femdom #tribute #cashslave",COMMUNITY,evening
"the clip from last night is now on fanvue. 6 minutes. 4 outfit changes. my subs are losing their minds. link in bio. #findom #goddess #tribute",TEASE,morning
"penthouse suite. city skyline. glass of dom perignon. this is what your tributes buy. a lifestyle you'll never have but always fund. #findom #luxury #moneyslave #goddess",LIFESTYLE,midday
"mid-week check in. have you sent your tribute this week? no? then what are you doing on my timeline? fix that now. $75 minimum. #findom #tribute #paypig #cashslave",TRIBUTE_ASK,afternoon
"the way some of you think a $10 tribute is acceptable is genuinely embarrassing. my uber rides cost more than that. do better. #findom #humanatm #femdom",DEGRADATION_LITE,evening
"got my car detailed today. $450. because i felt like it. because i can. because you make it possible. as nature intended. #findom #luxury #goddess #tribute",LUXURY_FLEX,morning
"drain roulette. dm me a number 1-6. each number is a different tribute amount. minimum $50 max $500. feeling lucky? #findom #paypig #drainme #tribute",ENGAGEMENT_GAME,midday
"findom appreciation post. tag your favorite domme. rt to spread the love. my mentions better be full by tonight. #findom #femdom #community #goddess",COMMUNITY,afternoon
"behind the scenes content going up on fanvue tonight. 8pm. the good stuff. you know where to find it. #findom #tribute #tease",TEASE,evening
"spa day. facial. massage. mani pedi. $680 and i feel incredible. tributes well spent. on me obviously. #findom #lifestyle #luxury #goddess",LIFESTYLE,morning
"sunday morning. church of tribute. your weekly offering is due. $100 for regulars. $200 for those who missed last week. no excuses. #findom #tribute #paypig #cashslave",TRIBUTE_ASK,morning
"you have a whole degree and a career and you still end up here sending money to a woman who will never meet you. and you love it. don't fight it. #findom #cashslave #femdom #humanatm",DEGRADATION_LITE,midday
"dinner at nobu last night. lunch at zuma today. afternoon tea at the ritz tomorrow. your wallet is having the busiest week of its life. #findom #luxury #goddess #moneyslave",LUXURY_FLEX,afternoon
"new game. every rt this gets i raise the minimum tribute by $5. currently at $50. let's see how high you subs push it. #findom #paypig #drainme #tribute",ENGAGEMENT_GAME,evening
"dm of the week goes to the sub who sent $500 unprompted with the message 'just because.' that's how you do it. take notes. #findom #community #tribute #goddess",COMMUNITY,morning
"custom content requests open for the next 48 hours. starting at $150. serious inquiries only. dm me or fanvue. #findom #tribute #femdom",TEASE,midday
"booked a villa in tulum for next month. 7 nights. ocean view. private pool. $4,200 and my subs are covering every cent. vacation fund tribute link in bio. #findom #luxury #lifestyle #goddess",LIFESTYLE,afternoon
"your paycheck just hit. we both know the first thing you need to do. tribute first. bills second. you can figure out the rest. #findom #tribute #paypig #cashslave #humanatm",TRIBUTE_ASK,evening
"the audacity of subs who try to negotiate tribute amounts. this isn't a flea market. i set the price. you pay it. period. #findom #femdom #degradation #cashslave",DEGRADATION_LITE,morning
"new jewelry. hermes bracelet. $1,850. looks perfect on my wrist. one sub covered the whole thing in a single tribute. that's loyalty. #findom #luxury #goddess #tribute",LUXURY_FLEX,midday
"tribute bracket challenge. under $50k salary: $50/week. $50-100k: $100/week. $100k+: $200/week. $200k+: dm me we need to talk. #findom #paypig #tribute #drainme",ENGAGEMENT_GAME,afternoon
"happy friday findom twitter. this weekend i want to see more tributes screenshots and less excuses in my dms. rt if you agree. #findom #femdom #community #cashslave",COMMUNITY,evening
"just finished a 15 minute custom video. the sub who ordered it paid $300. it took me 15 minutes. that's $1,200/hour energy and i will not be taking less. #findom #tribute #goddess",TEASE,morning
"uber black everywhere i go. never uberpool. never uber x. you think i'm sitting in a honda civic? be serious. your tributes make sure i never have to. #findom #luxury #lifestyle #moneyslave",LIFESTYLE,midday
"end of month. time to settle your tab. every tribute you should have sent but didn't? add it up. send it all at once. with interest. i'll be waiting. #findom #tribute #paypig #cashslave #drainme",TRIBUTE_ASK,evening
# INCOME DISCLAIMER: Results not typical. Individual results vary based on effort, market conditions, and other factors.
