niche_id,niche_name,sponsor_1,sponsor_1_category,sponsor_2,sponsor_2_category,sponsor_3,sponsor_3_category,sponsor_4,sponsor_4_category,sponsor_5,sponsor_5_category,base_tier1_rate,base_tier2_rate,base_tier3_rate,suggested_multiplier,notes
N001,AI utilities,Claude/ChatGPT,AI Tool Creators,Notion,Productivity SaaS,Coursera,Education Platforms,Slack,Workplace Software,Gumroad,Premium Services,300,750,600,1.8,High income audience - premium positioning
N002,Faith streak,Bible apps,Faith Tech,Circle,Accountability Tools,Christian books,Merchandise,Faith courses,Courses/Programs,Supplements,Wellness Products,200,600,500,1.6,High loyalty audience - long-term partnerships win
N003,Fitness men,Resistance bands,Fitness Equipment,Protein powder,Nutrition/Supplements,Workout apps,Fitness Apps,Gym wear,Apparel,Online coaching,Fitness Services,250,700,500,1.7,Results-focused audience - transformation ROI critical
N004,Pet wellness,Pet food,Pet Products,Health tracking,Pet Tech,Telehealth vets,Veterinary Services,Pet toys,Pet Accessories,Pet groomers,Pet Care Services,200,400,500,1.5,Emotional spending - health stories matter
N005,Senior tech,Simple apps,Senior-Friendly Apps,Smart home,Smart Home,Telehealth,Health Services,Audiobooks,Entertainment,Financial services,Financial Services,150,500,400,1.4,Decision-makers are adult children - pitch both
N006,Neurodivergent ADHD,Task managers,ADHD-Focused Apps,Notion templates,Productivity SaaS,Supplements,Supplements/Health,Coworking,Coworking/Community,Courses,Courses/Coaching,300,900,600,1.9,High income + loyal advocates - strongest sponsorship niche
N007,Gen Z finance,Banking,Fintech Apps,Stock investing,Investment Platforms,Freelance tools,Side Hustle Tools,Financial courses,Financial Education,Cashback apps,Money Management,350,1000,700,1.8,Viral potential - A/B test offers
N008,Couples relationship,Couple apps,Couple Apps,Date experiences,Experiences,Couple games,Products for Couples,Therapy,Relationship Services,Luxury restaurants,Luxury/Lifestyle,200,600,500,1.6,Joint purchasing decision - high commitment
N009,Women wellness,Cycle tracking,Women's Health Apps,Supplements,Wellness Supplements,Skincare,Skincare/Beauty,Meditation,Mental Health Services,Fitness programs,Fitness/Wellness,250,800,600,1.8,2x spending on wellness - trusted authority critical
N010,Students education,Flashcard apps,Study Apps,SAT prep,Test Prep,Online courses,Learning Platforms,Focus tools,Focus Tools,Tutoring,Student Services,250,900,600,1.7,Word-of-mouth multiplier - one rec = 10 friends
N011,Sleep optimization,Sleep trackers,Sleep Tech,Meditation apps,Sleep Apps,Sleep supplements,Wellness Products,Smart lights,Bedroom Tech,Luxury bedding,Lifestyle Brands,250,800,600,1.7,Desperate motivation - results matter most
N012,Gaming esports,Gaming headsets,Gaming Equipment,Games/Battle pass,Gaming Platforms,Energy drinks,Energy Drinks/Snacks,Capture cards,Streaming Tech,Esports leagues,Esports Organizations,300,500,700,1.8,Creator fund + sponsorships - multi-revenue stream
N013,Crypto trading,Exchanges,Trading Platforms,Signal services,Signal Services,DeFi protocols,DeFi/NFT Platforms,Trading courses,Crypto Education,Crypto wallets,Financial Services,400,1200,800,2.0,Highest urgency purchasing - rapid decision cycle
N014,Stock investing,Brokerages,Brokerages,Courses,Financial Education,Portfolio trackers,Investment Tools,Wealth management,Financial Services,Newsletters,Business Publications,300,900,700,1.9,Long customer lifetime value - trust essential
N015,Motivation self-improvement,Courses,Personal Development,Habit apps,Habit Tools,Therapy,Wellness Services,Books,Books/Content,Planners,Productivity Tools,200,700,600,1.7,Daily checking - highest consistency engagement
N016,Tech explainers,AI tools,Tech Tools/SaaS,Gadgets,Tech Hardware,Bootcamps,Tech Education,Developer platforms,Tech Communities,Cloud hosting,Tech Services,300,1000,700,1.9,B2B influence - organizational purchasing power
N017,Sports betting,Betting platforms,Betting Platforms,Sports apps,Sports Apps,Equipment,Sports Equipment,Prediction tools,Analytics Services,Fantasy sports,Fantasy Sports,250,500,700,1.8,Tournament season spikes - event-driven revenue
N018,News current events,News platforms,News Platforms,Analytics tools,Analytics Tools,Aggregators,Content Aggregators,Newsletters,Media Outlets,Research services,Research Services,200,400,600,1.5,Urgent updates - high virality potential
N019,ASMR relaxation,Meditation apps,Meditation Apps,Wellness products,Wellness Products,Sleep tech,Sleep Tech,White noise,Audio Equipment,Mindfulness courses,Wellness Courses,150,500,600,1.4,Niche audience - deep engagement matters
N020,Lifestyle aesthetic,Travel brands,Travel Brands,Lifestyle products,Lifestyle Products,Reviews,Review Platforms,UGC services,UGC Services,Beauty products,Beauty Brands,200,500,700,1.6,Aspirational audience - premium positioning
N021,Autism neurodivergent,Visual planners,Structured Living Tools,Routine apps,Routine Apps,Sensory tools,Sensory Products,Social scripts,Communication Tools,Executive function,Productivity Tools,250,800,600,1.8,Niche but dedicated - strong community
N022,Menopause women,Symptom trackers,Health Apps,Supplements,Wellness Supplements,Health platforms,Health Platforms,Fitness programs,Fitness Programs,Nutrition services,Wellness Services,300,900,600,1.7,Underserved demographic - emerging market
N023,Parent burnout,Family apps,Family Coordination,Parenting courses,Parenting Courses,Mental health,Mental Health Services,Time management,Productivity Tools,Self-care,Wellness Products,250,700,600,1.7,Overwhelmed audience - empathy-driven sponsorships win
N024,Solo travelers,Travel apps,Travel Apps,Safety tools,Safety Tools,Accommodation,Travel Accommodations,Travel gear,Travel Gear,Courses,Travel Courses,200,500,600,1.6,Adventure audience - experience-focused
N025,Caregiver support,Care apps,Care Coordination Apps,Respite services,Respite Services,Wellness programs,Wellness Programs,Support communities,Support Communities,Financial services,Financial Services,250,700,600,1.7,Underserved but growing - emerging niche
N026,Chronic pain,Symptom trackers,Pain Tracking Apps,Supplements,Pain Supplements,Courses,Pain Management Courses,Devices,Medical Devices,Counseling,Mental Health Services,200,600,600,1.6,Health-conscious with urgency - premium pricing
N027,Introverts socializing,Social planning,Social Planning Apps,Anxiety management,Mental Health Tools,Courses,Social Skills Courses,Books,Books/Content,Meditation,Wellness Services,200,500,600,1.6,Niche but dedicated - anxiety-driven purchases
N028,Grief bereavement,Memorial apps,Memorial Apps,Support services,Counseling Services,Journals,Journaling Products,Courses,Grief Courses,Communities,Support Communities,150,500,600,1.5,Emotional niche - authenticity critical
N029,Career pivoters,Courses,Career Transition Courses,Coaching,Career Coaching,Platforms,Learning Platforms,Tools,Career Tools,Communities,Professional Communities,300,800,700,1.8,Mid-career professional audience - high income
N030,Microentrepreneurs,Business tools,Business Automation,Financial tracking,Accounting Software,Courses,Business Courses,Communities,Entrepreneur Communities,Services,Business Services,250,700,600,1.7,Side hustlers - growth-oriented audience
N031,Voice AI service businesses,AI call handling,AI Voice Platforms,Booking systems,Scheduling Software,Automation,Workflow Automation,Training,Automation Training,Consulting,Business Consulting,500,1500,1200,2.2,B2B high-ticket - enterprise partnerships
N032,Faceless TikTok shop creators,TikTok Shop tools,E-commerce Platforms,Product research,Product Research Tools,Affiliate platforms,Affiliate Networks,Video creation,Content Creation Tools,Courses,E-commerce Courses,300,800,600,1.9,Emerging platform - first-mover advantage
N033,Vertical SaaS clinic owners,EMR systems,Healthcare Software,Patient management,Healthcare Tech,Scheduling,Practice Management,Training,Healthcare Training,Consulting,Healthcare Consulting,800,2000,1500,2.4,B2B enterprise - highest ticket value
