Church Name,Location,Size,Contact Name,Contact Title,Email,Phone,Website,Denomination,Priority,Status,Notes
Life.Church,Edmond, OK,100000+,Craig Groeschel,Senior Pastor,craig@life.church,,https://life.church,Evangelical,1,Outreach,Multi-campus, digital-first church
Gateway Church,Southlake, TX,45000,Robert Morris,Senior Pastor,info@gatewaypeople.com,,https://gatewaypeople.com,Evangelical,1,Outreach,Mega-church with strong digital presence
Lakewood Church,Houston, TX,52000,Joel Osteen,Senior Pastor,info@lakewoodchurch.com,,https://lakewoodchurch.com,Nondenominational,1,Outreach,Largest church in America
North Point Community Church,Atlanta, GA,38000,Andy Stanley,Senior Pastor,connect@northpoint.org,,https://northpoint.org,Baptist,1,Outreach,Multi-site with strong youth ministry
Church of the Highlands,Birmingham, AL,40000,Chris Hodges,Senior Pastor,info@churchofthehighlands.com,,https://churchofthehighlands.com,Nondenominational,1,Outreach,Strong digital marketing
Saddleback Church,Lake Forest, CA,25000,Rick Warren,Senior Pastor,info@saddleback.com,,https://saddleback.com,Baptist,1,Outreach,Founded Purpose Driven Life
Elevation Church,Charlotte, NC,24000,Steven Furtick,Senior Pastor,info@elevationchurch.org,,https://elevationchurch.org,Nondenominational,1,Outreach,Strong social media presence
Willow Creek Community Church,Chicago, IL,26000,Bill Hybels,Senior Pastor,info@willowcreek.org,,https://willowcreek.org,Evangelical,1,Outreach,Church growth experts
Fellowship Church,Grapevine, TX,24000,Ed Young,Senior Pastor,info@fellowshipchurch.com,,https://fellowshipchurch.com,Nondenominational,1,Outreach,Media-savvy leadership
Second Baptist Church,Houston, TX,22000,Ed Young Jr.,Senior Pastor,info@second.org,,https://second.org,Baptist,1,Outreach,Multi-generational focus
Christ Fellowship,Palm Beach Gardens, FL,20000,Todd Mullins,Senior Pastor,info@gochristfellowship.com,,https://gochristfellowship.com,Nondenominational,1,Outreach,Strong community outreach
Calvary Chapel,Costa Mesa, CA,20000,Brian Brodersen,Senior Pastor,info@calvarychapel.com,,https://calvarychapel.org,Nondenominational,1,Outreach,Largest Calvary Chapel
NewSpring Church,Anderson, SC,16000,Perry Noble,Senior Pastor,info@newspring.cc,,https://newspring.cc,Baptist,1,Outreach,Digital church pioneers
The Rock Church,San Diego, CA,17000,Kim Walker-Smith,Worship Pastor,info@sdrock.com,,https://sdrock.com,Nondenominational,1,Outreach,Worship-focused
McLean Bible Church,Vienna, VA,17000,David Platt,Senior Pastor,info@mcleanbible.org,,https://mcleanbible.org,Baptist,1,Outreach,Former IMB president
Transformation Church,Tulsa, OK,12000,Michael Todd,Senior Pastor,info@transformationchurch.us,,https://transformationchurch.us,Nondenominational,1,Outreach,Strong youth following
National Community Church,Washington, DC,13000,Mark Batterson,Senior Pastor,info@nationalcommunitychurch.com,,https://nationalcommunitychurch.com,Evangelical,1,Outreach,Circus-like services
Central Christian Church,Las Vegas, NV,14000,Jud Wilhite,Senior Pastor,info@centralonline.tv,,https://centralonline.tv,Evangelical,1,Outreach,Strong recovery ministry
Bayside Church,Roseville, CA,15000,Ray Johnston,Senior Pastor,info@baysideonline.com,,https://baysideonline.com,Nondenominational,1,Outreach,Recovery-focused
The Woodlands Church,The Woodlands, TX,15000,Kerry Shook,Senior Pastor,info@woodlandschurch.org,,https://woodlandschurch.org,Nondenominational,1,Outreach,Strong family ministry
First Baptist Dallas,Dallas, TX,14000,Robert Jeffress,Senior Pastor,info@firstdallas.org,,https://firstdallas.org,Baptist,1,Outreach,High-profile pastor
Crossroads Church,Cincinnati, OH,14000,Brian Tome,Senior Pastor,info@crossroads.net,,https://crossroads.net,Nondenominational,1,Outreach,Business background
Long Hollow Baptist Church,Hendersonville, TN,13000,Robbie Gallaty,Senior Pastor,info@longhollow.com,,https://longhollow.com,Baptist,1,Outreach,Strong discipleship focus
Trinity Church,Concord, TN,12000,Jimmy Seibert,Senior Pastor,info@trinityconcord.org,,https://trinityconcord.org,Nondenominational,1,Outreach,Strong missions focus
Seacoast Church,Mount Pleasant, SC,12000,Greg Surratt,Senior Pastor,info@seacoast.org,,https://seacoast.org,Nondenominational,1,Outreach,Multi-site experts
Church of the City,Huntsville, AL,11000,Craig Altman,Senior Pastor,info@cotc.com,,https://cotc.com,Nondenominational,1,Outreach,Strong community impact
Antioch Community Church,Wylie, TX,10000,Jason Morris,Senior Pastor,info@antiochcc.org,,https://antiochcc.org,Nondenominational,1,Outreach,Strong youth ministry
Freedom Church,Lanham, MD,10000,Derwin Gray,Senior Pastor,info@freedomchurch.us,,https://freedomchurch.us,Nondenominational,1,Outreach,Strong diversity focus
Celebration Church,Georgetown, TX,10000,Danny Franks,Senior Pastor,info@celebration.org,,https://celebration.org,Nondenominational,1,Outreach,Strong family focus
Cornerstone Church,Simpsonville, SC,9000,Terri Thompson,Senior Pastor,info@cornerstonetoday.com,,https://cornerstonetoday.com,Nondenominational,1,Outreach,Strong women's ministry
Bridgeway Church,Columbia, SC,8500,Johnny Hunt,Senior Pastor,info@bridgeway.org,,https://bridgeway.org,Southern Baptist,2,Outreach,Strong community ties
Radiance Church,Colorado Springs, CO,8000,Brent Lokker,Senior Pastor,info@radiance.church,,https://radiance.church,Nondenominational,2,Outreach,Strong young adult focus
Watermark Community Church,Dallas, TX,8000,Todd Wagner,Senior Pastor,connect@watermark.org,,https://watermark.org,Nondenominational,2,Outreach,Strong community groups
The Village Church,Flower Mound, TX,8000,Matt Chandler,Senior Pastor,info@thevillagechurch.net,,https://thevillagechurch.net,Baptist,2,Outreach,Strong reformed theology
Crosspoint Church,Nashville, TN,7500, Pete Wilson,Senior Pastor,info@crosspoint.tv,,https://crosspoint.tv,Nondenominational,2,Outreach,Strong creative services
The Meeting House,Oakville, ON,Canada,4000, Bruxy Cavey,Senior Pastor,info@themeetinghouse.com,,https://themeetinghouse.com,Christian & Missionary Alliance,2,Outreach,Strong social justice focus
