category,finding,source,proof_numbers,actionability,implementation_notes
APP_FACTORY,Screen time blocker apps print money - Opal $600k/mo BePresent $300k/mo Brainrot $100k/mo. Niche unlock conditions differentiate.,@Jahjiren + AppTweak,$600k/mo Opal revenue,HIGHEST,Build niche variants: PrayerLock (Faith) WalkToUnlock (Fitness) StudyLock (Students). Hard paywall from day 1.
APP_FACTORY,30-app portfolio strategy makes $22k/mo - ship single feature bug-free don't polish just ship fast and move on,Indie Hackers (Max Artemov),$22k/mo from 30 apps,HIGHEST,Target 2-3 apps per month. Single core feature per app. Double down on winners only.
APP_FACTORY,TikTok trend research for app ideas - Connor Burd $185k/mo portfolio. Heavy research into TikTok + App Store trends. Partner with influencers.,Indie Hackers,$185k/mo app portfolio,HIGHEST,Monitor TikTok trends daily. Cross-reference appkittie. Partner with niche influencers for validation.
APP_FACTORY,Custom Product Pages iOS allows 35 variants per app - target different keywords audiences or campaigns per page,Apple App Store,35 custom pages allowed,HIGH,Create product page per niche. Customize screenshots. Link from targeted paid campaigns.
APP_FACTORY,First 2 screenshots determine downloads - 70% of users never scroll past screenshot 2. A/B test icon weekly.,StoreMaven,70% never scroll past 2,HIGHEST,Put core value in screenshot 1. Use benefit-driven text overlay. Heatmap test icon.
APP_FACTORY,FB Ads Library mining - if product paying for ads it's making money. Search: Ebook Digital PDF Template Planner.,@xivy0k,Products paying for ads = revenue proof,HIGH,Search FB Ads Library. Filter active ads. Analyze landing pages. Create niche versions.
APP_FACTORY,Authority trust stack for paywall conversion - Harvard citations + visual goal timelines + bright colors = higher conversion,@matteo_spada,$350k+ MRR apps use this pattern,HIGH,Add legitimate source citations. Build visual progress timelines. Bright paywall CTAs.
CONTENT_FARM,YouTube Shorts real revenue - Dan Koe $4495 payout in 2 weeks (Jan 2026). ~$9K/month potential from Shorts alone.,@thedankoe,$4495/2 weeks verified,HIGHEST,Prioritize YouTube Shorts over TikTok for monetization. Share payouts for credibility.
CONTENT_FARM,Platform monetization hierarchy Jan 2026: Facebook Reels (highest CPM) > YouTube Shorts ($0.40+ RPM) > YouTube Long > IG Reels > TikTok (unreliable),Research aggregate,FB Reels highest CPM,HIGHEST,Focus FB Reels for short-form revenue. YouTube long-form 10min+ for premium CPM.
CONTENT_FARM,348+ AI UGC videos DAILY at industrial scale - @Jonnyvandel masscontent.ai 40000+ posts per month,@Jonnyvandel,40K posts/month scale,HIGH,Study masscontent.ai workflows. AI + multi-account infrastructure.
CONTENT_FARM,High-CPM faceless niches: Finance ($15-50 CPM) Tech ($8-25) Health ($6-15) Meditation/sleep ($5-12). Avoid gaming (sub-$2 saturated).,CPM research,$15-50 CPM finance niche,HIGHEST,Target finance/investing for highest CPM. Meditation/sleep evergreen + decent CPM.
