wrapper_id,name,niche,core_feature,api_needed,pricing_model,price_point,time_to_mvp,revenue_potential,competition,status,notes
WRP001,SermonGen,Faith,"AI sermon outlines from Bible verses",OpenAI/Anthropic,Subscription,$19/mo,3-7 days,$10k MRR,Low,READY_TO_BUILD,"Clear demand. Faith market underserved by AI tools. Pastors willing to pay."
WRP002,ColdMailMaxx,B2B Sales,"6-question framework email generator",OpenAI/Anthropic,Subscription,$29/mo,7-14 days,$20k MRR,Medium,READY_TO_BUILD,"@pipelineabuser framework built in. Differentiate on deliverability focus."
WRP003,AppDescribe,App Developers,"App Store listing optimizer",OpenAI/Anthropic,Usage-based,$9/mo,3-7 days,$5k MRR,Medium,READY_TO_BUILD,"ASO focus. Generates titles, descriptions, keywords. A/B test variants."
WRP004,SocialStack,Content Creators,"One post to 10 platform variants",OpenAI/Anthropic,Subscription,$19/mo,7-14 days,$15k MRR,High,RESEARCH,"Repurpose one piece to Twitter, LinkedIn, TikTok script, IG caption, etc."
WRP005,FitCoach AI,Fitness,"Personalized workout + meal plans",OpenAI/Anthropic,Subscription,$29/mo,14-21 days,$30k MRR,Medium,RESEARCH,"Combine with fitness app or standalone. Personalization is key."
WRP006,DevotionalGen,Faith,"Daily devotional content generator",OpenAI/Anthropic,Subscription,$14/mo,3-7 days,$8k MRR,Low,READY_TO_BUILD,"Churches need daily content. Bible-based. Multiple denominations."
WRP007,VoiceClone Studio,AI Influencer,"Consistent character voice generation",ElevenLabs,Credit-based,$49/mo,14-21 days,$20k MRR,Medium,RESEARCH,"For AI influencer personas. Consistent voice across content."
WRP008,ReviewMiner,App Developers,"Competitor review weakness finder",OpenAI/Anthropic,Subscription,$49/mo,14-21 days,$15k MRR,Low,RESEARCH,"Analyze 1-2 star reviews, extract pain points, suggest features."
WRP009,ContentMultiplier,Content Farm,"Long-form to 20 short pieces",OpenAI/Anthropic,Credit-based,$39/mo,14-21 days,$25k MRR,Medium,RESEARCH,"One blog post becomes tweets, carousels, scripts, emails, etc."
WRP010,FaithOS,Faith,"Full church content suite",OpenAI/Anthropic,Subscription,$99/mo,60-90 days,$50k MRR,Low,FUTURE,"Sermons + devotionals + bulletins + social + email. All-in-one."
WRP011,OutboundOS,B2B Sales,"Full cold outreach platform",OpenAI/Anthropic,Subscription,$149/mo,60-90 days,$100k MRR,High,FUTURE,"Email sequences + LinkedIn + follow-ups + tracking. Competes with Apollo/Instantly."
WRP012,InfluencerFactory,AI Influencer,"End-to-end AI persona creation",Multiple APIs,Subscription,$199/mo,60-90 days,$50k MRR,Medium,FUTURE,"Image gen + voice + content + scheduling. Complete AI influencer stack."
WRP013,PrayerJournal AI,Faith,"Guided prayer journaling with AI reflection",OpenAI/Anthropic,Subscription,$9/mo,7-14 days,$12k MRR,Low,READY_TO_BUILD,"User journals, AI reflects scripture back. Simple, high retention."
WRP014,MealPrepMaxx,Fitness,"AI meal prep plans with shopping lists",OpenAI/Anthropic,Subscription,$14/mo,7-14 days,$18k MRR,Medium,READY_TO_BUILD,"Input goals, dietary restrictions, budget. Get weekly meal plan + list."
WRP015,LinkedInGhost,B2B Sales,"AI LinkedIn post writer in your voice",OpenAI/Anthropic,Subscription,$29/mo,7-14 days,$25k MRR,High,RESEARCH,"Learn user's voice from past posts. Generate new content in style."
