Date,Time,Text
2026-02-28,01:32,"**Post 3:**
the 4-7-8 breathing pattern. inhale 4 seconds. hold 7. exhale 8. three cycles. you'll feel it by the second one. your nervous system doesn't know how to stay anxious when you breathe like this. #ambient #lofi"
2026-02-28,13:20,"**Status:** PENDING_REVIEW
**Account type:** Faceless sleep/wellness ambient channel
**Platforms:** YouTube (long-form + Shorts), TikTok, Instagram, Spotify
**Voice:** Minimal. Atmospheric. Lowercase. No exclamation marks. Calm.
**Vibe:** 2am quiet. rain on glass. #chill"
2026-02-28,17:45,"**Post 1:**
your phone screen at 11pm is stealing 45 minutes of deep sleep. the blue light suppresses melatonin for 90 minutes after you stop scrolling. put it in another room. let the quiet do its work."
2026-02-28,22:31,"**Post 2:**
there's a version of tonight where you fall asleep in eight minutes. cold room. dark room. no screen. just your breathing and the weight of the blanket. #ambient"
2026-03-01,01:20,"**Post 7:**
the best sleep aid costs nothing. same bedtime. same wake time. seven days a week. your body will start winding down on its own after two weeks. it just needs a pattern it can trust."
2026-03-01,13:36,"**Post 4:**
no one talks about how good it feels to wake up before your alarm. not because you slept less. because your body finished on its own. that's what real rest feels like."
2026-03-01,17:33,"**Post 5:**
the rain doesn't care what time it is. it just falls. that's the energy for tonight. stop managing tomorrow. let it be 2am for a while."
2026-03-01,22:19,"**Post 6:**
your bedroom has somewhere between 8 and 14 tiny lights you've never noticed. charger LEDs. router blinks. standby glow. every one of them is telling your brain it's still daytime. cover them. see what total darkness actually feels like. #study"
2026-03-02,01:36,"**Post 11:**
sleep is not a reward for finishing your to-do list. it's the thing that makes tomorrow's list possible. go to bed. the work will still be there."
2026-03-02,13:24,"**Post 8:**
some nights the only thing keeping you awake is the effort of trying to fall asleep. get up. sit somewhere dim. read something slow. go back when your eyelids get heavy. don't fight it. let it come to you. #chill"
2026-03-02,17:30,"**Post 9:**
65 degrees. that's the temperature your body wants at night. it needs to drop two or three degrees to fall asleep. most bedrooms are set to 72. you're making your body work against itself every night."
2026-03-02,22:19,"**Post 10:**
wind down. the last hour before sleep shouldn't look like the rest of your day. dim the lights. close the laptop. let the house get quiet. your brain needs a signal that the day is finished."
2026-03-03,01:30,"**Duration:** 22 seconds
**Visual:** Slow panning shots of cozy dark bedroom. Soft warm lamp. Rain on window. Unmade linen sheets.
**Voiceover (soft, low, almost whispered):**"
2026-03-03,13:24,"**Post 12:**
the sound of rain on a window at 1am. a warm blanket in a cold room. nowhere to be until morning. some moments don't need improving. just staying in. #study"
2026-03-03,17:33,"**Post 13:**
the military sleep method. relax your face. drop your shoulders. let your hands go limp. clear your mind for 10 seconds. if a thought comes, let it pass like a cloud. two minutes. most people are out by 120 seconds. #chill #relaxing"
2026-03-03,22:17,"**Post 14:**
you don't need to earn rest. you don't need to deserve quiet. tonight is not a negotiation. close your eyes. let the day end."
2026-03-04,01:26,"it's late. you know it's late.
the scroll isn't giving you anything.
put it down. roll over.
let the quiet in.
tomorrow doesn't start until you let tonight end."
2026-03-04,13:42,"cold room. heavy blanket. complete darkness.
a book instead of a screen.
three cycles of 4-7-8 breathing.
the same bedtime every single night.
nothing . just the basics done right. #ambient"
2026-03-04,17:32,"**Text overlay:** ""things that actually work"" (minimal sans-serif, soft white)
**Audio:** Lo-fi rain ambient or soft piano drone
**CTA:** (text on screen, final 3 seconds) ""save this for tonight"" #chill #study"
2026-03-04,22:36,"**Duration:** 18 seconds
**Visual:** Close-up of phone screen glowing in dark room. Slowly dimming. Cut to moonlight through curtain. Candle flickering out.
**Voiceover:** #relaxing"
2026-03-05,01:22,"**Text overlay:** Each step appears and fades as spoken
**Audio:** Deep slow breathing ambience
**CTA:** (text) ""try it right now"""
2026-03-05,13:19,"**Text overlay:** ""this is your sign"" (fading in slowly)
**Audio:** Soft ambient pad, barely audible
**CTA:** none. the vibe is the CTA. #ambient #chill"
2026-03-05,17:19,"**Duration:** 28 seconds
**Visual:** Dark screen with soft text appearing line by line. Gentle breathing sound in background.
**Voiceover:** #study"
2026-03-05,22:37,"relax every muscle in your face. your jaw. your tongue.
drop your shoulders as far as they go.
let your arms fall heavy.
breathe out. feel your chest sink.
clear your mind. ten seconds of nothing.
if a thought comes, let it drift past.
two minutes. #ambient #chill"
2026-03-06,01:29,"**Duration:** 24 seconds
**Visual:** Dark bedroom. Clock showing 3:00am. Slow zoom out. Window with moonlight.
**Voiceover:** #ambient #relaxing"
2026-03-06,13:42,"**Duration:** 25 seconds
**Visual:** Slow-motion footage: dimming lights, closing laptop, pouring tea, opening book, pulling blanket up. All in warm low light.
**Voiceover:**"
2026-03-06,17:26,"one hour before bed. that's all.
dim the lights. close the screens.
something warm to drink. something slow to read.
no alarms to set except one.
let the house go quiet.
this is how you tell your brain the day is done."
2026-03-06,22:16,"**Text overlay:** ""1 hour. that's it.""
**Audio:** Soft acoustic guitar loop or ambient rain
**CTA:** (text) ""save for your nighttime reset"" #ambient #lofi"
2026-03-07,01:42,"rain on a tin roof.
waves pulling back from shore.
a fireplace with no one talking.
wind in trees you can't see.
pick one. let it play. close your eyes.
full versions on the channel."
2026-03-07,13:21,"3am wake-ups are usually one of three things.
cortisol spike from stress. you wake up with a racing mind.
blood sugar crash from a late meal. you wake up sweaty, heart pounding.
or your room is too warm and your body can't cool down.
figure out which one. #ambient"
2026-03-07,17:42,"**Text overlay:** ""it's not random"" (minimal, white text)
**Audio:** Low ambient drone
**CTA:** (text) ""which one is yours"" #relaxing"
2026-03-07,22:29,"**Duration:** 20 seconds
**Visual:** Split screen or slow transitions: rain on cabin roof, ocean waves at night, fireplace embers, wind through pines.
**Voiceover:** #chill #ambient"
2026-03-08,01:22,"**Text overlay:** Each item appears as a soft list
**Audio:** Minimal ambient, almost silence
**CTA:** (text) ""which one are you guilty of"" #study #relaxing"
2026-03-08,13:16,"**Text overlay:** ""sleep sounds"" (each sound name appears with its visual)
**Audio:** Actual ambient sounds matching each visual, crossfading
**CTA:** (text) ""link in bio for 10-hour versions"" #study #relaxing"
2026-03-08,17:37,"**Duration:** 26 seconds
**Visual:** Subtle zoom on everyday items: coffee cup (afternoon), phone on pillow, bright bathroom light, TV on in background, thermostat showing 74F.
**Voiceover:** #ambient #chill"
2026-03-08,22:15,"the coffee you had at 3pm.
the phone charging on your pillow.
the bathroom light you turned on for 30 seconds.
the tv you fell asleep to.
the thermostat set to 74.
none of them feel like a problem.
all of them are. #ambient"
2026-03-09,01:28,"if this helps you sleep, you don't need to tell me. just come back tomorrow night. #ambient #study"
2026-03-09,13:17,"**Title:** rain on a cabin roof -- 10 hours -- no music -- dark screen
**Description:**
10 hours of steady rain falling on a wooden cabin roof. no music. no interruptions. no ads in the middle. just rain. #ambient #lofi"
2026-03-09,17:37,for sleeping. for studying. for when you need the world to be quiet for a while. #relaxing
2026-03-09,22:41,recorded in a single continuous session. dark screen after 30 seconds so your room stays dark. #chill
2026-03-10,01:38,"**Title:** fireplace crackling -- 8 hours -- for sleep and focus -- dark screen
**Description:**
8 hours of a wood fireplace. no music. no talking. just the sound of logs shifting and flames breathing. #relaxing #chill"
2026-03-10,13:29,"**Tags:** rain sounds, rain for sleeping, cabin rain, 10 hours rain, sleep sounds, dark screen, no music, rain on roof, asmr rain, rain ambience, study sounds, relaxation, white noise rain, nature sounds for sleep, deep sleep sounds #relaxing #lofi"
2026-03-10,17:38,"**Thumbnail concept:** Dark image of cabin roofline at night, rain visible as silver streaks against dark sky. Minimal text: ""10 hrs"" in small soft white font bottom corner. No bright colors. No faces. Moody, cinematic. #chill"
2026-03-10,22:21,"**Production notes:**
- Generate base rain audio using Suno (prompt: ""10 hours continuous heavy rain on wooden roof, no music, no thunder, consistent steady rainfall, ASMR quality"") or Soundraw (rain ambient category)
- Layer 2-3 rain textures: primary roof rain + distant back..."
2026-03-11,01:41,"**Thumbnail concept:** Close-up of glowing embers, orange and amber tones, shallow depth of field. Everything else dark. Text: ""8 hrs"" small, bottom right, warm white font."
2026-03-11,13:39,dark screen after the first minute so it won't light up your room.
2026-03-11,17:41,good for sleeping. good for reading. good for pretending winter lasts all year.
2026-03-11,22:22,"**Tags:** fireplace sounds, fireplace for sleeping, crackling fire, 8 hours fireplace, fire asmr, cozy sounds, winter ambience, dark screen fireplace, sleep sounds, study ambience, relaxing fire, wood burning, cabin fireplace, fire crackling asmr, focus sounds #relaxing #ambient"
2026-03-12,01:22,for sleeping. for anxiety. for when your thoughts are too loud and you need something steady.
2026-03-12,13:16,"**Production notes:**
- Generate base fireplace audio using Suno (prompt: ""8 hours continuous wood fireplace crackling, no music, occasional log shift and pop, warm intimate close recording, ASMR quality"")
- Layer: primary crackle + subtle room tone + occasional deep log settl..."
2026-03-12,17:17,"**Title:** ocean waves at night -- 10 hours -- black screen -- for deep sleep
**Description:**
10 hours of ocean waves reaching shore and pulling back. recorded at night. no seagulls. no music. no surprises."
2026-03-12,22:26,the screen goes dark after 20 seconds. your room stays dark. the waves keep going. #lofi #ambient
2026-03-13,01:29,"**Duration:** 55 seconds
**Visual:** Dark, moody bedroom shots. Each ""thing"" gets a slow reveal with soft text overlay.
**Voiceover (calm, low, unhurried):** #study #chill"
2026-03-13,13:40,"**Tags:** ocean waves, ocean sounds for sleeping, 10 hours ocean, waves at night, black screen ocean, deep sleep sounds, beach waves, sea sounds, wave asmr, ocean white noise, calm ocean, nature sounds sleep, relaxation ocean, thalassotherapy sounds, nighttime waves #lofi #rel..."
2026-03-13,17:19,"**Thumbnail concept:** Dark ocean at night, barely visible horizon line, moon reflection on water as a thin silver line. Ultra minimal. Text: ""10 hrs"" bottom corner, cool white."
2026-03-13,22:32,"**Production notes:**
- Generate base ocean audio using Suno (prompt: ""10 hours continuous ocean waves on sandy beach at night, no seagulls, no music, rhythmic gentle waves, deep low-frequency, close microphone, ASMR quality"")
- Layer: primary wave crash + receding water on sa..."
2026-03-14,01:32,"three. your brain is still running. you didn't close the tabs. write down every thought, every worry, every tomorrow-task on paper. ten minutes. get it out of your head. your brain can stop holding it once it's written down. #chill"
2026-03-14,13:45,three things keeping you awake right now. and you can fix all of them tonight. #lofi #chill
2026-03-14,17:32,one. your room is too bright. not the main light. the charger led. the router. the standby glow on your tv. your brain registers all of it. cover every light source with tape. total darkness changes everything.
2026-03-14,22:39,"two. your body is too warm. sleep happens when your core temperature drops. 65 degrees. if your room is set to 72, your body is fighting to cool down all night. turn it down. add a blanket if you need to."
2026-03-15,01:38,the military sleep method. developed to help soldiers fall asleep in combat zones. works in two minutes for most people. #chill #study
2026-03-15,13:36,tonight. all three. see what happens. #lofi #relaxing
2026-03-15,17:30,"**Text overlay:** ""3 things keeping you awake"" (title), then numbered items
**Audio:** Soft ambient drone underneath voiceover #relaxing"
2026-03-15,22:43,"**Duration:** 58 seconds
**Visual:** Dark screen with soft white text appearing step by step. Gentle slow breathing in background. Optional: silhouette of person lying down.
**Voiceover:** #chill"
2026-03-16,01:29,"step four. clear your mind for ten seconds. if thoughts come, don't fight them. just picture a calm dark room. or a canoe on still water. or just repeat ""don't think"" for ten seconds."
2026-03-16,13:31,"step one. relax your entire face. forehead, eyes, cheeks, jaw, tongue. let everything go slack. #relaxing #study"
2026-03-16,17:33,step two. drop your shoulders as low as they'll go. then relax your arms. one at a time. from the shoulder down to the fingertips.
2026-03-16,22:36,step three. breathe out slowly. feel your chest relax. then your stomach. then your legs. from your thighs to your calves to your feet. everything heavy.
2026-03-17,01:22,it's not random. your body is telling you something specific. #relaxing
2026-03-17,13:45,96 percent success rate after six weeks of practice. tonight is night one. #ambient
2026-03-17,17:33,"**Text overlay:** Steps appear one at a time in soft serif font
**Audio:** Deep slow breathing loop, barely above silence #relaxing"
2026-03-17,22:16,"**Duration:** 52 seconds
**Visual:** Clock showing 3:00 AM. Dark room. Moonlight through blinds. Slow, steady shots.
**Voiceover:** #ambient #lofi"
2026-03-18,01:31,figure out which one. fix the cause. stop treating the symptom.
2026-03-18,13:30,"if you wake up with your mind racing, thoughts spiraling, that's a cortisol spike. your stress hormones are peaking too early. try writing your worries down before bed. ashwagandha before sleep. give it two weeks. #study"
2026-03-18,17:22,"if you wake up sweaty, heart pounding, slightly panicked, that's a blood sugar crash. your dinner was too heavy or too late. eat your last meal three hours before bed. add some protein. cut the carbs at night. #study"
2026-03-18,22:45,"if you wake up hot, kicking covers off, that's temperature. your room is too warm. 65 degrees. breathable sheets. one leg out if you need to. #relaxing"
2026-03-19,01:43,**Mood:** like the room after everyone's gone home #relaxing
2026-03-19,13:38,"**Text overlay:** ""why you wake up at 3am"" (title), then three categories with minimal text
**Audio:** Very low ambient pad, almost inaudible"
2026-03-19,17:43,**Description:** the hour between awake and asleep. lo-fi ambient. no beats. no vocals. just soft sound for winding down. updated weekly. #chill #ambient
2026-03-19,22:16,"**Track concepts (AI-generated via Mubert/Soundraw/Suno):**
- slow dissolve (warm pad drone, 6 min, gradual fade)
- lamp light (soft piano notes with long reverb, 5 min)
- 2am window (rain texture layered with sub-bass, 8 min)
- linen (tape hiss + distant wind chime, 4 min)
-...."
2026-03-20,01:23,**Description:** for the hours when everything should be quiet but your mind isn't. deep ambient. sub-bass warmth. nothing sharp.
2026-03-20,13:40,"**Description:** rain on roofs. rain on windows. rain on leaves. rain on pavement. nothing else. for sleeping, studying, or just existing. #relaxing #ambient"
2026-03-20,17:33,"**Track concepts:**
- tin roof rain (steady rain on metal, 10 min)
- window rain close (raindrops hitting glass, intimate recording, 8 min)
- forest floor rain (rain through tree canopy, distant, soft, 12 min)
- sidewalk rain (urban rain, no traffic, just wet pavement, 7 min)..."
2026-03-20,22:15,**Mood:** umbrella weather with nowhere to be #chill
2026-03-21,01:29,"**Track concepts:**
- desk lamp (lo-fi piano loop with tape saturation, 6 min)
- morning fog (granular ambient pad, slowly evolving, 10 min)
- one task (minimal techno-adjacent pulse, very gentle, 7 min)
- warm monitor (soft digital tones, slight rhythm, 5 min)
- library hour..."
2026-03-21,13:42,"**Track concepts:**
- hallway light (reverb-heavy single piano note, repeating slowly, 7 min)
- still water (granular synthesis drone, barely moving, 10 min)
- the house settles (creaking wood sounds + warm pad, 6 min)
- blue hour (synth wash that shifts very slowly through co..."
2026-03-21,17:41,**Mood:** when the whole city is asleep and you're almost there #chill #study
2026-03-21,22:15,**Description:** for when you need to work but gently. ambient concentration. no drops. no surprises. steady and warm. #lofi #ambient
2026-03-22,01:29,**Mood:** standing at the edge of the water when you can't see the horizon
2026-03-22,13:20,**Mood:** productive but not stressed. coffee and quiet.
2026-03-22,17:36,**Description:** nighttime ocean recordings. deep water sounds. no seagulls. no sunshine. the ocean after midnight. #relaxing
2026-03-22,22:31,"**Track concepts:**
- shore pull (close-mic wave recession on sand, 12 min)
- deep current (underwater low-frequency recording, 10 min)
- harbor night (gentle lapping against dock, distant buoy bell, 8 min)
- reef hum (processed coral reef recording, warm and strange, 7 min)
-..."
2026-03-23,01:43,"- **primary font:** a clean sans-serif (inter, karla, or dm sans)
- **weight:** light or regular. never bold for body text.
- **case:** all lowercase. always.
- **size:** small relative to image. text should feel secondary to the visual. #relaxing"
2026-03-23,13:18,"**Source:** AI-generated + stock from Pexels/Unsplash (commercial license, free) #chill"
2026-03-23,17:40,"**Subject matter:**
- Cozy bedrooms at night (unmade linen sheets, dim lamp, no people)
- Night sky (moon, stars, no harsh light)
- Rain on windows (close-up, bokeh city lights behind glass)
- Candles in dark rooms (single flame, minimal setup)
- Ocean at night (dark water, si..."
2026-03-23,22:34,"**What to avoid:**
- Bright daylight photos
- People's faces
- Busy compositions with many elements
- Neon or saturated colors
- Stock photo energy (posed, overlit, commercial)
- Text-heavy graphics
- Anything that feels like marketing"
2026-03-24,01:17,"- Background: or - Text: Lowercase, small, moon white ()
- Music: From our own Spotify playlists
- Polls/questions: Minimal (""are you in bed yet"" / ""what's keeping you up"")
- No stickers, GIFs, or bright overlays
- Occasional: 15-second ambient video cli... #chill #ambient"
2026-03-24,13:30,**Pattern:** Dark / Visual / Dark / Visual -- alternating posts #ambient
2026-03-24,17:38,"- **dark posts:** solid dark background (or ) with small centered text (the standalone posts from section 1). minimal, typographic.
- **visual posts:** atmospheric photos (bedroom, rain, ocean, candles). caption carries the message, image carries the mood. #lofi"
2026-03-24,22:42,"**Grid feel when viewed as a whole:** A dark, cohesive mood board. Someone should scroll your profile and immediately feel calmer. No visual noise. No clashing tones. Everything whispers."
2026-03-25,01:16,**YouTube Long-Form:** Upload 1 per week starting Week 1 (Rain on Cabin Roof first -- rain content has highest search volume in sleep category) #lofi #relaxing
2026-03-25,13:17,"- Same visual language as TikTok scripts (Section 2)
- Always dark, always slow
- Text overlays in the same minimal font
- No trending audio unless it fits the mood (ambient/lo-fi only)
- Cover image for grid: should match the dark aesthetic (custom cover, not auto-selected fr..."
2026-03-25,17:29,"@drifthour
sleep sounds. quiet thoughts. the hour before rest.
new ambient every week.
[link to youtube / spotify] #lofi #study"
2026-03-25,22:18,"All solid dark circles with thin moon-white icons or single lowercase words:
- ""sleep"" (moon icon)
- ""sounds"" (wave icon)
- ""breathe"" (wind icon)
- ""rain"" (droplet icon)
- ""night"" (star icon) #relaxing"
