keyword,search_volume,difficulty,current_rank,target_rank,priority
study app,32000,78,0,30,medium
focus app for studying,12000,58,0,12,high
study timer,15000,62,0,15,high
phone blocker study,4500,32,0,5,high
study lock,2800,22,0,3,high
study mode app,5500,40,0,6,high
focus study app,8200,50,0,9,high
study focus timer,6800,45,0,8,high
student focus app,4200,35,0,5,high
phone lock study,2100,18,0,2,high
study blocker,3500,28,0,4,high
distraction blocker study,3800,30,0,4,high
study productivity app,5100,40,0,6,medium
pomodoro study,7500,48,0,9,medium
study session app,4800,38,0,6,medium
phone free study,1800,15,0,2,high
study concentration,5200,42,0,7,medium
student productivity,6200,45,0,8,medium
exam study app,4500,38,0,6,medium
study help app,3800,32,0,5,medium
focus for students,2800,25,0,4,high
study time tracker,5500,42,0,7,medium
lock phone studying,1500,12,0,2,high
study discipline,2200,20,0,3,high
student phone blocker,1800,15,0,2,high
study mode,9800,55,0,12,medium
study timer app,8500,52,0,10,medium
homework focus app,3200,28,0,4,medium
study schedule app,4800,40,0,6,medium
concentration app study,2500,22,0,3,high
exam focus app,2800,25,0,4,medium
study motivation app,4200,35,0,5,low
student distraction,2100,18,0,3,medium
study habits app,3500,30,0,5,medium
lock apps while studying,1200,10,0,2,high
study break timer,3800,32,0,5,medium
focus mode student,2400,22,0,3,high
study accountability,1500,12,0,2,high
block apps study,2800,25,0,4,high
deep study app,1800,15,0,2,high
study focus lock,900,8,0,1,high
student focus lock,700,6,0,1,high
study without phone,1100,10,0,2,high
study distraction free,1500,12,0,2,high
homework blocker,1800,15,0,2,medium
study session timer,4200,35,0,5,medium
exam prep focus,2500,22,0,3,medium
college study app,5500,42,0,7,low
high school study app,3200,28,0,4,low
study unlock,600,5,0,1,high
