tool_id,tool_name,category,sub_category,free_tier,free_tier_detail,paid_from,status,priority,budget_tier,venture_fit,url,notes
T001,Dolphin{anty},anti_detect,browser,YES,10 profiles forever,$89/mo,ACTIVE,HIGHEST,$0,ALL,dolphin-anty.com,Tier 0 default. 3.3x more free profiles than GoLogin.
T002,Incogniton,anti_detect,browser,YES,10 profiles forever,$30/mo,AVAILABLE,HIGH,$0,ALL,incogniton.com,Same free profiles as Dolphin. Cheaper paid tier.
T003,GoLogin,anti_detect,browser,YES,3 profiles forever,$49/mo,AVAILABLE,MEDIUM,$0,ALL,gologin.com,Better UX but fewer free profiles. Demoted from Tier 0.
T004,Multilogin,anti_detect,browser,NO,None,$99/mo,AVAILABLE,LOW,$500,ALL,multilogin.com,Enterprise only. $10K+ MRR.
T005,AdsPower,anti_detect,browser,YES,2 profiles,$9/mo,AVAILABLE,LOW,$50,ALL,adspower.com,Too few free profiles.
T006,Geelark,anti_detect,mobile,YES,2 cloud phone profiles,Paid,AVAILABLE,MEDIUM,$0,AI_PERSONAS,geelark.com,Only cloud phone emulator with free tier. Mobile fingerprints.
T007,Soax Mobile,proxies,mobile,NO,None,$50/mo,ACTIVE,HIGHEST,$50,ALL,soax.com,Required for IG/TikTok account safety. Mobile fingerprints.
T008,Webshare,proxies,datacenter,YES,10 datacenter IPs free,$5/GB,AVAILABLE,HIGH,$0,ALL,webshare.io,Free for non-social scraping. Existing docs missed free tier.
T009,Bright Data,proxies,residential,YES,15 IPs + 2GB/mo free,$15/GB,AVAILABLE,HIGH,$0,ALL,brightdata.com,Enterprise quality at $0 for testing.
T010,Oxylabs,proxies,residential,YES,5 IPs + 5GB/mo free,$15/GB,AVAILABLE,MEDIUM,$0,ALL,oxylabs.io,5GB free is generous for early-stage.
T011,Geonode,proxies,public,YES,Free public proxy list,N/A,AVAILABLE,LOW,$0,ALL,geonode.com,Low quality. Non-critical use only.
T012,Decodo/Smartproxy,proxies,residential,NO,None,$12.50/GB,AVAILABLE,HIGH,$150,ALL,smartproxy.com,Scale tier default.
T013,IPRoyal,proxies,residential,NO,None,$7/GB,AVAILABLE,MEDIUM,$150,ALL,iproyal.com,Budget residential alt.
