opportunity_id,category,description,current_process,proposed_automation,tool,estimated_hours_saved_weekly,implementation_effort_hours,roi_score,priority,status
AO001,SETUP_TRACKING,Human infra status auto-check at session start,Agent manually reads HUMAN_INFRA_CHECKLIST.md and compares with prior session,Python script that reads checklist md and outputs changed/unchanged items since last check,Python script,0.5,2,MEDIUM,P2,PROPOSED
AO002,ALPHA_DEDUP,Deduplication of alpha entries before staging,Manual grep of source_url in ALPHA_STAGING.csv before adding,Extend organize_alpha.py to run as pre-commit hook checking new entries against existing source_urls,scripts/organize_alpha.py extension,1,3,HIGH,P1,PROPOSED
AO003,SESSION_HANDOFF,Auto-generate SESSION_HANDOFF.md from CLAUDE.md session logs,Manual update (often skipped leading to stale handoff),Python script parses CLAUDE.md session log section and generates current SESSION_HANDOFF.md,Python script,0.5,4,MEDIUM,P2,PROPOSED
AO004,FILE_FRESHNESS,Detect stale files (not modified in 30+ days) that are referenced in CLAUDE.md,No current process. Stale files silently waste context.,Python script comparing file mtime with CLAUDE.md references. Flag stale files.,Python script,0.25,2,LOW,P3,PROPOSED
AO005,DUPLICATION_DETECT,Detect when new files duplicate existing content,No current process. Agents create new files without checking.,Pre-write hook that checks content similarity against existing OPS/ files using simple text hashing,Python script,2,6,HIGH,P1,PROPOSED
AO006,ALPHA_BACKTEST,Auto-backtest new alpha entries on staging,Manual invocation of backtest_alpha.py --pending,n8n workflow triggers backtest_alpha.py when ALPHA_STAGING.csv is modified,n8n + Python,1,4,HIGH,P1,PROPOSED
AO007,CONTENT_QA,Auto-check generated content against copy-style.md rules,Manual review of each content piece,Python script that checks for banned words (em dashes and AI vocabulary) and flags violations,Python script,1.5,3,HIGH,P1,PROPOSED
AO008,PLATFORM_LIMITS,Auto-warn when approaching platform automation limits,Manual reference to PLATFORM_AUTOMATION_LIMITS_2026.md,Tracking CSV that logs actions per platform per day. Script warns at 80% of safe limits.,Python + CSV,0.5,4,MEDIUM,P2,PROPOSED
AO009,REVENUE_TRACKING,Auto-aggregate revenue from multiple platforms,Manual entry into FINANCIALS/REVENUE_TRACKER.csv,n8n workflow pulls from Gumroad API + RevenueCat API + Stripe API daily,n8n + APIs,1,8,MEDIUM,P2,BLOCKED_ON_ACCOUNTS
AO010,MEGA_RALPH_MONITOR,Auto-generate daily summary from mega ralph output,Manual reading of progress.md and activity.log,Python script parses ralph output files and generates daily summary email/file,Python script,0.5,3,MEDIUM,P2,PROPOSED
AO011,SETUP_CONSOLIDATION,Merge 17 setup files into 1 canonical,17 files exist with overlapping content,One-time manual merge. Then archive old files.,Manual (one-time),N/A,4,HIGHEST,P0,PROPOSED
AO012,SEO_CONSOLIDATION,Merge SEO/GEO cluster into canonical,8 overlapping files,One-time manual merge into ENTITY_SEO_AGENT_READINESS_PLAYBOOK.md,Manual (one-time),N/A,3,HIGH,P1,PROPOSED
AO013,CONTENT_REPURPOSE_MERGE,Merge 3 content repurposing files,3 overlapping files,One-time merge into CONTENT_REPURPOSING.md,Manual (one-time),N/A,1,HIGH,P1,PROPOSED
AO014,POSTING_QUEUE,Auto-schedule approved content to posting queue,Manual copy from QA queue to posting_queue.csv,n8n workflow moves APPROVED items from QA queue to posting schedule,n8n,2,6,HIGH,P1,BLOCKED_ON_ACCOUNTS
AO015,COMPETITIVE_INTEL,Auto-monitor competitor pricing and features weekly,Manual reference to COMPETITOR_MONITORING_SYSTEM.md,Playwright script scrapes competitor app store pages weekly. Diffs against previous scan.,Playwright + Python,1,8,MEDIUM,P2,PROPOSED
